strategy,symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,pnl_pct_equity,fees,outcome,reason
inplay_breakout,ESPUSDT,short,1770946800000,1770947100000,0.06619676,0.06719858,453.10376076,-0.49019442,-0.004902,0.03626516,sl,breakout_retest_short;runner+SL
inplay_breakout,ENSOUSDT,short,1760685600000,1760686500000,2.10757840,2.11804281,14.23149905,-0.18500639,-0.001859,0.03608215,sl,breakout_retest_short;runner+TP1+SL
inplay_breakout,ENSOUSDT,short,1760686800000,1760695800000,2.08558280,1.98662968,14.38159156,1.38796449,0.013974,0.03513894,tp,breakout_retest_short;runner+TP1+TP2+TP3
inplay_breakout,BCHUSDT,long,1740932100000,1740940200000,328.26564000,335.42562282,0.09140768,0.61807752,0.006137,0.03639989,sl,breakout_retest_long;runner+TP1+TP2+TRAIL_SL
inplay_breakout,SOLUSDT,long,1740930300000,1740931800000,153.94078200,161.85195313,0.19491911,1.50510600,0.014853,0.03693242,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,DOGEUSDT,long,1740930900000,1740932400000,0.21080215,0.21650626,142.34200038,0.77543939,0.007635,0.03649436,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,1000PEPEUSDT,long,1740933000000,1740934800000,0.00811862,0.00827743,3695.94677837,0.55058426,0.005314,0.03635937,sl,breakout_retest_long;runner+TP1+TP2+TRAIL_SL
inplay_breakout,BCHUSDT,short,1741052700000,1741064400000,306.63866000,304.75662832,0.09781545,0.14820944,0.001423,0.03588234,sl,breakout_retest_short;runner+TP1+TRAIL_SL
inplay_breakout,DOGEUSDT,short,1741032900000,1741039500000,0.19944010,0.19602162,150.39101664,0.47842511,0.004581,0.03568433,sl,breakout_retest_short;runner+TP1+TP2+TRAIL_SL
inplay_breakout,1000PEPEUSDT,short,1741031400000,1741041000000,0.00738652,0.00721902,4060.63887385,0.64457304,0.006179,0.03558471,sl,breakout_retest_short;runner+TP1+TP2+TRAIL_SL
inplay_breakout,KITEUSDT,short,1762153200000,1762155600000,0.12783443,0.12372259,234.63162834,0.92935408,0.008831,0.03541394,tp,breakout_retest_short;runner+TP1+TP2+TP3
inplay_breakout,KITEUSDT,short,1762157400000,1762160700000,0.12535492,0.11349046,170.09451878,1.99370513,0.018744,0.02437577,tp,breakout_retest_short;runner+TP1+TP2+TP3
inplay_breakout,SOLUSDT,short,1741052100000,1741055700000,137.60247400,135.13661972,0.21797573,0.50182609,0.004631,0.03567030,sl,breakout_retest_short;runner+TP1+TP2+TRAIL_SL
inplay_breakout,SOLUSDT,short,1741056600000,1741064400000,137.13256800,137.82259508,0.21872266,-0.18700791,-0.001718,0.03608335,sl,breakout_retest_short;runner+TRAIL_SL
inplay_breakout,1000PEPEUSDT,short,1741105500000,1741107000000,0.00647071,0.00646349,4635.35228677,-0.00254070,-0.000023,0.03597274,sl,breakout_retest_short;runner+TP1+TRAIL_SL
inplay_breakout,BCHUSDT,long,1741187100000,1741192500000,386.77734000,385.79486922,0.07757952,-0.11218108,-0.001032,0.03596147,sl,breakout_retest_long;runner+TP1+TRAIL_SL
inplay_breakout,BCHUSDT,long,1741193400000,1741199400000,386.17722000,388.34789106,0.07770008,0.13255291,0.001221,0.03610840,sl,breakout_retest_long;runner+TP1+TRAIL_SL
inplay_breakout,ESPUSDT,long,1771293000000,1771294500000,0.06213242,0.06298365,482.93625241,0.37483413,0.003449,0.03625385,sl,breakout_retest_long;runner+TP1+TP2+TRAIL_SL
inplay_breakout,ENSOUSDT,short,1761021600000,1761037500000,1.72065580,1.68856203,17.43172574,0.52379269,0.004803,0.03565713,sl,breakout_retest_short;runner+TP1+TP2+TRAIL_SL
inplay_breakout,ESPUSDT,long,1771410600000,1771412400000,0.06595319,0.06615563,454.95905369,0.05604134,0.000511,0.03606246,sl,breakout_retest_long;runner+TP1+TRAIL_SL
inplay_breakout,ESPUSDT,long,1771412400000,1771416900000,0.06597319,0.06934084,454.82110370,1.49475075,0.013633,0.03692621,tp,breakout_retest_long;runner+TP1+TP2+TP3
inplay_breakout,AZTECUSDT,long,1771600200000,1771603800000,0.03076215,0.03059953,975.41943036,-0.19454038,-0.001750,0.03591202,sl,breakout_retest_long;runner+TP1+TRAIL_SL
inplay_breakout,ESPUSDT,long,1771441500000,1771449900000,0.08405681,0.08909111,356.97287006,1.76002415,0.015864,0.03708547,tp,breakout_retest_long;runner+TP1+TP2+TP3
