strategy,symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,pnl_pct_equity,fees,outcome,reason
inplay_breakout,ESPUSDT,short,1770946800000,1770947100000,0.06619676,0.06719858,453.10376076,-0.49019442,-0.004902,0.03626516,sl,breakout_retest_short;runner+SL
inplay_breakout,BCHUSDT,short,1740710400000,1740711600000,280.74384000,284.18776897,0.10683761,-0.40415469,-0.004061,0.03621356,sl,breakout_retest_short;runner+TRAIL_SL
inplay_breakout,ENSOUSDT,short,1760685600000,1760686500000,2.10757840,2.11416561,14.23149905,-0.12979486,-0.001310,0.03604905,sl,breakout_retest_short;runner+TP1+SL
inplay_breakout,ENSOUSDT,short,1760686500000,1760688600000,2.10957800,2.05079579,14.21800948,0.80027466,0.008086,0.03549134,tp,breakout_retest_short;runner+TP1+TP2+TP3
inplay_breakout,LTCUSDT,short,1740724800000,1740731400000,116.69665600,115.88366205,0.25702536,0.17309264,0.001735,0.03586742,sl,breakout_retest_short;runner+TP1+TRAIL_SL
inplay_breakout,ETHUSDT,short,1740708300000,1740711600000,2211.80755000,2163.04756447,0.01356085,0.62563100,0.006271,0.03559606,sl,breakout_retest_short;runner+TP1+TP2+TRAIL_SL
inplay_breakout,SOLUSDT,short,1740710100000,1740711900000,129.13416800,131.01395818,0.23227005,-0.47287374,-0.004715,0.03625477,sl,breakout_retest_short;runner+TRAIL_SL
inplay_breakout,SOLUSDT,short,1740713100000,1740717600000,129.11417200,127.81706535,0.23230602,0.26551368,0.002649,0.03581200,sl,breakout_retest_short;runner+TP1+TRAIL_SL
inplay_breakout,1000PEPEUSDT,short,1740709500000,1740717900000,0.00772745,0.00752082,3881.48531505,0.76651867,0.007670,0.03551158,sl,breakout_retest_short;runner+TP1+TP2+TRAIL_SL
inplay_breakout,BTCUSDT,short,1740711600000,1740717900000,81197.55724000,80447.52111394,0.00036940,0.24123329,0.002395,0.03582656,sl,breakout_retest_short;runner+TP1+TRAIL_SL
