strategy,symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,pnl_pct_equity,fees,outcome,reason
inplay,TAOUSDT,long,1740883800000,1740884700000,340.22803200,342.67195190,0.27126526,0.55180234,0.005518,0.11114822,tp,retest_long+TP1
inplay,ZECUSDT,long,1740890400000,1740891000000,38.28765600,37.90241800,1.35880814,-0.58558115,-0.005824,0.06211662,sl,retest_long+SL
inplay,ZECUSDT,long,1740896700000,1740905400000,38.38767600,38.77824280,1.72355554,0.59336372,0.005936,0.07979985,tp,retest_long+TP1
inplay,BIOUSDT,long,1740912300000,1740914700000,0.12672534,0.12793441,558.50963266,0.58993817,0.005868,0.08533795,tp,retest_long+TP1
inplay,PIPPINUSDT,long,1740913500000,1740914700000,0.02847569,0.02925665,887.60236264,0.66243015,0.006592,0.03074602,tp,retest_long+TP1
inplay,DOGEUSDT,long,1740911400000,1740912900000,0.20921183,0.20788949,410.67817097,-0.64583642,-0.006347,0.10277664,sl,retest_long+SL
inplay,PIPPINUSDT,long,1740918000000,1740919200000,0.02865573,0.02988302,571.26750006,0.68104737,0.006735,0.02006477,tp,retest_long+TP1
inplay,BIOUSDT,long,1740914700000,1740920400000,0.12812562,0.12643899,311.13044342,-0.57228273,-0.005623,0.04752168,sl,retest_long+SL
inplay,OPUSDT,long,1740907800000,1740921300000,1.07091414,1.05888818,43.34464867,-0.57665033,-0.005734,0.05538932,sl,retest_long+SL
inplay,JTOUSDT,long,1740929100000,1740929700000,2.46449280,2.55028984,8.12082509,0.67230825,0.006676,0.02443450,tp,retest_long+TP1
inplay,SNXUSDT,long,1740929100000,1740930000000,0.92928582,0.95592878,26.08451370,0.66546361,0.006609,0.02950494,tp,retest_long+TP1
inplay,ORCAUSDT,long,1740929400000,1740931200000,1.80936180,1.85617869,14.82022613,0.66124241,0.006568,0.03259448,tp,retest_long+TP1
inplay,ORCAUSDT,long,1740931200000,1740931800000,1.85537100,1.90501892,14.25930555,0.67577253,0.006582,0.03217233,tp,retest_long+TP1
inplay,AXSUSDT,long,1740929700000,1740933000000,3.80476080,3.91201744,6.52003074,0.66912841,0.006603,0.03018818,tp,retest_long+TP1
inplay,SNXUSDT,long,1740930600000,1740933000000,0.93958788,0.96541188,27.24805217,0.67250915,0.006593,0.03114452,tp,retest_long+TP1
inplay,ZECUSDT,long,1740932100000,1740933000000,41.16823200,41.76914450,1.17149702,0.64567067,0.006248,0.05829653,tp,retest_long+TP1
inplay,AXSUSDT,long,1740933000000,1740972300000,3.91478280,3.81555816,5.39214272,-0.56004326,-0.005317,0.02500986,sl,retest_long+SL
inplay,SNXUSDT,long,1740933000000,1740984000000,0.98239644,0.95086336,16.91370905,-0.55296048,-0.005248,0.01961916,sl,retest_long+SL
inplay,ZECUSDT,long,1740933000000,1740984900000,41.87837400,40.65829529,0.43765727,-0.55564998,-0.005274,0.02167366,sl,retest_long+SL
inplay,WLFIUSDT,long,1756173900000,1756184400000,0.24894978,0.23965206,56.35416980,-0.54048614,-0.005212,0.01652085,sl,retest_long+SL
inplay,WLFIUSDT,long,1756198500000,1756199100000,0.26245248,0.27062086,87.25780110,0.68484643,0.006639,0.02790888,tp,retest_long+TP1
inplay,MYXUSDT,long,1754654700000,1754658000000,2.19089809,2.07059401,4.34635749,-0.53399772,-0.005143,0.01111318,sl,retest_long+SL
inplay,XAUTUSDT,long,1743949800000,1743954900000,3065.81304000,3058.20252286,0.03262430,-0.36816281,-0.003546,0.11987503,sl,retest_long+SL
inplay,AAVEUSDT,long,1741108500000,1741114200000,205.25104200,214.88301480,0.07415985,0.69561141,0.006758,0.01869425,tp,retest_long+TP1
inplay,ENAUSDT,long,1741119600000,1741120800000,0.37207440,0.37617475,170.62670812,0.62302645,0.006014,0.07660277,tp,retest_long+TP1
inplay,BTCUSDT,long,1741115400000,1741121400000,88085.41356000,87261.08000714,0.00065649,-0.61023856,-0.005889,0.06906837,sl,retest_long+SL
inplay,ENAUSDT,long,1741120800000,1741124100000,0.37887576,0.39245149,53.13362671,0.69673793,0.006685,0.02459005,tp,retest_long+TP1
inplay,ASTERUSDT,long,1758603600000,1758605400000,1.68713736,1.77254542,8.48056472,0.70670454,0.006775,0.01760404,tp,retest_long+TP1
inplay,SOLUSDT,long,1741123500000,1741128600000,146.53930200,143.99762329,0.20861182,-0.56658989,-0.005468,0.03636566,sl,retest_long+SL
inplay,ASTERUSDT,long,1758606000000,1758609000000,1.76325258,1.69251857,7.45753435,-0.54296422,-0.005197,0.01546292,sl,retest_long+SL
inplay,LINKUSDT,long,1741123200000,1741135500000,15.14902920,14.65860341,1.06953387,-0.54365516,-0.005246,0.01912816,sl,retest_long+SL
inplay,PIPPINUSDT,long,1741170600000,1741171200000,0.02628526,0.02551490,680.21384678,-0.54515065,-0.005273,0.02114111,sl,retest_long+SL
