step,start,end,run_dir,symbols_in,excluded,symbols_next,summary_csv,trades_csv
1,2025-02-24,2025-03-26,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step1_2025-03-26,"BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,DOGEUSDT,ADAUSDT,AVAXUSDT,LINKUSDT,BNBUSDT,ARBUSDT,OPUSDT,AAVEUSDT,DOTUSDT,SUIUSDT,1000PEPEUSDT,ENAUSDT,TAOUSDT,VIRTUALUSDT,JTOUSDT,ASTERUSDT,KITEUSDT,WLFIUSDT,BIOUSDT,PIPPINUSDT,HYPEUSDT,AGLDUSDT,MYXUSDT,XAUTUSDT,ORCAUSDT,SNXUSDT,ZECUSDT,RIVERUSDT,AXSUSDT","BTCUSDT,ETHUSDT,ADAUSDT,HYPEUSDT,VIRTUALUSDT,AVAXUSDT","SOLUSDT,XRPUSDT,DOGEUSDT,LINKUSDT,BNBUSDT,ARBUSDT,OPUSDT,AAVEUSDT,DOTUSDT,SUIUSDT,1000PEPEUSDT,ENAUSDT,TAOUSDT,JTOUSDT,ASTERUSDT,KITEUSDT,WLFIUSDT,BIOUSDT,PIPPINUSDT,AGLDUSDT,MYXUSDT,XAUTUSDT,ORCAUSDT,SNXUSDT,ZECUSDT,RIVERUSDT,AXSUSDT",/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step1_2025-03-26/summary.csv,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step1_2025-03-26/trades.csv
2,2025-03-26,2025-04-25,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step2_2025-04-25,"SOLUSDT,XRPUSDT,DOGEUSDT,LINKUSDT,BNBUSDT,ARBUSDT,OPUSDT,AAVEUSDT,DOTUSDT,SUIUSDT,1000PEPEUSDT,ENAUSDT,TAOUSDT,JTOUSDT,ASTERUSDT,KITEUSDT,WLFIUSDT,BIOUSDT,PIPPINUSDT,AGLDUSDT,MYXUSDT,XAUTUSDT,ORCAUSDT,SNXUSDT,ZECUSDT,RIVERUSDT,AXSUSDT","LINKUSDT,DOTUSDT,XAUTUSDT,1000PEPEUSDT,AAVEUSDT,ZECUSDT","BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,DOGEUSDT,ADAUSDT,AVAXUSDT,BNBUSDT,ARBUSDT,OPUSDT,SUIUSDT,ENAUSDT,TAOUSDT,VIRTUALUSDT,JTOUSDT,ASTERUSDT,KITEUSDT,WLFIUSDT,BIOUSDT,PIPPINUSDT,HYPEUSDT,AGLDUSDT,MYXUSDT,ORCAUSDT,SNXUSDT,RIVERUSDT,AXSUSDT",/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step2_2025-04-25/summary.csv,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step2_2025-04-25/trades.csv
3,2025-04-25,2025-05-25,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step3_2025-05-25,"BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,DOGEUSDT,ADAUSDT,AVAXUSDT,BNBUSDT,ARBUSDT,OPUSDT,SUIUSDT,ENAUSDT,TAOUSDT,VIRTUALUSDT,JTOUSDT,ASTERUSDT,KITEUSDT,WLFIUSDT,BIOUSDT,PIPPINUSDT,HYPEUSDT,AGLDUSDT,MYXUSDT,ORCAUSDT,SNXUSDT,RIVERUSDT,AXSUSDT","OPUSDT,BTCUSDT,ADAUSDT,ARBUSDT,SUIUSDT,PIPPINUSDT","ETHUSDT,SOLUSDT,XRPUSDT,DOGEUSDT,AVAXUSDT,LINKUSDT,BNBUSDT,AAVEUSDT,DOTUSDT,1000PEPEUSDT,ENAUSDT,TAOUSDT,VIRTUALUSDT,JTOUSDT,ASTERUSDT,KITEUSDT,WLFIUSDT,BIOUSDT,HYPEUSDT,AGLDUSDT,MYXUSDT,XAUTUSDT,ORCAUSDT,SNXUSDT,ZECUSDT,RIVERUSDT,AXSUSDT",/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step3_2025-05-25/summary.csv,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step3_2025-05-25/trades.csv
4,2025-05-25,2025-06-24,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step4_2025-06-24,"ETHUSDT,SOLUSDT,XRPUSDT,DOGEUSDT,AVAXUSDT,LINKUSDT,BNBUSDT,AAVEUSDT,DOTUSDT,1000PEPEUSDT,ENAUSDT,TAOUSDT,VIRTUALUSDT,JTOUSDT,ASTERUSDT,KITEUSDT,WLFIUSDT,BIOUSDT,HYPEUSDT,AGLDUSDT,MYXUSDT,XAUTUSDT,ORCAUSDT,SNXUSDT,ZECUSDT,RIVERUSDT,AXSUSDT","AAVEUSDT,JTOUSDT,ZECUSDT,ETHUSDT,TAOUSDT,1000PEPEUSDT","BTCUSDT,SOLUSDT,XRPUSDT,DOGEUSDT,ADAUSDT,AVAXUSDT,LINKUSDT,BNBUSDT,ARBUSDT,OPUSDT,DOTUSDT,SUIUSDT,ENAUSDT,VIRTUALUSDT,ASTERUSDT,KITEUSDT,WLFIUSDT,BIOUSDT,PIPPINUSDT,HYPEUSDT,AGLDUSDT,MYXUSDT,XAUTUSDT,ORCAUSDT,SNXUSDT,RIVERUSDT,AXSUSDT",/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step4_2025-06-24/summary.csv,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step4_2025-06-24/trades.csv
5,2025-06-24,2025-07-24,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step5_2025-07-24,"BTCUSDT,SOLUSDT,XRPUSDT,DOGEUSDT,ADAUSDT,AVAXUSDT,LINKUSDT,BNBUSDT,ARBUSDT,OPUSDT,DOTUSDT,SUIUSDT,ENAUSDT,VIRTUALUSDT,ASTERUSDT,KITEUSDT,WLFIUSDT,BIOUSDT,PIPPINUSDT,HYPEUSDT,AGLDUSDT,MYXUSDT,XAUTUSDT,ORCAUSDT,SNXUSDT,RIVERUSDT,AXSUSDT","LINKUSDT,BIOUSDT,SUIUSDT,AGLDUSDT,ADAUSDT,ENAUSDT","BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,DOGEUSDT,AVAXUSDT,BNBUSDT,ARBUSDT,OPUSDT,AAVEUSDT,DOTUSDT,1000PEPEUSDT,TAOUSDT,VIRTUALUSDT,JTOUSDT,ASTERUSDT,KITEUSDT,WLFIUSDT,PIPPINUSDT,HYPEUSDT,MYXUSDT,XAUTUSDT,ORCAUSDT,SNXUSDT,ZECUSDT,RIVERUSDT,AXSUSDT",/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step5_2025-07-24/summary.csv,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step5_2025-07-24/trades.csv
6,2025-07-24,2025-08-23,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step6_2025-08-23,"BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,DOGEUSDT,AVAXUSDT,BNBUSDT,ARBUSDT,OPUSDT,AAVEUSDT,DOTUSDT,1000PEPEUSDT,TAOUSDT,VIRTUALUSDT,JTOUSDT,ASTERUSDT,KITEUSDT,WLFIUSDT,PIPPINUSDT,HYPEUSDT,MYXUSDT,XAUTUSDT,ORCAUSDT,SNXUSDT,ZECUSDT,RIVERUSDT,AXSUSDT","HYPEUSDT,AXSUSDT,DOGEUSDT,SNXUSDT,ORCAUSDT,SOLUSDT","BTCUSDT,ETHUSDT,XRPUSDT,ADAUSDT,AVAXUSDT,LINKUSDT,BNBUSDT,ARBUSDT,OPUSDT,AAVEUSDT,DOTUSDT,SUIUSDT,1000PEPEUSDT,ENAUSDT,TAOUSDT,VIRTUALUSDT,JTOUSDT,ASTERUSDT,KITEUSDT,WLFIUSDT,BIOUSDT,PIPPINUSDT,AGLDUSDT,MYXUSDT,XAUTUSDT,ZECUSDT,RIVERUSDT",/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step6_2025-08-23/summary.csv,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step6_2025-08-23/trades.csv
7,2025-08-23,2025-09-22,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step7_2025-09-22,"BTCUSDT,ETHUSDT,XRPUSDT,ADAUSDT,AVAXUSDT,LINKUSDT,BNBUSDT,ARBUSDT,OPUSDT,AAVEUSDT,DOTUSDT,SUIUSDT,1000PEPEUSDT,ENAUSDT,TAOUSDT,VIRTUALUSDT,JTOUSDT,ASTERUSDT,KITEUSDT,WLFIUSDT,BIOUSDT,PIPPINUSDT,AGLDUSDT,MYXUSDT,XAUTUSDT,ZECUSDT,RIVERUSDT",,"BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,DOGEUSDT,ADAUSDT,AVAXUSDT,LINKUSDT,BNBUSDT,ARBUSDT,OPUSDT,AAVEUSDT,DOTUSDT,SUIUSDT,1000PEPEUSDT,ENAUSDT,TAOUSDT,VIRTUALUSDT,JTOUSDT,ASTERUSDT,KITEUSDT,WLFIUSDT,BIOUSDT,PIPPINUSDT,HYPEUSDT,AGLDUSDT,MYXUSDT,XAUTUSDT,ORCAUSDT,SNXUSDT,ZECUSDT,RIVERUSDT,AXSUSDT",/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step7_2025-09-22/summary.csv,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step7_2025-09-22/trades.csv
8,2025-09-22,2025-10-22,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step8_2025-10-22,"BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,DOGEUSDT,ADAUSDT,AVAXUSDT,LINKUSDT,BNBUSDT,ARBUSDT,OPUSDT,AAVEUSDT,DOTUSDT,SUIUSDT,1000PEPEUSDT,ENAUSDT,TAOUSDT,VIRTUALUSDT,JTOUSDT,ASTERUSDT,KITEUSDT,WLFIUSDT,BIOUSDT,PIPPINUSDT,HYPEUSDT,AGLDUSDT,MYXUSDT,XAUTUSDT,ORCAUSDT,SNXUSDT,ZECUSDT,RIVERUSDT,AXSUSDT","LINKUSDT,ADAUSDT,SUIUSDT,AXSUSDT,ARBUSDT,ASTERUSDT","BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,DOGEUSDT,AVAXUSDT,BNBUSDT,OPUSDT,AAVEUSDT,DOTUSDT,1000PEPEUSDT,ENAUSDT,TAOUSDT,VIRTUALUSDT,JTOUSDT,KITEUSDT,WLFIUSDT,BIOUSDT,PIPPINUSDT,HYPEUSDT,AGLDUSDT,MYXUSDT,XAUTUSDT,ORCAUSDT,SNXUSDT,ZECUSDT,RIVERUSDT",/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step8_2025-10-22/summary.csv,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step8_2025-10-22/trades.csv
9,2025-10-22,2025-11-21,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step9_2025-11-21,"BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,DOGEUSDT,AVAXUSDT,BNBUSDT,OPUSDT,AAVEUSDT,DOTUSDT,1000PEPEUSDT,ENAUSDT,TAOUSDT,VIRTUALUSDT,JTOUSDT,KITEUSDT,WLFIUSDT,BIOUSDT,PIPPINUSDT,HYPEUSDT,AGLDUSDT,MYXUSDT,XAUTUSDT,ORCAUSDT,SNXUSDT,ZECUSDT,RIVERUSDT","ZECUSDT,AVAXUSDT,SOLUSDT,BIOUSDT,JTOUSDT,RIVERUSDT","BTCUSDT,ETHUSDT,XRPUSDT,DOGEUSDT,ADAUSDT,LINKUSDT,BNBUSDT,ARBUSDT,OPUSDT,AAVEUSDT,DOTUSDT,SUIUSDT,1000PEPEUSDT,ENAUSDT,TAOUSDT,VIRTUALUSDT,ASTERUSDT,KITEUSDT,WLFIUSDT,PIPPINUSDT,HYPEUSDT,AGLDUSDT,MYXUSDT,XAUTUSDT,ORCAUSDT,SNXUSDT,AXSUSDT",/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step9_2025-11-21/summary.csv,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step9_2025-11-21/trades.csv
10,2025-11-21,2025-12-21,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step10_2025-12-21,"BTCUSDT,ETHUSDT,XRPUSDT,DOGEUSDT,ADAUSDT,LINKUSDT,BNBUSDT,ARBUSDT,OPUSDT,AAVEUSDT,DOTUSDT,SUIUSDT,1000PEPEUSDT,ENAUSDT,TAOUSDT,VIRTUALUSDT,ASTERUSDT,KITEUSDT,WLFIUSDT,PIPPINUSDT,HYPEUSDT,AGLDUSDT,MYXUSDT,XAUTUSDT,ORCAUSDT,SNXUSDT,AXSUSDT","ORCAUSDT,WLFIUSDT,KITEUSDT,ADAUSDT,BTCUSDT,MYXUSDT","ETHUSDT,SOLUSDT,XRPUSDT,DOGEUSDT,AVAXUSDT,LINKUSDT,BNBUSDT,ARBUSDT,OPUSDT,AAVEUSDT,DOTUSDT,SUIUSDT,1000PEPEUSDT,ENAUSDT,TAOUSDT,VIRTUALUSDT,JTOUSDT,ASTERUSDT,BIOUSDT,PIPPINUSDT,HYPEUSDT,AGLDUSDT,XAUTUSDT,SNXUSDT,ZECUSDT,RIVERUSDT,AXSUSDT",/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step10_2025-12-21/summary.csv,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/walkforward_wf_brk_strict_3x/step10_2025-12-21/trades.csv
