run_dir,kind,summary_exists,tag,strategies,symbols,days,end_date_utc,starting_equity,ending_equity,trades,net_pnl,profit_factor,winrate,max_drawdown
backtest_runs/old/breakout_filter_sweep_20260303_113631,breakout,1,brfs_strict_base_360d,,,,,,132.39,259,32.39,,0.622,
backtest_runs/old/candidate_scan_20260303_131059,candidate,0,,,,,,,,,,,,
backtest_runs/old/candidate_scan_20260303_131208,candidate,0,,,,,,,,,,,,
backtest_runs/old/candidate_scan_20260303_132418,candidate,1,cand_donchian_base_180d,,,,,,99.31,11,-0.69,,0.091,
backtest_runs/old/candidate_scan_v2_20260303_153729,candidate,0,,,,,,,,,,,,
backtest_runs/old/candidate_scan_v2_20260303_153947,candidate,1,cand2_momentum_base_120d,,,,,,,,,,,
backtest_runs/old/candidate_scan_v2_20260303_155257,candidate,1,cand2_momentum_base_360d,,,,,,0.00,25349,-100.00,,0.197,
backtest_runs/old/flat_bounce_v3_suite_20260303_064815,flat,0,,,,,,,,,,,,
backtest_runs/old/flat_bounce_v3_suite_20260303_071039,flat,0,,,,,,,,,,,,
backtest_runs/old/funding_20260302_134602_funding_smoke_30d,funding,1,funding_smoke_30d,,KAVAUSDT;SAHARAUSDT;ZETAUSDT;KNCUSDT;PHAUSDT;ALICEUSDT;ATHUSDT;YGGUSDT,30,,,,,,,,
backtest_runs/old/funding_20260302_134708_funding_hold_30d,funding,1,funding_hold_30d,,KAVAUSDT;SAHARAUSDT;ZETAUSDT;KNCUSDT;PHAUSDT;ALICEUSDT;ATHUSDT;YGGUSDT,30,,,,,,,,
backtest_runs/old/funding_20260302_134719_funding_flip_30d,funding,1,funding_flip_30d,,KAVAUSDT;SAHARAUSDT;ZETAUSDT;KNCUSDT;PHAUSDT;ALICEUSDT;ATHUSDT;YGGUSDT,30,,,,,,,,
backtest_runs/old/funding_20260302_141322_funding_smoke30_flip_v2b,funding,1,funding_smoke30_flip_v2b,,LYNUSDT;ZROUSDT;GRASSUSDT;DOTUSDT;TAOUSDT;1000PEPEUSDT;PIPPINUSDT;VIRTUALUSDT,30,,,,,,,,
backtest_runs/old/funding_20260302_141322_funding_smoke30_hold_v2b,funding,1,funding_smoke30_hold_v2b,,LYNUSDT;ZROUSDT;GRASSUSDT;DOTUSDT;TAOUSDT;1000PEPEUSDT;PIPPINUSDT;VIRTUALUSDT,30,,,,,,,,
backtest_runs/old/funding_20260302_141427_funding_smoke30_flip_interval8,funding,1,funding_smoke30_flip_interval8,,LYNUSDT;ZROUSDT;GRASSUSDT;DOTUSDT;TAOUSDT;1000PEPEUSDT;PIPPINUSDT;VIRTUALUSDT,30,,,,,,,,
backtest_runs/old/funding_20260302_141427_funding_smoke30_hold_interval8,funding,1,funding_smoke30_hold_interval8,,LYNUSDT;ZROUSDT;GRASSUSDT;DOTUSDT;TAOUSDT;1000PEPEUSDT;PIPPINUSDT;VIRTUALUSDT,30,,,,,,,,
backtest_runs/old/funding_20260302_141455_funding_major8_flip_30d,funding,1,funding_major8_flip_30d,,BTCUSDT;ETHUSDT;SOLUSDT;ADAUSDT;LINKUSDT;DOGEUSDT;LTCUSDT;BCHUSDT,30,,,,,,,,
backtest_runs/old/funding_20260302_141455_funding_major8_hold_30d,funding,1,funding_major8_hold_30d,,BTCUSDT;ETHUSDT;SOLUSDT;ADAUSDT;LINKUSDT;DOGEUSDT;LTCUSDT;BCHUSDT,30,,,,,,,,
backtest_runs/old/funding_20260302_141546_funding_smoke30_hold_interval8_buf,funding,1,funding_smoke30_hold_interval8_buf,,DOTUSDT;1000PEPEUSDT;HYPEUSDT;SUIUSDT;ZECUSDT;AVAXUSDT;OPUSDT;ARBUSDT,30,,,,,,,,
backtest_runs/old/funding_20260302_141622_funding_smoke30_flip_interval8_buf_manual,funding,1,funding_smoke30_flip_interval8_buf_manual,,DOTUSDT;1000PEPEUSDT;HYPEUSDT;SUIUSDT;ZECUSDT;AVAXUSDT;OPUSDT;ARBUSDT,30,,,,,,,,
backtest_runs/old/funding_20260302_143654_funding_profile_v1_hold_180d,funding,1,funding_profile_v1_hold_180d,,DOTUSDT;1000PEPEUSDT;HYPEUSDT;BCHUSDT;AVAXUSDT;SUIUSDT;ZECUSDT;ARBUSDT,180,,,,,,,,
backtest_runs/old/funding_20260302_143654_funding_profile_v1_hold_90d,funding,1,funding_profile_v1_hold_90d,,DOTUSDT;1000PEPEUSDT;HYPEUSDT;BCHUSDT;AVAXUSDT;SUIUSDT;ZECUSDT;ARBUSDT,90,,,,,,,,
backtest_runs/old/funding_20260302_143801_funding_profile_v1_hold_180d_stressfee,funding,1,funding_profile_v1_hold_180d_stressfee,,DOTUSDT;1000PEPEUSDT;HYPEUSDT;BCHUSDT;AVAXUSDT;SUIUSDT;ZECUSDT;ARBUSDT,180,,,,,,,,
backtest_runs/old/funding_20260302_143801_funding_profile_v1_hold_90d_stressfee,funding,1,funding_profile_v1_hold_90d_stressfee,,DOTUSDT;1000PEPEUSDT;HYPEUSDT;BCHUSDT;AVAXUSDT;SUIUSDT;ZECUSDT;ARBUSDT,90,,,,,,,,
backtest_runs/old/funding_20260302_145927_funding_profile_v1_hold_180d_sel,funding,1,funding_profile_v1_hold_180d_sel,,ZECUSDT;HYPEUSDT;SUIUSDT;DOTUSDT;1000PEPEUSDT;ARBUSDT;LTCUSDT;BCHUSDT,180,,,,,,,,
backtest_runs/old/funding_20260302_150136_funding_profile_v1_hold_90d_sel,funding,1,funding_profile_v1_hold_90d_sel,,ZECUSDT;BCHUSDT;1000PEPEUSDT;SUIUSDT;HYPEUSDT;DOTUSDT;AAVEUSDT;ARBUSDT,90,,,,,,,,
backtest_runs/old/funding_20260302_193213_funding_gate_base_180d,funding,0,,,,,,,,,,,,
backtest_runs/old/funding_20260302_193708_funding_gate_stress_180d,funding,0,,,,,,,,,,,,
backtest_runs/old/funding_20260302_193915_funding_gate_base_180d,funding,1,funding_gate_base_180d,,BCHUSDT,180,,,,,,,,
backtest_runs/old/funding_20260302_193925_funding_gate_stress_180d,funding,1,funding_gate_stress_180d,,BCHUSDT,180,,,,,,,,
backtest_runs/old/funding_20260302_195103_funding_gate_base_180d,funding,1,funding_gate_base_180d,,BCHUSDT,180,,,,,,,,
backtest_runs/old/funding_20260302_195108_funding_gate_stress_180d,funding,1,funding_gate_stress_180d,,BCHUSDT,180,,,,,,,,
backtest_runs/old/funding_20260302_195446_funding_gate_base_60d,funding,0,,,,,,,,,,,,
backtest_runs/old/funding_20260302_195531_funding_gate_stress_60d,funding,0,,,,,,,,,,,,
backtest_runs/old/funding_20260302_195820_funding_gate_base_180d,funding,1,funding_gate_base_180d,,BCHUSDT,180,,,,,,,,
backtest_runs/old/funding_20260302_195825_funding_gate_stress_180d,funding,1,funding_gate_stress_180d,,BCHUSDT,180,,,,,,,,
backtest_runs/old/funding_20260302_200724_funding_gate_base_180d,funding,1,funding_gate_base_180d,,RIVERUSDT;PIPPINUSDT;ENSOUSDT;SAHARAUSDT;ARCUSDT;SIRENUSDT;LYNUSDT;VVVUSDT,180,,,,,,,,
backtest_runs/old/funding_20260302_201023_funding_gate_stress_180d,funding,1,funding_gate_stress_180d,,RIVERUSDT;PIPPINUSDT;ENSOUSDT;SAHARAUSDT;ARCUSDT;SIRENUSDT;POWERUSDT;LYNUSDT,180,,,,,,,,
backtest_runs/old/funding_20260302_202124_funding_gate_base_180d,funding,1,funding_gate_base_180d,,HYPEUSDT;1000PEPEUSDT;ETHUSDT;SOLUSDT,180,,,,,,,,
backtest_runs/old/funding_20260302_202149_funding_gate_stress_180d,funding,1,funding_gate_stress_180d,,HYPEUSDT;1000PEPEUSDT;ETHUSDT;SOLUSDT,180,,,,,,,,
backtest_runs/old/funding_20260302_203207_funding_gate_base_180d,funding,1,funding_gate_base_180d,,SOLUSDT,180,,,,,,,,
backtest_runs/old/funding_20260302_203210_funding_gate_stress_180d,funding,1,funding_gate_stress_180d,,SOLUSDT,180,,,,,,,,
backtest_runs/old/funding_20260302_203213_funding_gate_base_180d,funding,1,funding_gate_base_180d,,SOLUSDT,180,,,,,,,,
backtest_runs/old/funding_20260302_203217_funding_gate_stress_180d,funding,1,funding_gate_stress_180d,,SOLUSDT,180,,,,,,,,
backtest_runs/old/funding_20260302_203220_funding_gate_base_180d,funding,1,funding_gate_base_180d,,SOLUSDT,180,,,,,,,,
backtest_runs/old/funding_20260302_203224_funding_gate_stress_180d,funding,1,funding_gate_stress_180d,,SOLUSDT,180,,,,,,,,
backtest_runs/old/funding_20260302_203228_funding_gate_base_180d,funding,1,funding_gate_base_180d,,SOLUSDT,180,,,,,,,,
backtest_runs/old/funding_20260302_203231_funding_gate_stress_180d,funding,1,funding_gate_stress_180d,,SOLUSDT,180,,,,,,,,
backtest_runs/old/funding_gate_ab_20260302_170742,funding,0,,,,,,,,,,,,
backtest_runs/old/funding_gate_ab_20260302_171533,funding,0,,,,,,,,,,,,
backtest_runs/old/funding_gate_ab_20260302_173207,funding,0,,,,,,,,,,,,
backtest_runs/old/funding_gate_ab_20260302_173915,funding,0,,,,,,,,,,,,
