file,module,status,exists_file,in_run_portfolio_imports,action_hint
__init__.py,__init__,keep_active,1,0,check_active_missing_import
adaptive_range_short.py,adaptive_range_short,archive_candidate,1,1,prune_import_before_archive
bounce_bt.py,bounce_bt,archive_candidate,1,1,prune_import_before_archive
bounce_bt_v2.py,bounce_bt_v2,archive_candidate,1,1,prune_import_before_archive
btc_eth_midterm_pullback.py,btc_eth_midterm_pullback,keep_active,1,1,ok_active
btc_eth_trend_follow.py,btc_eth_trend_follow,archive_candidate,1,1,prune_import_before_archive
btc_eth_trend_follow_v2.py,btc_eth_trend_follow_v2,archive_candidate,1,1,prune_import_before_archive
btc_eth_trend_rsi_reentry.py,btc_eth_trend_rsi_reentry,archive_candidate,1,1,prune_import_before_archive
btc_eth_vol_expansion.py,btc_eth_vol_expansion,archive_candidate,1,1,prune_import_before_archive
donchian_breakout.py,donchian_breakout,archive_candidate,1,1,prune_import_before_archive
flat_bounce_v2.py,flat_bounce_v2,archive_candidate,1,1,prune_import_before_archive
flat_bounce_v3.py,flat_bounce_v3,archive_candidate,1,1,prune_import_before_archive
funding_hold_v1.py,funding_hold_v1,archive_candidate,1,0,archive_ready
inplay_breakout.py,inplay_breakout,keep_active,1,1,ok_active
inplay_pullback.py,inplay_pullback,archive_candidate,1,1,prune_import_before_archive
inplay_wrapper.py,inplay_wrapper,archive_candidate,1,1,prune_import_before_archive
momentum_continuation.py,momentum_continuation,archive_candidate,1,1,prune_import_before_archive
pump_fade.py,pump_fade,archive_candidate,1,1,prune_import_before_archive
range_bounce.py,range_bounce,archive_candidate,1,1,prune_import_before_archive
range_wrapper.py,range_wrapper,archive_candidate,1,1,prune_import_before_archive
retest_backtest.py,retest_backtest,archive_candidate,1,1,prune_import_before_archive
signals.py,signals,keep_active,1,0,check_active_missing_import
smart_grid.py,smart_grid,archive_candidate,1,1,prune_import_before_archive
sr_break_retest_volume_v1.py,sr_break_retest_volume_v1,archive_candidate,1,1,prune_import_before_archive
structure_shift_v1.py,structure_shift_v1,archive_candidate,1,1,prune_import_before_archive
structure_shift_v2.py,structure_shift_v2,archive_candidate,1,1,prune_import_before_archive
trend_pullback.py,trend_pullback,archive_candidate,1,1,prune_import_before_archive
trend_pullback_be_trail.py,trend_pullback_be_trail,archive_candidate,1,1,prune_import_before_archive
trend_regime_breakout.py,trend_regime_breakout,archive_candidate,1,1,prune_import_before_archive
trendline_break_retest.py,trendline_break_retest,archive_candidate,1,1,prune_import_before_archive
trendline_break_retest_v2.py,trendline_break_retest_v2,archive_candidate,1,1,prune_import_before_archive
trendline_break_retest_v3.py,trendline_break_retest_v3,archive_candidate,1,1,prune_import_before_archive
trendline_break_retest_v4.py,trendline_break_retest_v4,archive_candidate,1,1,prune_import_before_archive
triple_screen_v132.py,triple_screen_v132,archive_candidate,1,1,prune_import_before_archive
triple_screen_v132b.py,triple_screen_v132b,archive_candidate,1,1,prune_import_before_archive
tv_atr_trend_v1.py,tv_atr_trend_v1,archive_candidate,1,1,prune_import_before_archive
tv_atr_trend_v2.py,tv_atr_trend_v2,archive_candidate,1,1,prune_import_before_archive
vol_breakout.py,vol_breakout,archive_candidate,1,1,prune_import_before_archive
