run_id,tag,run_dir,passed,fail_reasons,score,trades,net_pnl,profit_factor,winrate,max_drawdown,negative_months,positive_months,max_negative_streak,worst_month_pnl,overrides_json
1,triple_screen_elder_friend_v11_r001,,False,"runner:CalledProcessError:Command '['/root/by-bot/.venv/bin/python3', 'backtest/run_portfolio.py', '--symbols', 'ETHUSDT,AVAXUSDT,SOLUSDT', '--strategies', 'triple_screen_v132', '--days', '360', '--end', '2026-02-24', '--tag', 'triple_screen_elder_friend_v11_r001']' returned non-zero exit status 1.",-1000000.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,"{""SYMBOLS"": ""ETHUSDT,AVAXUSDT,SOLUSDT"", ""TS132_ALLOW_LONGS"": ""1"", ""TS132_ALLOW_SHORTS"": ""1"", ""TS132_EVAL_TF_MIN"": ""60"", ""TS132_OSC_OB"": ""68"", ""TS132_OSC_PERIOD"": ""6"", ""TS132_SL_ATR_MULT"": ""1.5"", ""TS132_TP_ATR_MULT"": ""6.0"", ""TS132_TRADE_MODE"": ""active"", ""TS132_TREND_EMA_LEN"": ""21"", ""TS132_TREND_TF"": ""240""}"
2,triple_screen_elder_friend_v11_r002,,False,"runner:CalledProcessError:Command '['/root/by-bot/.venv/bin/python3', 'backtest/run_portfolio.py', '--symbols', 'ETHUSDT,AVAXUSDT,SOLUSDT', '--strategies', 'triple_screen_v132', '--days', '360', '--end', '2026-02-24', '--tag', 'triple_screen_elder_friend_v11_r002']' returned non-zero exit status 1.",-1000000.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,"{""SYMBOLS"": ""ETHUSDT,AVAXUSDT,SOLUSDT"", ""TS132_ALLOW_LONGS"": ""1"", ""TS132_ALLOW_SHORTS"": ""1"", ""TS132_EVAL_TF_MIN"": ""60"", ""TS132_OSC_OB"": ""68"", ""TS132_OSC_PERIOD"": ""6"", ""TS132_SL_ATR_MULT"": ""1.5"", ""TS132_TP_ATR_MULT"": ""9.0"", ""TS132_TRADE_MODE"": ""active"", ""TS132_TREND_EMA_LEN"": ""21"", ""TS132_TREND_TF"": ""240""}"
3,triple_screen_elder_friend_v11_r003,,False,"runner:CalledProcessError:Command '['/root/by-bot/.venv/bin/python3', 'backtest/run_portfolio.py', '--symbols', 'ETHUSDT,AVAXUSDT,SOLUSDT', '--strategies', 'triple_screen_v132', '--days', '360', '--end', '2026-02-24', '--tag', 'triple_screen_elder_friend_v11_r003']' returned non-zero exit status 1.",-1000000.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,"{""SYMBOLS"": ""ETHUSDT,AVAXUSDT,SOLUSDT"", ""TS132_ALLOW_LONGS"": ""1"", ""TS132_ALLOW_SHORTS"": ""1"", ""TS132_EVAL_TF_MIN"": ""60"", ""TS132_OSC_OB"": ""68"", ""TS132_OSC_PERIOD"": ""6"", ""TS132_SL_ATR_MULT"": ""2.0"", ""TS132_TP_ATR_MULT"": ""6.0"", ""TS132_TRADE_MODE"": ""active"", ""TS132_TREND_EMA_LEN"": ""21"", ""TS132_TREND_TF"": ""240""}"
4,triple_screen_elder_friend_v11_r004,,False,"runner:CalledProcessError:Command '['/root/by-bot/.venv/bin/python3', 'backtest/run_portfolio.py', '--symbols', 'ETHUSDT,AVAXUSDT,SOLUSDT', '--strategies', 'triple_screen_v132', '--days', '360', '--end', '2026-02-24', '--tag', 'triple_screen_elder_friend_v11_r004']' returned non-zero exit status 1.",-1000000.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,"{""SYMBOLS"": ""ETHUSDT,AVAXUSDT,SOLUSDT"", ""TS132_ALLOW_LONGS"": ""1"", ""TS132_ALLOW_SHORTS"": ""1"", ""TS132_EVAL_TF_MIN"": ""60"", ""TS132_OSC_OB"": ""68"", ""TS132_OSC_PERIOD"": ""6"", ""TS132_SL_ATR_MULT"": ""2.0"", ""TS132_TP_ATR_MULT"": ""9.0"", ""TS132_TRADE_MODE"": ""active"", ""TS132_TREND_EMA_LEN"": ""21"", ""TS132_TREND_TF"": ""240""}"
5,triple_screen_elder_friend_v11_r005,,False,"runner:CalledProcessError:Command '['/root/by-bot/.venv/bin/python3', 'backtest/run_portfolio.py', '--symbols', 'ETHUSDT,AVAXUSDT,SOLUSDT', '--strategies', 'triple_screen_v132', '--days', '360', '--end', '2026-02-24', '--tag', 'triple_screen_elder_friend_v11_r005']' returned non-zero exit status 1.",-1000000.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,"{""SYMBOLS"": ""ETHUSDT,AVAXUSDT,SOLUSDT"", ""TS132_ALLOW_LONGS"": ""1"", ""TS132_ALLOW_SHORTS"": ""1"", ""TS132_EVAL_TF_MIN"": ""60"", ""TS132_OSC_OB"": ""72"", ""TS132_OSC_PERIOD"": ""6"", ""TS132_SL_ATR_MULT"": ""1.5"", ""TS132_TP_ATR_MULT"": ""6.0"", ""TS132_TRADE_MODE"": ""active"", ""TS132_TREND_EMA_LEN"": ""21"", ""TS132_TREND_TF"": ""240""}"
6,triple_screen_elder_friend_v11_r006,,False,"runner:CalledProcessError:Command '['/root/by-bot/.venv/bin/python3', 'backtest/run_portfolio.py', '--symbols', 'ETHUSDT,AVAXUSDT,SOLUSDT', '--strategies', 'triple_screen_v132', '--days', '360', '--end', '2026-02-24', '--tag', 'triple_screen_elder_friend_v11_r006']' returned non-zero exit status 1.",-1000000.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,"{""SYMBOLS"": ""ETHUSDT,AVAXUSDT,SOLUSDT"", ""TS132_ALLOW_LONGS"": ""1"", ""TS132_ALLOW_SHORTS"": ""1"", ""TS132_EVAL_TF_MIN"": ""60"", ""TS132_OSC_OB"": ""72"", ""TS132_OSC_PERIOD"": ""6"", ""TS132_SL_ATR_MULT"": ""1.5"", ""TS132_TP_ATR_MULT"": ""9.0"", ""TS132_TRADE_MODE"": ""active"", ""TS132_TREND_EMA_LEN"": ""21"", ""TS132_TREND_TF"": ""240""}"
7,triple_screen_elder_friend_v11_r007,,False,"runner:CalledProcessError:Command '['/root/by-bot/.venv/bin/python3', 'backtest/run_portfolio.py', '--symbols', 'ETHUSDT,AVAXUSDT,SOLUSDT', '--strategies', 'triple_screen_v132', '--days', '360', '--end', '2026-02-24', '--tag', 'triple_screen_elder_friend_v11_r007']' returned non-zero exit status 1.",-1000000.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,"{""SYMBOLS"": ""ETHUSDT,AVAXUSDT,SOLUSDT"", ""TS132_ALLOW_LONGS"": ""1"", ""TS132_ALLOW_SHORTS"": ""1"", ""TS132_EVAL_TF_MIN"": ""60"", ""TS132_OSC_OB"": ""72"", ""TS132_OSC_PERIOD"": ""6"", ""TS132_SL_ATR_MULT"": ""2.0"", ""TS132_TP_ATR_MULT"": ""6.0"", ""TS132_TRADE_MODE"": ""active"", ""TS132_TREND_EMA_LEN"": ""21"", ""TS132_TREND_TF"": ""240""}"
8,triple_screen_elder_friend_v11_r008,,False,"runner:CalledProcessError:Command '['/root/by-bot/.venv/bin/python3', 'backtest/run_portfolio.py', '--symbols', 'ETHUSDT,AVAXUSDT,SOLUSDT', '--strategies', 'triple_screen_v132', '--days', '360', '--end', '2026-02-24', '--tag', 'triple_screen_elder_friend_v11_r008']' returned non-zero exit status 1.",-1000000.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,"{""SYMBOLS"": ""ETHUSDT,AVAXUSDT,SOLUSDT"", ""TS132_ALLOW_LONGS"": ""1"", ""TS132_ALLOW_SHORTS"": ""1"", ""TS132_EVAL_TF_MIN"": ""60"", ""TS132_OSC_OB"": ""72"", ""TS132_OSC_PERIOD"": ""6"", ""TS132_SL_ATR_MULT"": ""2.0"", ""TS132_TP_ATR_MULT"": ""9.0"", ""TS132_TRADE_MODE"": ""active"", ""TS132_TREND_EMA_LEN"": ""21"", ""TS132_TREND_TF"": ""240""}"
9,triple_screen_elder_friend_v11_r009,,False,"runner:CalledProcessError:Command '['/root/by-bot/.venv/bin/python3', 'backtest/run_portfolio.py', '--symbols', 'ETHUSDT,AVAXUSDT,SOLUSDT', '--strategies', 'triple_screen_v132', '--days', '360', '--end', '2026-02-24', '--tag', 'triple_screen_elder_friend_v11_r009']' returned non-zero exit status 1.",-1000000.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,"{""SYMBOLS"": ""ETHUSDT,AVAXUSDT,SOLUSDT"", ""TS132_ALLOW_LONGS"": ""1"", ""TS132_ALLOW_SHORTS"": ""1"", ""TS132_EVAL_TF_MIN"": ""60"", ""TS132_OSC_OB"": ""68"", ""TS132_OSC_PERIOD"": ""8"", ""TS132_SL_ATR_MULT"": ""1.5"", ""TS132_TP_ATR_MULT"": ""6.0"", ""TS132_TRADE_MODE"": ""active"", ""TS132_TREND_EMA_LEN"": ""21"", ""TS132_TREND_TF"": ""240""}"
10,triple_screen_elder_friend_v11_r010,,False,"runner:CalledProcessError:Command '['/root/by-bot/.venv/bin/python3', 'backtest/run_portfolio.py', '--symbols', 'ETHUSDT,AVAXUSDT,SOLUSDT', '--strategies', 'triple_screen_v132', '--days', '360', '--end', '2026-02-24', '--tag', 'triple_screen_elder_friend_v11_r010']' returned non-zero exit status 1.",-1000000.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,"{""SYMBOLS"": ""ETHUSDT,AVAXUSDT,SOLUSDT"", ""TS132_ALLOW_LONGS"": ""1"", ""TS132_ALLOW_SHORTS"": ""1"", ""TS132_EVAL_TF_MIN"": ""60"", ""TS132_OSC_OB"": ""68"", ""TS132_OSC_PERIOD"": ""8"", ""TS132_SL_ATR_MULT"": ""1.5"", ""TS132_TP_ATR_MULT"": ""9.0"", ""TS132_TRADE_MODE"": ""active"", ""TS132_TREND_EMA_LEN"": ""21"", ""TS132_TREND_TF"": ""240""}"
