run_id,tag,run_dir,passed,fail_reasons,score,trades,net_pnl,profit_factor,winrate,max_drawdown,negative_months,positive_months,max_negative_streak,worst_month_pnl,overrides_json
1,elder_ema50_force_canonical_v1_r001,/root/by-bot/backtest_runs/portfolio_20260618_095046_elder_ema50_force_canonical_v1_r001,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2351.0553078919997,4534,-98.74,0.688,0.489,98.7729,12,0,12,-25.01536278,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.15"", ""ETS2_ENTRY_RETEST_BARS"": ""2"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""0.75"", ""ETS2_TP1_ATR_MULT"": ""0.75"", ""ETS2_TP_ATR_MULT"": ""1.5"", ""ETS2_WAVE_LOOKBACK"": ""1""}"
2,elder_ema50_force_canonical_v1_r002,/root/by-bot/backtest_runs/portfolio_20260618_095407_elder_ema50_force_canonical_v1_r002,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2349.527583826,4928,-99.3,0.673,0.483,99.303,12,0,12,-22.686845590000015,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.15"", ""ETS2_ENTRY_RETEST_BARS"": ""2"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""0.75"", ""ETS2_TP1_ATR_MULT"": ""0.75"", ""ETS2_TP_ATR_MULT"": ""1.5"", ""ETS2_WAVE_LOOKBACK"": ""3""}"
3,elder_ema50_force_canonical_v1_r003,/root/by-bot/backtest_runs/portfolio_20260618_095727_elder_ema50_force_canonical_v1_r003,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2348.0329861259997,4222,-98.36,0.679,0.475,98.3755,12,0,12,-23.749990089999994,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.15"", ""ETS2_ENTRY_RETEST_BARS"": ""2"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""0.75"", ""ETS2_TP1_ATR_MULT"": ""0.75"", ""ETS2_TP_ATR_MULT"": ""2.0"", ""ETS2_WAVE_LOOKBACK"": ""1""}"
4,elder_ema50_force_canonical_v1_r004,/root/by-bot/backtest_runs/portfolio_20260618_095908_elder_ema50_force_canonical_v1_r004,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2355.0117418239997,4521,-99.13,0.659,0.467,99.1529,12,0,12,-26.96424416000002,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.15"", ""ETS2_ENTRY_RETEST_BARS"": ""2"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""0.75"", ""ETS2_TP1_ATR_MULT"": ""0.75"", ""ETS2_TP_ATR_MULT"": ""2.0"", ""ETS2_WAVE_LOOKBACK"": ""3""}"
5,elder_ema50_force_canonical_v1_r005,/root/by-bot/backtest_runs/portfolio_20260618_100039_elder_ema50_force_canonical_v1_r005,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2349.396866558,3988,-98.64,0.651,0.465,98.6538,12,0,12,-24.086618969999996,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.15"", ""ETS2_ENTRY_RETEST_BARS"": ""2"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""0.75"", ""ETS2_TP1_ATR_MULT"": ""0.75"", ""ETS2_TP_ATR_MULT"": ""2.5"", ""ETS2_WAVE_LOOKBACK"": ""1""}"
6,elder_ema50_force_canonical_v1_r006,/root/by-bot/backtest_runs/portfolio_20260618_100218_elder_ema50_force_canonical_v1_r006,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2344.300415978,4173,-98.24,0.669,0.474,98.2478,12,0,12,-21.369154269999996,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.15"", ""ETS2_ENTRY_RETEST_BARS"": ""2"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""0.75"", ""ETS2_TP1_ATR_MULT"": ""0.75"", ""ETS2_TP_ATR_MULT"": ""2.5"", ""ETS2_WAVE_LOOKBACK"": ""3""}"
7,elder_ema50_force_canonical_v1_r007,/root/by-bot/backtest_runs/portfolio_20260618_100338_elder_ema50_force_canonical_v1_r007,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2353.494221048,4535,-98.69,0.706,0.411,98.7236,12,0,12,-26.87072932,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.15"", ""ETS2_ENTRY_RETEST_BARS"": ""2"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""0.75"", ""ETS2_TP1_ATR_MULT"": ""1.0"", ""ETS2_TP_ATR_MULT"": ""1.5"", ""ETS2_WAVE_LOOKBACK"": ""1""}"
8,elder_ema50_force_canonical_v1_r008,/root/by-bot/backtest_runs/portfolio_20260618_100516_elder_ema50_force_canonical_v1_r008,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2348.063544328,4924,-99.2,0.701,0.41,99.2051,12,0,12,-21.866674520000018,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.15"", ""ETS2_ENTRY_RETEST_BARS"": ""2"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""0.75"", ""ETS2_TP1_ATR_MULT"": ""1.0"", ""ETS2_TP_ATR_MULT"": ""1.5"", ""ETS2_WAVE_LOOKBACK"": ""3""}"
9,elder_ema50_force_canonical_v1_r009,/root/by-bot/backtest_runs/portfolio_20260618_100639_elder_ema50_force_canonical_v1_r009,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2350.7772862879997,4213,-98.32,0.704,0.403,98.3326,12,0,12,-25.80577591999999,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.15"", ""ETS2_ENTRY_RETEST_BARS"": ""2"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""0.75"", ""ETS2_TP1_ATR_MULT"": ""1.0"", ""ETS2_TP_ATR_MULT"": ""2.0"", ""ETS2_WAVE_LOOKBACK"": ""1""}"
10,elder_ema50_force_canonical_v1_r010,/root/by-bot/backtest_runs/portfolio_20260618_100815_elder_ema50_force_canonical_v1_r010,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2351.233316154,4509,-99.1,0.683,0.396,99.1215,12,0,12,-24.335940110000003,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.15"", ""ETS2_ENTRY_RETEST_BARS"": ""2"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""0.75"", ""ETS2_TP1_ATR_MULT"": ""1.0"", ""ETS2_TP_ATR_MULT"": ""2.0"", ""ETS2_WAVE_LOOKBACK"": ""3""}"
11,elder_ema50_force_canonical_v1_r011,/root/by-bot/backtest_runs/portfolio_20260618_100940_elder_ema50_force_canonical_v1_r011,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2353.3467698339996,3994,-98.74,0.664,0.392,98.7428,12,0,12,-26.695121309999976,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.15"", ""ETS2_ENTRY_RETEST_BARS"": ""2"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""0.75"", ""ETS2_TP1_ATR_MULT"": ""1.0"", ""ETS2_TP_ATR_MULT"": ""2.5"", ""ETS2_WAVE_LOOKBACK"": ""1""}"
12,elder_ema50_force_canonical_v1_r012,/root/by-bot/backtest_runs/portfolio_20260618_101108_elder_ema50_force_canonical_v1_r012,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2349.371488364,4192,-98.25,0.685,0.405,98.2533,12,0,12,-24.974920260000008,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.15"", ""ETS2_ENTRY_RETEST_BARS"": ""2"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""0.75"", ""ETS2_TP1_ATR_MULT"": ""1.0"", ""ETS2_TP_ATR_MULT"": ""2.5"", ""ETS2_WAVE_LOOKBACK"": ""3""}"
13,elder_ema50_force_canonical_v1_r013,/root/by-bot/backtest_runs/portfolio_20260618_101223_elder_ema50_force_canonical_v1_r013,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2354.17487871,4542,-98.67,0.707,0.339,98.712,12,0,12,-27.390627649999995,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.15"", ""ETS2_ENTRY_RETEST_BARS"": ""2"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""0.75"", ""ETS2_TP1_ATR_MULT"": ""1.25"", ""ETS2_TP_ATR_MULT"": ""1.5"", ""ETS2_WAVE_LOOKBACK"": ""1""}"
14,elder_ema50_force_canonical_v1_r014,/root/by-bot/backtest_runs/portfolio_20260618_101342_elder_ema50_force_canonical_v1_r014,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2344.969640422,4914,-99.1,0.721,0.344,99.1122,12,0,12,-19.875171730000016,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.15"", ""ETS2_ENTRY_RETEST_BARS"": ""2"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""0.75"", ""ETS2_TP1_ATR_MULT"": ""1.25"", ""ETS2_TP_ATR_MULT"": ""1.5"", ""ETS2_WAVE_LOOKBACK"": ""3""}"
15,elder_ema50_force_canonical_v1_r015,/root/by-bot/backtest_runs/portfolio_20260618_101523_elder_ema50_force_canonical_v1_r015,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2354.292210358,4238,-98.77,0.684,0.328,98.7808,12,0,12,-27.290435969999994,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.15"", ""ETS2_ENTRY_RETEST_BARS"": ""2"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""0.75"", ""ETS2_TP1_ATR_MULT"": ""1.25"", ""ETS2_TP_ATR_MULT"": ""2.0"", ""ETS2_WAVE_LOOKBACK"": ""1""}"
16,elder_ema50_force_canonical_v1_r016,/root/by-bot/backtest_runs/portfolio_20260618_101654_elder_ema50_force_canonical_v1_r016,False,pf<1.15;dd>10.0;net<4.0;neg_months>5;neg_streak>3,-2353.2678803579997,4520,-99.18,0.689,0.333,99.2014,12,0,12,-25.606485970000005,"{""ETS2_ENTRY_MIN_BODY_FRAC"": ""0.15"", ""ETS2_ENTRY_RETEST_BARS"": ""2"", ""ETS2_ENTRY_TF"": ""15"", ""ETS2_OSC_OB"": ""58"", ""ETS2_OSC_OS"": ""25"", ""ETS2_OSC_PERIOD"": ""2"", ""ETS2_OSC_TYPE"": ""force"", ""ETS2_SL_ATR_MULT"": ""0.75"", ""ETS2_TP1_ATR_MULT"": ""1.25"", ""ETS2_TP_ATR_MULT"": ""2.0"", ""ETS2_WAVE_LOOKBACK"": ""3""}"
