run_id,tag,run_dir,passed,fail_reasons,score,trades,net_pnl,profit_factor,winrate,max_drawdown,negative_months,positive_months,max_negative_streak,worst_month_pnl,overrides_json
93,range_live_side_exit_repair_v1_r093,/root/by-bot/backtest_runs/portfolio_20260618_205428_range_live_side_exit_repair_v1_r093,False,pf<1.15;net<1.0,-999.5081903,166,-0.02,0.999,0.283,4.7385,2,3,1,-3.4714602000000006,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""1"", ""RANGE_RECLAIM_FRAC"": ""0.02"", ""RANGE_SL_ATR_MULT"": ""1.0"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.35""}"
1,range_live_side_exit_repair_v1_r001,/root/by-bot/backtest_runs/portfolio_20260618_180540_range_live_side_exit_repair_v1_r001,False,trades<30;pf<1.15;net<1.0,-1000.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""0"", ""RANGE_RECLAIM_FRAC"": ""0.01"", ""RANGE_SL_ATR_MULT"": ""0.8"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.35""}"
2,range_live_side_exit_repair_v1_r002,/root/by-bot/backtest_runs/portfolio_20260618_180702_range_live_side_exit_repair_v1_r002,False,trades<30;pf<1.15;net<1.0,-1000.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""0"", ""RANGE_RECLAIM_FRAC"": ""0.01"", ""RANGE_SL_ATR_MULT"": ""0.88"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.35""}"
3,range_live_side_exit_repair_v1_r003,/root/by-bot/backtest_runs/portfolio_20260618_180830_range_live_side_exit_repair_v1_r003,False,trades<30;pf<1.15;net<1.0,-1000.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""0"", ""RANGE_RECLAIM_FRAC"": ""0.01"", ""RANGE_SL_ATR_MULT"": ""1.0"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.35""}"
4,range_live_side_exit_repair_v1_r004,/root/by-bot/backtest_runs/portfolio_20260618_180948_range_live_side_exit_repair_v1_r004,False,trades<30;pf<1.15;net<1.0,-1000.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""0"", ""RANGE_RECLAIM_FRAC"": ""0.01"", ""RANGE_SL_ATR_MULT"": ""0.8"", ""RANGE_SL_WIDTH_FRAC"": ""0.11"", ""RANGE_WICK_FRAC_MIN"": ""0.35""}"
5,range_live_side_exit_repair_v1_r005,/root/by-bot/backtest_runs/portfolio_20260618_181134_range_live_side_exit_repair_v1_r005,False,trades<30;pf<1.15;net<1.0,-1000.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""0"", ""RANGE_RECLAIM_FRAC"": ""0.01"", ""RANGE_SL_ATR_MULT"": ""0.88"", ""RANGE_SL_WIDTH_FRAC"": ""0.11"", ""RANGE_WICK_FRAC_MIN"": ""0.35""}"
6,range_live_side_exit_repair_v1_r006,/root/by-bot/backtest_runs/portfolio_20260618_181308_range_live_side_exit_repair_v1_r006,False,trades<30;pf<1.15;net<1.0,-1000.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""0"", ""RANGE_RECLAIM_FRAC"": ""0.01"", ""RANGE_SL_ATR_MULT"": ""1.0"", ""RANGE_SL_WIDTH_FRAC"": ""0.11"", ""RANGE_WICK_FRAC_MIN"": ""0.35""}"
7,range_live_side_exit_repair_v1_r007,/root/by-bot/backtest_runs/portfolio_20260618_181434_range_live_side_exit_repair_v1_r007,False,trades<30;pf<1.15;net<1.0,-1000.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""0"", ""RANGE_RECLAIM_FRAC"": ""0.01"", ""RANGE_SL_ATR_MULT"": ""0.8"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.45""}"
8,range_live_side_exit_repair_v1_r008,/root/by-bot/backtest_runs/portfolio_20260618_181624_range_live_side_exit_repair_v1_r008,False,trades<30;pf<1.15;net<1.0,-1000.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""0"", ""RANGE_RECLAIM_FRAC"": ""0.01"", ""RANGE_SL_ATR_MULT"": ""0.88"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.45""}"
9,range_live_side_exit_repair_v1_r009,/root/by-bot/backtest_runs/portfolio_20260618_181741_range_live_side_exit_repair_v1_r009,False,trades<30;pf<1.15;net<1.0,-1000.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,"{""RANGE_ALLOW_LONG"": ""0"", ""RANGE_ALLOW_SHORT"": ""0"", ""RANGE_RECLAIM_FRAC"": ""0.01"", ""RANGE_SL_ATR_MULT"": ""1.0"", ""RANGE_SL_WIDTH_FRAC"": ""0.1"", ""RANGE_WICK_FRAC_MIN"": ""0.45""}"
