trades,net_r,pf,win_rate,avg_r,tag,month
4,3.9103,inf,0.5,0.9776,failed_breakout_level_short,2025-06
20,-11.0084,0.1706122035071421,0.05,-0.5504,failed_breakout_level_short,2025-07
22,-15.0311,0.0,0.0,-0.6832,failed_breakout_level_short,2025-08
26,-3.5541,0.7488822231186743,0.1923,-0.1367,failed_breakout_level_short,2025-09
19,11.3481,3.8747687398005066,0.3684,0.5973,failed_breakout_level_short,2025-10
19,-4.7042,0.48780260970025263,0.1053,-0.2476,failed_breakout_level_short,2025-11
14,-4.6516,0.2979940854641223,0.0714,-0.3323,failed_breakout_level_short,2025-12
18,-6.7919,0.3859192841650393,0.1111,-0.3773,failed_breakout_level_short,2026-01
13,2.2908,1.5609248391439356,0.2308,0.1762,failed_breakout_level_short,2026-02
30,-4.818,0.6379173392758976,0.1333,-0.1606,failed_breakout_level_short,2026-03
47,-22.7002,0.22271003172631987,0.0638,-0.483,failed_breakout_level_short,2026-04
42,-7.3696,0.5842182398134688,0.119,-0.1755,failed_breakout_level_short,2026-05
2,-2.4974,0.0,0.0,-1.2487,failed_breakout_level_short,2026-06
3,-0.7542,0.6788341048158275,0.3333,-0.2514,failed_breakout_short,2025-06
14,-4.5301,0.5847332119707034,0.2857,-0.3236,failed_breakout_short,2025-07
15,5.7707,1.7376159459381781,0.5333,0.3847,failed_breakout_short,2025-08
17,11.0914,2.6353116130781005,0.6471,0.6524,failed_breakout_short,2025-09
16,1.0764,1.1085601677585117,0.4375,0.0673,failed_breakout_short,2025-10
13,5.5452,1.8353981844254446,0.5385,0.4266,failed_breakout_short,2025-11
9,3.832,1.8487578686214676,0.5556,0.4258,failed_breakout_short,2025-12
12,-7.5507,0.3057526530225394,0.1667,-0.6292,failed_breakout_short,2026-01
8,0.8768,1.1974899930481209,0.5,0.1096,failed_breakout_short,2026-02
18,-2.6704,0.7619650773073124,0.3889,-0.1484,failed_breakout_short,2026-03
27,-7.144,0.6486769293235913,0.3333,-0.2646,failed_breakout_short,2026-04
24,-1.3566,0.9213987520480126,0.375,-0.0565,failed_breakout_short,2026-05
1,1.8345,inf,1.0,1.8345,failed_breakout_short,2026-06
2,0.4285,1.3676315242359627,0.5,0.2143,failed_breakout_volfade_short,2025-06
10,-0.206,0.9686563314155414,0.4,-0.0206,failed_breakout_volfade_short,2025-07
12,3.4265,1.5126446701479148,0.5,0.2855,failed_breakout_volfade_short,2025-08
15,9.0937,2.59720130087057,0.6667,0.6062,failed_breakout_volfade_short,2025-09
13,-1.5645,0.8227928497235426,0.3846,-0.1203,failed_breakout_volfade_short,2025-10
9,2.786,1.6197505599246342,0.5556,0.3096,failed_breakout_volfade_short,2025-11
6,1.9827,1.5887015223489582,0.5,0.3305,failed_breakout_volfade_short,2025-12
10,-5.4488,0.3789949931598132,0.2,-0.5449,failed_breakout_volfade_short,2026-01
5,1.8449,1.8433758765687671,0.6,0.369,failed_breakout_volfade_short,2026-02
17,0.3393,1.0376954808214542,0.4706,0.02,failed_breakout_volfade_short,2026-03
26,-10.0764,0.5044698158689498,0.3077,-0.3876,failed_breakout_volfade_short,2026-04
23,-0.2004,0.9875559219165457,0.3913,-0.0087,failed_breakout_volfade_short,2026-05
1,1.8345,inf,1.0,1.8345,failed_breakout_volfade_short,2026-06
