trades,net_r,pf,win_rate,avg_r,tag,symbol
32,1.6421,1.1208125356227898,0.2188,0.0513,failed_breakout_level_short,XLMUSDT
3,1.0953,1.8770273598357392,0.3333,0.3651,failed_breakout_level_short,HYPEUSDT
2,0.0,0.0,0.0,0.0,failed_breakout_level_short,TAOUSDT
2,-1.256,0.0,0.0,-0.628,failed_breakout_level_short,1000PEPEUSDT
7,-1.5749,0.0,0.0,-0.225,failed_breakout_level_short,DOTUSDT
6,-1.9307,0.5245906161841926,0.1667,-0.3218,failed_breakout_level_short,SUIUSDT
37,-3.0152,0.808300876148134,0.1622,-0.0815,failed_breakout_level_short,DOGEUSDT
4,-3.2407,0.0,0.0,-0.8102,failed_breakout_level_short,BNBUSDT
8,-3.789,0.34264521727283137,0.125,-0.4736,failed_breakout_level_short,LINKUSDT
40,-4.4012,0.6973019967662099,0.125,-0.11,failed_breakout_level_short,AVAXUSDT
6,-4.4849,0.0,0.0,-0.7475,failed_breakout_level_short,ADAUSDT
36,-4.7904,0.6985840095811375,0.1389,-0.1331,failed_breakout_level_short,ONDOUSDT
12,-5.3072,0.4581532534664548,0.1667,-0.4423,failed_breakout_level_short,ATOMUSDT
7,-6.201,0.0,0.0,-0.8859,failed_breakout_level_short,LTCUSDT
30,-6.45,0.5490245637028629,0.1333,-0.215,failed_breakout_level_short,XRPUSDT
9,-7.0543,0.0,0.0,-0.7838,failed_breakout_level_short,SOLUSDT
35,-14.8193,0.3060767047140796,0.0857,-0.4234,failed_breakout_level_short,BCHUSDT
23,8.5623,1.6986075215952825,0.5217,0.3723,failed_breakout_short,DOGEUSDT
18,7.7133,1.8640098576527595,0.5556,0.4285,failed_breakout_short,XRPUSDT
2,2.7401,inf,1.0,1.37,failed_breakout_short,HYPEUSDT
24,2.7054,1.1897574401039612,0.4583,0.1127,failed_breakout_short,ONDOUSDT
2,1.8854,2.655412943371493,0.5,0.9427,failed_breakout_short,ADAUSDT
1,1.335,inf,1.0,1.335,failed_breakout_short,TAOUSDT
4,0.3845,1.166797773549098,0.5,0.0961,failed_breakout_short,DOTUSDT
24,0.2483,1.017445576554547,0.4583,0.0103,failed_breakout_short,XLMUSDT
6,0.2387,1.0519571168089172,0.3333,0.0398,failed_breakout_short,SOLUSDT
4,0.2198,1.0934009751619307,0.5,0.055,failed_breakout_short,SUIUSDT
1,-1.1034,0.0,0.0,-1.1034,failed_breakout_short,1000PEPEUSDT
4,-1.7523,0.5114579776069125,0.25,-0.4381,failed_breakout_short,LINKUSDT
26,-1.7712,0.9005100353554379,0.3462,-0.0681,failed_breakout_short,AVAXUSDT
4,-2.0763,0.42349301009155677,0.25,-0.5191,failed_breakout_short,LTCUSDT
3,-3.5821,0.0,0.0,-1.194,failed_breakout_short,BNBUSDT
8,-4.3882,0.34816322575070907,0.25,-0.5485,failed_breakout_short,ATOMUSDT
23,-5.3383,0.6780869973285389,0.3478,-0.2321,failed_breakout_short,BCHUSDT
18,6.5734,1.750517240766734,0.5556,0.3652,failed_breakout_volfade_short,ONDOUSDT
16,3.2027,1.3587562235441641,0.5,0.2002,failed_breakout_volfade_short,XRPUSDT
2,2.7401,inf,1.0,1.37,failed_breakout_volfade_short,HYPEUSDT
20,2.2162,1.2215676333737033,0.55,0.1108,failed_breakout_volfade_short,XLMUSDT
2,1.8854,2.655412943371493,0.5,0.9427,failed_breakout_volfade_short,ADAUSDT
18,1.6944,1.1526342110982755,0.4444,0.0941,failed_breakout_volfade_short,DOGEUSDT
21,1.5349,1.1150729195147988,0.381,0.0731,failed_breakout_volfade_short,AVAXUSDT
1,1.335,inf,1.0,1.335,failed_breakout_volfade_short,TAOUSDT
4,0.3845,1.166797773549098,0.5,0.0961,failed_breakout_volfade_short,DOTUSDT
4,0.2198,1.0934009751619307,0.5,0.055,failed_breakout_volfade_short,SUIUSDT
1,-1.1034,0.0,0.0,-1.1034,failed_breakout_volfade_short,1000PEPEUSDT
4,-1.7523,0.5114579776069125,0.25,-0.4381,failed_breakout_volfade_short,LINKUSDT
4,-2.0763,0.42349301009155677,0.25,-0.5191,failed_breakout_volfade_short,LTCUSDT
4,-2.1397,0.36528106901407825,0.25,-0.5349,failed_breakout_volfade_short,ATOMUSDT
5,-2.6937,0.41372244996704516,0.2,-0.5387,failed_breakout_volfade_short,SOLUSDT
3,-3.5821,0.0,0.0,-1.194,failed_breakout_volfade_short,BNBUSDT
22,-4.1989,0.7281156645301459,0.3636,-0.1909,failed_breakout_volfade_short,BCHUSDT
