trades,net_r,pf,win_rate,avg_r,tag,month
1,-1.1827,0.0,0.0,-1.1827,failed_breakout_short,2025-06
6,-1.1653,0.7331488631432461,0.3333,-0.1942,failed_breakout_short,2025-07
9,6.712,3.0014508787279146,0.6667,0.7458,failed_breakout_short,2025-08
13,12.8389,4.69274604506561,0.7692,0.9876,failed_breakout_short,2025-09
12,-3.4172,0.6550390822964391,0.25,-0.2848,failed_breakout_short,2025-10
4,2.7115,2.230880045246823,0.5,0.6779,failed_breakout_short,2025-11
4,1.3037,1.5729714680462166,0.5,0.3259,failed_breakout_short,2025-12
6,-1.174,0.7309802447554881,0.3333,-0.1957,failed_breakout_short,2026-01
2,2.6182,inf,1.0,1.3091,failed_breakout_short,2026-02
4,-2.9705,0.10164615587590257,0.25,-0.7426,failed_breakout_short,2026-03
7,3.881,2.159529643006344,0.5714,0.5544,failed_breakout_short,2026-04
5,5.7101,3.653802342461416,0.6,1.142,failed_breakout_short,2026-05
4,1.1209,1.5197521714271875,0.5,0.2802,failed_breakout_volfade_short,2025-07
7,3.2284,1.9626840625689654,0.5714,0.4612,failed_breakout_volfade_short,2025-08
12,9.7243,3.774740738271443,0.75,0.8104,failed_breakout_volfade_short,2025-09
10,-3.9613,0.5508490382311032,0.2,-0.3961,failed_breakout_volfade_short,2025-10
3,-0.1596,0.9275331034068617,0.3333,-0.0532,failed_breakout_volfade_short,2025-11
2,0.5669,1.5023349566054174,0.5,0.2834,failed_breakout_volfade_short,2025-12
5,0.447,1.1350764186075388,0.4,0.0894,failed_breakout_volfade_short,2026-01
1,1.3341,inf,1.0,1.3341,failed_breakout_volfade_short,2026-02
4,-2.9705,0.10164615587590257,0.25,-0.7426,failed_breakout_volfade_short,2026-03
7,3.881,2.159529643006344,0.5714,0.5544,failed_breakout_volfade_short,2026-04
5,5.7101,3.653802342461416,0.6,1.142,failed_breakout_volfade_short,2026-05
