trades,net_r,pf,win_rate,avg_r,tag,month
1,-1.3654,0.0,0.0,-1.3654,failed_breakout_short,2025-06
6,-1.7192,0.6368271704496399,0.3333,-0.2865,failed_breakout_short,2025-07
9,5.8581,2.5802195328677016,0.6667,0.6509,failed_breakout_short,2025-08
13,11.1773,3.827146991547676,0.7692,0.8598,failed_breakout_short,2025-09
12,-4.5983,0.5747024648836939,0.25,-0.3832,failed_breakout_short,2025-10
4,2.2851,1.9498467715104726,0.5,0.5713,failed_breakout_short,2025-11
4,0.78,1.3058130026538448,0.5,0.195,failed_breakout_short,2025-12
6,-1.8175,0.6155633502286708,0.3333,-0.3029,failed_breakout_short,2026-01
2,2.537,inf,1.0,1.2685,failed_breakout_short,2026-02
4,-3.3434,0.07465055793040494,0.25,-0.8358,failed_breakout_short,2026-03
7,3.0196,1.8174097363321124,0.5714,0.4314,failed_breakout_short,2026-04
5,5.1988,3.2570597879708965,0.6,1.0398,failed_breakout_short,2026-05
4,0.7704,1.333031356749119,0.5,0.1926,failed_breakout_volfade_short,2025-07
7,2.4977,1.6737586950892236,0.5714,0.3568,failed_breakout_volfade_short,2025-08
12,8.1958,3.044260488955262,0.75,0.683,failed_breakout_volfade_short,2025-09
10,-4.98,0.4833529957070166,0.2,-0.498,failed_breakout_volfade_short,2025-10
3,-0.4774,0.8015479730333795,0.3333,-0.1591,failed_breakout_volfade_short,2025-11
2,0.3646,1.2901018136931839,0.5,0.1823,failed_breakout_volfade_short,2025-12
5,-0.1842,0.9490824504341335,0.4,-0.0368,failed_breakout_volfade_short,2026-01
1,1.2888,inf,1.0,1.2888,failed_breakout_volfade_short,2026-02
4,-3.3434,0.07465055793040494,0.25,-0.8358,failed_breakout_volfade_short,2026-03
7,3.0196,1.8174097363321124,0.5714,0.4314,failed_breakout_volfade_short,2026-04
5,5.1988,3.2570597879708965,0.6,1.0398,failed_breakout_volfade_short,2026-05
