trades,net_r,pf,win_rate,avg_r,tag,month
3,-0.738,0.6835383082692689,0.3333,-0.246,failed_breakout_short,2025-06
8,-3.3647,0.4856602723192437,0.25,-0.4206,failed_breakout_short,2025-07
6,-0.9413,0.7894077946582053,0.3333,-0.1569,failed_breakout_short,2025-08
7,-5.3194,0.2265664702893689,0.1429,-0.7599,failed_breakout_short,2025-09
8,7.3458,4.324824048233618,0.75,0.9182,failed_breakout_short,2025-10
14,2.8985,1.3743108297878524,0.5,0.207,failed_breakout_short,2025-11
6,1.3922,1.4124215152545396,0.5,0.232,failed_breakout_short,2025-12
8,-5.4643,0.2806308155770773,0.125,-0.683,failed_breakout_short,2026-01
6,-1.7414,0.6077632784296599,0.3333,-0.2902,failed_breakout_short,2026-02
18,2.0158,1.2002111437840053,0.4444,0.112,failed_breakout_short,2026-03
24,-5.9359,0.673441186084319,0.3333,-0.2473,failed_breakout_short,2026-04
23,-7.4575,0.5983282532731301,0.3043,-0.3242,failed_breakout_short,2026-05
1,1.8345,inf,1.0,1.8345,failed_breakout_short,2026-06
2,0.4285,1.3676315242359627,0.5,0.2143,failed_breakout_volfade_short,2025-06
6,-1.3269,0.6995074035577272,0.3333,-0.2212,failed_breakout_volfade_short,2025-07
5,0.1981,1.0594806083655273,0.4,0.0396,failed_breakout_volfade_short,2025-08
6,-4.2026,0.27048741632812967,0.1667,-0.7004,failed_breakout_volfade_short,2025-09
7,5.249,3.375788723008213,0.7143,0.7499,failed_breakout_volfade_short,2025-10
8,0.7649,1.1709966696412193,0.5,0.0956,failed_breakout_volfade_short,2025-11
5,0.2797,1.0828686706195958,0.4,0.0559,failed_breakout_volfade_short,2025-12
7,-4.4174,0.3254902699999559,0.1429,-0.6311,failed_breakout_volfade_short,2026-01
4,0.5108,1.233514246842702,0.5,0.1277,failed_breakout_volfade_short,2026-02
16,4.2329,1.5391204097774123,0.5,0.2646,failed_breakout_volfade_short,2026-03
23,-8.8683,0.5121188018784906,0.3043,-0.3856,failed_breakout_volfade_short,2026-04
22,-6.3013,0.6380628528764877,0.3182,-0.2864,failed_breakout_volfade_short,2026-05
1,1.8345,inf,1.0,1.8345,failed_breakout_volfade_short,2026-06
