trades,net_r,pf,win_rate,avg_r,tag,symbol
28,3.2945,1.2145577305146034,0.5,0.1177,failed_breakout_short,XLMUSDT
2,2.7401,inf,1.0,1.37,failed_breakout_short,HYPEUSDT
2,1.8854,2.655412943371493,0.5,0.9427,failed_breakout_short,ADAUSDT
1,1.335,inf,1.0,1.335,failed_breakout_short,TAOUSDT
5,1.3273,1.370039533573399,0.4,0.2655,failed_breakout_short,LINKUSDT
4,1.194,1.49744113842633,0.5,0.2985,failed_breakout_short,BTCUSDT
6,0.2387,1.0519571168089172,0.3333,0.0398,failed_breakout_short,SOLUSDT
4,0.2198,1.0934009751619307,0.5,0.055,failed_breakout_short,SUIUSDT
5,-0.7025,0.7929037556141573,0.4,-0.1405,failed_breakout_short,DOTUSDT
1,-1.1034,0.0,0.0,-1.1034,failed_breakout_short,1000PEPEUSDT
4,-2.0763,0.42349301009155677,0.25,-0.5191,failed_breakout_short,LTCUSDT
3,-3.5821,0.0,0.0,-1.194,failed_breakout_short,BNBUSDT
9,-5.472,0.29988515903946933,0.2222,-0.608,failed_breakout_short,ATOMUSDT
30,-6.3139,0.7174377627100764,0.3,-0.2105,failed_breakout_short,AVAXUSDT
28,-8.4605,0.5995760793678478,0.3214,-0.3022,failed_breakout_short,BCHUSDT
2,2.7401,inf,1.0,1.37,failed_breakout_volfade_short,HYPEUSDT
2,1.8854,2.655412943371493,0.5,0.9427,failed_breakout_volfade_short,ADAUSDT
1,1.335,inf,1.0,1.335,failed_breakout_volfade_short,TAOUSDT
5,1.3273,1.370039533573399,0.4,0.2655,failed_breakout_volfade_short,LINKUSDT
4,1.194,1.49744113842633,0.5,0.2985,failed_breakout_volfade_short,BTCUSDT
21,1.0962,1.0985568737174656,0.5238,0.0522,failed_breakout_volfade_short,XLMUSDT
4,0.2198,1.0934009751619307,0.5,0.055,failed_breakout_volfade_short,SUIUSDT
5,-0.7025,0.7929037556141573,0.4,-0.1405,failed_breakout_volfade_short,DOTUSDT
23,-0.7134,0.9542301411353998,0.3478,-0.031,failed_breakout_volfade_short,AVAXUSDT
1,-1.1034,0.0,0.0,-1.1034,failed_breakout_volfade_short,1000PEPEUSDT
4,-2.0763,0.42349301009155677,0.25,-0.5191,failed_breakout_volfade_short,LTCUSDT
5,-2.6937,0.41372244996704516,0.2,-0.5387,failed_breakout_volfade_short,SOLUSDT
5,-3.2235,0.27641593004207377,0.2,-0.6447,failed_breakout_volfade_short,ATOMUSDT
3,-3.5821,0.0,0.0,-1.194,failed_breakout_volfade_short,BNBUSDT
27,-7.3211,0.6337526595827977,0.3333,-0.2712,failed_breakout_volfade_short,BCHUSDT
