variant,raw_signals,filled_trades,fill_rate,net_r,pf,winrate,avg_r,symbols_raw,symbols_filled,top_raw_symbol,top_raw_symbol_frac,top_reasons
old,5,5,1.0,-1.5807001379817671,0.5244277733209406,0.4,-0.3161400275963534,3,3,DOGEUSDT,0.4,level_not_found:59685;regime_history_short:3495;no_rejection:659;cooldown:180;range_too_narrow_1.24:88;range_too_narrow_1.22:87;range_too_narrow_0.84:78;range_too_narrow_1.21:77
unified,39,39,1.0,-4.377284783814959,0.8459754588284276,0.3333333333333333,-0.11223807137987074,10,10,XLMUSDT,0.2564102564102564,level_not_found:26768;no_rejection:5501;regime_history_short:3495;support_not_found:1585;cooldown:1404;wick_weak_0.00:272;reject_volume_low:235;range_too_narrow_1.25:192
unified_minrange1,57,57,1.0,-8.427941347659388,0.8007915893243199,0.3333333333333333,-0.14785862013437523,14,14,XLMUSDT,0.22807017543859648,level_not_found:26512;no_rejection:17962;regime_history_short:3495;cooldown:2052;support_not_found:1572;wick_weak_0.00:774;reject_volume_low:472;wick_weak_0.06:353
unified_retest025,4,4,1.0,-1.2211849254005016,0.6330630418182944,0.25,-0.3052962313501254,3,3,DOGEUSDT,0.5,level_not_found:27298;no_rejection:5691;regime_history_short:3495;support_not_found:1586;wick_weak_0.00:279;reject_volume_low:246;range_too_narrow_1.25:192;range_too_narrow_1.15:187
unified_retest035,4,4,1.0,-1.2211849254005016,0.6330630418182944,0.25,-0.3052962313501254,3,3,DOGEUSDT,0.5,level_not_found:27298;no_rejection:5691;regime_history_short:3495;support_not_found:1586;wick_weak_0.00:279;reject_volume_low:246;range_too_narrow_1.25:192;range_too_narrow_1.15:187
unified_retest045,4,4,1.0,-1.2211849254005016,0.6330630418182944,0.25,-0.3052962313501254,3,3,DOGEUSDT,0.5,level_not_found:27298;no_rejection:5691;regime_history_short:3495;support_not_found:1586;wick_weak_0.00:279;reject_volume_low:246;range_too_narrow_1.25:192;range_too_narrow_1.15:187
unified_level_v4,56,3,0.05357142857142857,-0.3533900612590506,0.8629582577488712,0.3333333333333333,-0.1177966870863502,12,1,XLMUSDT,0.19642857142857142,level_not_found:26550;no_rejection:5445;regime_history_short:3495;cooldown:2016;support_not_found:1579;wick_weak_0.00:267;reject_volume_low:230;range_too_narrow_1.25:191
unified_level_v12,56,12,0.21428571428571427,-12.033649213052733,0.15606420640621024,0.08333333333333333,-1.0028041010877278,12,7,XLMUSDT,0.19642857142857142,level_not_found:26550;no_rejection:5445;regime_history_short:3495;cooldown:2016;support_not_found:1579;wick_weak_0.00:267;reject_volume_low:230;range_too_narrow_1.25:191
unified_level_v24,56,22,0.39285714285714285,-21.890069367811737,0.166723479791266,0.09090909090909091,-0.9950031530823518,12,9,XLMUSDT,0.19642857142857142,level_not_found:26550;no_rejection:5445;regime_history_short:3495;cooldown:2016;support_not_found:1579;wick_weak_0.00:267;reject_volume_low:230;range_too_narrow_1.25:191
unified_level_v12_retest025,4,3,0.75,-4.03296816002842,0.0,0.0,-1.3443227200094734,3,3,DOGEUSDT,0.5,level_not_found:27298;no_rejection:5691;regime_history_short:3495;support_not_found:1586;wick_weak_0.00:279;reject_volume_low:246;range_too_narrow_1.25:192;range_too_narrow_1.15:187
unified_level_v24_retest025,4,3,0.75,-4.03296816002842,0.0,0.0,-1.3443227200094734,3,3,DOGEUSDT,0.5,level_not_found:27298;no_rejection:5691;regime_history_short:3495;support_not_found:1586;wick_weak_0.00:279;reject_volume_low:246;range_too_narrow_1.25:192;range_too_narrow_1.15:187
unified_elder,23,23,1.0,-5.336350947995641,0.6980706241279323,0.30434782608695654,-0.23201525860850614,10,10,XLMUSDT,0.30434782608695654,level_not_found:27002;no_rejection:5619;regime_history_short:3495;support_not_found:1585;cooldown:828;wick_weak_0.00:275;reject_volume_low:243;range_too_narrow_1.25:192
unified_rangefilter,2,2,1.0,-2.238782489553438,0.0,0.0,-1.119391244776719,2,2,AVAXUSDT,0.5,level_not_found:27327;range_filter:not_short:measures_say_trending:10450;regime_history_short:3495;support_not_found:1586;range_filter:not_short:ok:652;no_rejection:211;range_too_narrow_1.25:192;range_too_narrow_1.15:187
