candidate,passes,reason,robustness,folds,folds_positive,frac_positive,median_metric,min_metric,dispersion,peak_ratio,total_trades
td30_lb120_top3_s0.6_w1.5-8,0,unstable_frac_pos_0.50,-1.4006332455426835,4,2,0.5,-0.54,-2.78,1.7212664910853672,inf,59
td30_lb120_top3_s0.6_w1.5-12,0,unstable_frac_pos_0.50,-1.4006332455426835,4,2,0.5,-0.54,-2.78,1.7212664910853672,inf,59
td60_lb120_top3_s0.6_w1.5-8,0,unstable_frac_pos_0.50,-1.4006332455426835,4,2,0.5,-0.54,-2.78,1.7212664910853672,inf,59
td60_lb120_top3_s0.6_w1.5-12,0,unstable_frac_pos_0.50,-1.4006332455426835,4,2,0.5,-0.54,-2.78,1.7212664910853672,inf,59
td120_lb120_top3_s0.6_w1.5-8,0,unstable_frac_pos_0.50,-1.4006332455426835,4,2,0.5,-0.54,-2.78,1.7212664910853672,inf,59
td120_lb120_top3_s0.6_w1.5-12,0,unstable_frac_pos_0.50,-1.4006332455426835,4,2,0.5,-0.54,-2.78,1.7212664910853672,inf,59
td30_lb120_top5_s0.6_w1.5-8,0,unstable_frac_pos_0.50,-2.2614079540920313,4,2,0.5,-0.8549999999999999,-3.56,2.8128159081840627,inf,81
td30_lb120_top5_s0.6_w1.5-12,0,unstable_frac_pos_0.50,-2.2614079540920313,4,2,0.5,-0.8549999999999999,-3.56,2.8128159081840627,inf,81
td60_lb120_top5_s0.6_w1.5-8,0,unstable_frac_pos_0.50,-2.2614079540920313,4,2,0.5,-0.8549999999999999,-3.56,2.8128159081840627,inf,81
td60_lb120_top5_s0.6_w1.5-12,0,unstable_frac_pos_0.50,-2.2614079540920313,4,2,0.5,-0.8549999999999999,-3.56,2.8128159081840627,inf,81
td120_lb120_top5_s0.6_w1.5-8,0,unstable_frac_pos_0.50,-2.2614079540920313,4,2,0.5,-0.8549999999999999,-3.56,2.8128159081840627,inf,81
td120_lb120_top5_s0.6_w1.5-12,0,unstable_frac_pos_0.50,-2.2614079540920313,4,2,0.5,-0.8549999999999999,-3.56,2.8128159081840627,inf,81
