candidate,fold,rank,symbol,score,tradeable,is_range,votes,regime,range_prob,width_atr,reason
td30_lb60_top3_s0.4_w1.5-8,0,1,1000PEPEUSDT,0.7779,1,1,2,range,0.445,2.05,ok
td30_lb60_top3_s0.4_w1.5-8,0,2,DOGEUSDT,0.5853,1,1,2,bear,0.234,2.97,ok
td30_lb60_top3_s0.4_w1.5-8,0,3,ATOMUSDT,0.4056,0,0,1,range,0.489,3.81,below_bar
td30_lb60_top3_s0.4_w1.5-8,0,4,SUIUSDT,0.3797,0,0,1,range,0.386,2.46,below_bar
td30_lb60_top3_s0.4_w1.5-8,0,5,TAOUSDT,0.2833,0,0,1,high_vol,0.196,2.41,below_bar
td30_lb60_top3_s0.4_w1.5-8,0,6,DOTUSDT,0.2253,0,0,1,bear,0.276,1.92,below_bar
td30_lb60_top3_s0.4_w1.5-8,0,7,HYPEUSDT,0.2,0,0,0,high_vol,0.165,2.21,below_bar
td30_lb60_top3_s0.4_w1.5-8,0,8,ADAUSDT,0.181,0,0,1,bear,0.196,2.84,below_bar
td30_lb60_top3_s0.4_w1.5-8,0,9,LINKUSDT,0.1727,0,0,1,bear,0.181,4.3,below_bar
td30_lb60_top3_s0.4_w1.5-8,0,10,LTCUSDT,0.1029,0,0,0,bear,0.205,4.63,below_bar
td30_lb60_top3_s0.4_w1.5-8,0,11,ETHUSDT,0.0896,0,0,0,bear,0.181,3.66,below_bar
td30_lb60_top3_s0.4_w1.5-8,0,12,BTCUSDT,0.0772,0,0,0,bear,0.159,5.27,below_bar
td30_lb60_top3_s0.4_w1.5-8,1,1,XLMUSDT,0.4184,0,0,1,range,0.54,3.7,below_bar
td30_lb60_top3_s0.4_w1.5-8,1,2,TAOUSDT,0.3925,0,0,1,range,0.437,3.49,below_bar
td30_lb60_top3_s0.4_w1.5-8,1,3,LINKUSDT,0.3777,0,0,1,range,0.377,3.45,below_bar
td30_lb60_top3_s0.4_w1.5-8,1,4,DOTUSDT,0.3758,0,0,1,range,0.37,3.56,below_bar
td30_lb60_top3_s0.4_w1.5-8,1,5,1000PEPEUSDT,0.3741,0,0,1,range,0.363,3.55,below_bar
td30_lb60_top3_s0.4_w1.5-8,1,6,BNBUSDT,0.3711,0,0,1,range,0.351,2.77,below_bar
td30_lb60_top3_s0.4_w1.5-8,1,7,AVAXUSDT,0.3705,0,0,1,range,0.349,3.23,below_bar
td30_lb60_top3_s0.4_w1.5-8,1,8,BTCUSDT,0.3166,0,0,0,range,0.466,2.53,below_bar
td30_lb60_top3_s0.4_w1.5-8,1,9,LTCUSDT,0.2972,0,0,0,range,0.389,2.88,below_bar
td30_lb60_top3_s0.4_w1.5-8,1,10,ADAUSDT,0.2899,0,0,0,range,0.36,2.96,below_bar
td30_lb60_top3_s0.4_w1.5-8,1,11,SOLUSDT,0.2833,0,0,1,high_vol,0.288,3.27,below_bar
td30_lb60_top3_s0.4_w1.5-8,1,12,ATOMUSDT,0.2438,0,0,1,bull,0.31,3.76,below_bar
td30_lb60_top3_s0.4_w1.5-8,2,1,TAOUSDT,0.7881,1,1,2,range,0.486,2.86,ok
td30_lb60_top3_s0.4_w1.5-8,2,2,1000PEPEUSDT,0.6363,1,1,2,bull,0.327,1.74,ok
td30_lb60_top3_s0.4_w1.5-8,2,3,BTCUSDT,0.5609,0,1,2,range,0.377,0.0,below_bar
