symbol,status,trades,net_pnl,profit_factor,winrate,max_drawdown,run_dir,error
1000PEPEUSDT,fail,0,0.0,0.0,0.0,0.0,,"external>"", line 850, in exec_module   File ""<frozen importlib._bootstrap>"", line 228, in _call_with_frames_removed   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/archive/strategies_retired/retest_backtest.py"", line 8, in <module>     from indicators import atr_pct_from_ohlc, ema as ema_calc   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/indicators.py"", line 6, in <module>     import numpy as np ModuleNotFoundError: No module named 'numpy' "
ATOMUSDT,fail,0,0.0,0.0,0.0,0.0,,"external>"", line 850, in exec_module   File ""<frozen importlib._bootstrap>"", line 228, in _call_with_frames_removed   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/archive/strategies_retired/retest_backtest.py"", line 8, in <module>     from indicators import atr_pct_from_ohlc, ema as ema_calc   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/indicators.py"", line 6, in <module>     import numpy as np ModuleNotFoundError: No module named 'numpy' "
AVAXUSDT,fail,0,0.0,0.0,0.0,0.0,,"external>"", line 850, in exec_module   File ""<frozen importlib._bootstrap>"", line 228, in _call_with_frames_removed   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/archive/strategies_retired/retest_backtest.py"", line 8, in <module>     from indicators import atr_pct_from_ohlc, ema as ema_calc   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/indicators.py"", line 6, in <module>     import numpy as np ModuleNotFoundError: No module named 'numpy' "
BCHUSDT,fail,0,0.0,0.0,0.0,0.0,,"external>"", line 850, in exec_module   File ""<frozen importlib._bootstrap>"", line 228, in _call_with_frames_removed   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/archive/strategies_retired/retest_backtest.py"", line 8, in <module>     from indicators import atr_pct_from_ohlc, ema as ema_calc   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/indicators.py"", line 6, in <module>     import numpy as np ModuleNotFoundError: No module named 'numpy' "
BNBUSDT,fail,0,0.0,0.0,0.0,0.0,,"external>"", line 850, in exec_module   File ""<frozen importlib._bootstrap>"", line 228, in _call_with_frames_removed   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/archive/strategies_retired/retest_backtest.py"", line 8, in <module>     from indicators import atr_pct_from_ohlc, ema as ema_calc   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/indicators.py"", line 6, in <module>     import numpy as np ModuleNotFoundError: No module named 'numpy' "
BTCUSDT,fail,0,0.0,0.0,0.0,0.0,,"external>"", line 850, in exec_module   File ""<frozen importlib._bootstrap>"", line 228, in _call_with_frames_removed   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/archive/strategies_retired/retest_backtest.py"", line 8, in <module>     from indicators import atr_pct_from_ohlc, ema as ema_calc   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/indicators.py"", line 6, in <module>     import numpy as np ModuleNotFoundError: No module named 'numpy' "
DOGEUSDT,fail,0,0.0,0.0,0.0,0.0,,"external>"", line 850, in exec_module   File ""<frozen importlib._bootstrap>"", line 228, in _call_with_frames_removed   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/archive/strategies_retired/retest_backtest.py"", line 8, in <module>     from indicators import atr_pct_from_ohlc, ema as ema_calc   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/indicators.py"", line 6, in <module>     import numpy as np ModuleNotFoundError: No module named 'numpy' "
ETHUSDT,fail,0,0.0,0.0,0.0,0.0,,"external>"", line 850, in exec_module   File ""<frozen importlib._bootstrap>"", line 228, in _call_with_frames_removed   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/archive/strategies_retired/retest_backtest.py"", line 8, in <module>     from indicators import atr_pct_from_ohlc, ema as ema_calc   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/indicators.py"", line 6, in <module>     import numpy as np ModuleNotFoundError: No module named 'numpy' "
HYPEUSDT,fail,0,0.0,0.0,0.0,0.0,,"external>"", line 850, in exec_module   File ""<frozen importlib._bootstrap>"", line 228, in _call_with_frames_removed   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/archive/strategies_retired/retest_backtest.py"", line 8, in <module>     from indicators import atr_pct_from_ohlc, ema as ema_calc   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/indicators.py"", line 6, in <module>     import numpy as np ModuleNotFoundError: No module named 'numpy' "
ONDOUSDT,fail,0,0.0,0.0,0.0,0.0,,"external>"", line 850, in exec_module   File ""<frozen importlib._bootstrap>"", line 228, in _call_with_frames_removed   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/archive/strategies_retired/retest_backtest.py"", line 8, in <module>     from indicators import atr_pct_from_ohlc, ema as ema_calc   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/indicators.py"", line 6, in <module>     import numpy as np ModuleNotFoundError: No module named 'numpy' "
