symbol,status,trades,net_pnl,profit_factor,winrate,max_drawdown,run_dir,error
ONDOUSDT,ok,18,4.96,2.349,0.333,1.3828,backtest_runs/portfolio_20260704_084149_ars1_symbol_matrix_all_oos_20260704_v3_ONDOUSDT_20260704_054044,
TAOUSDT,ok,31,4.08,1.594,0.29,2.0068,backtest_runs/portfolio_20260704_084203_ars1_symbol_matrix_all_oos_20260704_v3_TAOUSDT_20260704_054044,
ATOMUSDT,ok,3,3.27,13.464,0.667,0.2807,backtest_runs/portfolio_20260704_084053_ars1_symbol_matrix_all_oos_20260704_v3_ATOMUSDT_20260704_054044,
ETHUSDT,ok,10,1.07,1.518,0.3,0.9026,backtest_runs/portfolio_20260704_084134_ars1_symbol_matrix_all_oos_20260704_v3_ETHUSDT_20260704_054044,
BTCUSDT,ok,3,-0.38,0.392,0.333,0.6226,backtest_runs/portfolio_20260704_084120_ars1_symbol_matrix_all_oos_20260704_v3_BTCUSDT_20260704_054044,
AVAXUSDT,ok,18,-0.43,0.898,0.167,3.8041,backtest_runs/portfolio_20260704_084100_ars1_symbol_matrix_all_oos_20260704_v3_AVAXUSDT_20260704_054044,
BNBUSDT,ok,4,-0.68,0.144,0.25,0.6846,backtest_runs/portfolio_20260704_084113_ars1_symbol_matrix_all_oos_20260704_v3_BNBUSDT_20260704_054044,
DOGEUSDT,ok,25,-0.7,0.887,0.16,2.8988,backtest_runs/portfolio_20260704_084127_ars1_symbol_matrix_all_oos_20260704_v3_DOGEUSDT_20260704_054044,
XRPUSDT,ok,14,-1.2,0.648,0.214,2.2437,backtest_runs/portfolio_20260704_084216_ars1_symbol_matrix_all_oos_20260704_v3_XRPUSDT_20260704_054044,
BCHUSDT,ok,7,-1.83,0.0,0.0,1.8299,backtest_runs/portfolio_20260704_084107_ars1_symbol_matrix_all_oos_20260704_v3_BCHUSDT_20260704_054044,
XLMUSDT,ok,14,-2.49,0.365,0.143,2.4875,backtest_runs/portfolio_20260704_084210_ars1_symbol_matrix_all_oos_20260704_v3_XLMUSDT_20260704_054044,
1000PEPEUSDT,ok,43,-2.53,0.754,0.186,5.152,backtest_runs/portfolio_20260704_084046_ars1_symbol_matrix_all_oos_20260704_v3_1000PEPEUSDT_20260704_054044,
SOLUSDT,ok,22,-3.5,0.409,0.136,3.9574,backtest_runs/portfolio_20260704_084156_ars1_symbol_matrix_all_oos_20260704_v3_SOLUSDT_20260704_054044,
HYPEUSDT,ok,37,-5.63,0.415,0.162,6.2781,backtest_runs/portfolio_20260704_084142_ars1_symbol_matrix_all_oos_20260704_v3_HYPEUSDT_20260704_054044,
