symbol,side,signal_ts,entry_ts,entry_price,initial_sl,risk_source,exact_plan,usable_for_exact_plan_claim,research_class,pnl,outcome,g2_allowed,g2_classification,g2_blockers,strict_status,strict_reason,mfe_r,mae_r,first_hit,forward_coverage
DOTUSDT,short,1743922800000,1743922800000,3.92191546,3.98295013,ledger_initial_sl,True,True,descending_line_pass_execution_or_room_fail,0.44878939,sl,False,descending_trendline_rejection,entry_too_far_after_rejection|opposing_support_too_close,rejected,fit_quality_below_minimum,10.553271771601336,0.3454518554782064,+1R,1.0
SOLUSDT,short,1739268000000,1739268000000,202.679456,206.92579957,ledger_initial_sl,True,True,horizontal_resistance_reaction,0.52993459,sl,False,horizontal_resistance_rejection,pivot_fit_too_weak|entry_too_far_after_rejection|opposing_support_too_close|setup_belongs_to_horizontal_family,rejected,fit_quality_below_minimum,2.324224556328101,0.1484910463804066,+1R,1.0
SOLUSDT,short,1739358000000,1739358000000,195.870818,198.69779501,ledger_initial_sl,True,True,horizontal_resistance_reaction,0.56846178,sl,False,horizontal_resistance_rejection,opposing_support_too_close,rejected,fit_quality_below_minimum,2.670986701798497,0.9300330319983768,+1R,1.0
LINKUSDT,short,1739386800000,1739386800000,18.636272,19.12710714,ledger_initial_sl,True,False,line_quality_rejected,-0.80884382,sl,False,invalid,invalid_or_short_geometry_input,rejected,insufficient_closed_bars,,,invalid_or_missing_path,0.0
SOLUSDT,short,1739408400000,1739408400000,195.400912,200.15475914,ledger_initial_sl,True,True,horizontal_resistance_reaction,0.62545164,sl,False,horizontal_resistance_rejection,opposing_support_too_close,rejected,fit_quality_below_minimum,1.4053695466531133,0.6287724261996313,+1R,1.0
SUIUSDT,short,1739509200000,1739509200000,3.49160154,3.58868524,ledger_initial_sl,True,True,horizontal_resistance_reaction,-0.80490897,sl,False,horizontal_resistance_rejection,opposing_support_too_close|setup_belongs_to_horizontal_family,rejected,fit_quality_below_minimum,0.3677397956608548,2.5307900296342156,stop,1.0
SOLUSDT,short,1739538000000,1739538000000,196.930606,199.06877809,ledger_initial_sl,True,True,horizontal_resistance_reaction,-0.36791532,sl,False,horizontal_resistance_rejection,setup_belongs_to_horizontal_family,rejected,fit_quality_below_minimum,1.4922119762586683,3.923628990966787,stop,1.0
ETHUSDT,short,1715634000000,1715634000000,2952.889304,2997.90384524,ledger_initial_sl,True,True,descending_line_pass_execution_or_room_fail,0.51238769,sl,False,descending_trendline_rejection,projected_line_not_reached|opposing_support_too_close,rejected,fit_quality_below_minimum,2.0904201488647547,0.15463216570148627,+1R,1.0
DOTUSDT,short,1744372800000,1744372800000,3.50789828,3.5593125,ledger_initial_sl,True,True,descending_line_pass_execution_or_room_fail,-0.48196003,sl,False,descending_trendline_rejection,opposing_support_too_close,rejected,fit_quality_below_minimum,0.47454342397881927,1.878891092775502,stop,1.0
LINKUSDT,short,1739746800000,1739746800000,18.8922208,19.31111154,ledger_initial_sl,True,False,line_quality_rejected,0.68358573,sl,False,invalid,invalid_or_short_geometry_input,rejected,insufficient_closed_bars,,,invalid_or_missing_path,0.0
