symbol,side,signal_ts,entry_ts,entry_price,initial_sl,risk_source,exact_plan,usable_for_exact_plan_claim,research_class,pnl,outcome,g2_allowed,g2_classification,g2_blockers,strict_status,strict_reason,mfe_r,mae_r,first_hit,forward_coverage
ADAUSDT,short,1778126400000,1778126400000,0.2634473,0.26782884,ledger_initial_sl,True,True,horizontal_resistance_reaction,-0.54124141,sl,True,horizontal_resistance_rejection,,rejected,fit_quality_below_minimum,0.9465393446139951,1.5411704560496935,stop,1.0
SOLUSDT,short,1778497200000,1778497200000,95.010994,96.96776802,ledger_initial_sl,True,True,descending_line_pass_execution_or_room_fail,-0.66022302,sl,False,descending_trendline_rejection,projected_line_not_reached|entry_too_far_after_rejection|opposing_support_too_close,rejected,line_broken,0.39912324674056826,1.7114934917216487,stop,1.0
LTCUSDT,short,1778634000000,1778634000000,57.88842,58.55975402,ledger_initial_sl,True,True,horizontal_resistance_reaction,-0.39011497,sl,False,horizontal_resistance_rejection,opposing_support_too_close,rejected,fit_quality_below_minimum,2.485230824441184,1.5812992763274611,stop,1.0
SUIUSDT,short,1778662800000,1778662800000,1.24445106,1.2691081,ledger_initial_sl,True,True,descending_line_pass_execution_or_room_fail,0.46255288,sl,False,descending_trendline_rejection,opposing_support_too_close,rejected,fit_quality_below_minimum,2.759903865184159,0.35076959764838284,+1R,1.0
SOLUSDT,short,1778670000000,1778670000000,94.751046,96.03518182,ledger_initial_sl,True,True,descending_line_pass_execution_or_room_fail,0.51733125,sl,False,descending_trendline_rejection,entry_too_far_after_rejection|opposing_support_too_close,rejected,fit_quality_below_minimum,3.8944836847553947,0.038122135709908564,+1R,1.0
ADAUSDT,short,1778673600000,1778673600000,0.27054588,0.27549718,ledger_initial_sl,True,True,horizontal_resistance_reaction,0.32824742,sl,False,horizontal_resistance_rejection,entry_too_far_after_rejection|opposing_support_too_close|setup_belongs_to_horizontal_family,rejected,fit_quality_below_minimum,1.907757558620975,0.1927009068325499,+1R,1.0
DOTUSDT,short,1778752800000,1778752800000,1.32233548,1.34507018,ledger_initial_sl,True,True,descending_line_pass_execution_or_room_fail,-0.55808972,sl,False,descending_trendline_rejection,projected_line_not_reached|entry_too_far_after_rejection|opposing_support_too_close,rejected,fit_quality_below_minimum,0.13351748648542056,4.361813439368015,stop,1.0
DOTUSDT,short,1778904000000,1778904000000,1.30713852,1.32470313,ledger_initial_sl,True,True,descending_line_pass_execution_or_room_fail,0.4364604,sl,False,descending_trendline_rejection,projected_line_not_reached,rejected,fit_quality_below_minimum,3.4523123485235487,0.07181941415151986,+1R,1.0
ADAUSDT,short,1778904000000,1778904000000,0.2609478,0.26391877,ledger_initial_sl,True,True,horizontal_resistance_reaction,0.37024697,sl,False,horizontal_resistance_rejection,entry_above_resistance|opposing_support_too_close|setup_belongs_to_horizontal_family,rejected,fit_quality_below_minimum,3.0454026799327973,0.051229059869332357,+1R,1.0
DOTUSDT,short,1778965200000,1778965200000,1.26994596,1.28598274,ledger_initial_sl,True,True,descending_line_pass_execution_or_room_fail,0.25716567,sl,False,descending_trendline_rejection,projected_line_not_reached,rejected,fit_quality_below_minimum,1.0068080998804094,1.4188658820536364,+1R,1.0
SUIUSDT,short,1779285600000,1779285600000,1.04669062,1.07734595,ledger_initial_sl,True,True,horizontal_resistance_reaction,-0.79362332,sl,False,horizontal_resistance_rejection,projected_line_not_reached|entry_too_far_after_rejection|opposing_support_too_close|setup_belongs_to_horizontal_family,rejected,fit_quality_below_minimum,0.0942942059341666,3.3667678671213035,stop,1.0
SOLUSDT,short,1779390000000,1779390000000,87.03259,88.16801579,ledger_initial_sl,True,True,rising_resistance_separate_family,0.53113706,sl,False,descending_trendline_rejection,resistance_not_descending|opposing_support_too_close,rejected,fit_quality_below_minimum,2.221712790229994,0.7815658300310434,+1R,1.0
BTCUSDT,short,1779411600000,1779411600000,77326.33164,78222.24221805,ledger_initial_sl,True,True,descending_line_pass_execution_or_room_fail,0.36576023,sl,False,descending_trendline_rejection,projected_line_not_reached|entry_too_far_after_rejection|opposing_support_too_close,rejected,fit_quality_below_minimum,2.390005981021588,0.6012523718298323,+1R,1.0
ADAUSDT,short,1779462000000,1779462000000,0.24925014,0.25433932,ledger_initial_sl,True,True,horizontal_resistance_reaction,0.6367603,sl,False,horizontal_resistance_rejection,entry_too_far_after_rejection|opposing_support_too_close,rejected,fit_quality_below_minimum,2.701838017126551,0.18664303483075356,+1R,1.0
LINKUSDT,short,1779609600000,1779609600000,9.5520892,9.76023672,ledger_initial_sl,True,True,horizontal_resistance_reaction,0.49122558,sl,False,horizontal_resistance_rejection,projected_line_not_reached|entry_too_far_after_rejection|opposing_support_too_close|setup_belongs_to_horizontal_family,rejected,fit_quality_below_minimum,1.4801483101984518,0.45117424411302715,+1R,1.0
SUIUSDT,short,1779807600000,1779807600000,1.03719252,1.06145037,ledger_initial_sl,True,True,line_quality_rejected,0.7793898,sl,False,descending_trendline_rejection,pivot_fit_too_weak|opposing_support_too_close,rejected,line_broken,2.188673769522042,0.10336777579216687,+1R,1.0
LINKUSDT,short,1779872400000,1779872400000,9.3841228,9.48906646,ledger_initial_sl,True,True,descending_line_pass_execution_or_room_fail,0.20339033,sl,False,descending_trendline_rejection,opposing_support_too_close,rejected,fit_quality_below_minimum,5.975804541217644,0.9517220954557892,+1R,1.0
DOTUSDT,short,1779890400000,1779890400000,1.2522495,1.2723963,ledger_initial_sl,True,True,horizontal_resistance_reaction,-0.52493942,sl,False,horizontal_resistance_rejection,pivot_fit_too_weak|opposing_support_too_close|setup_belongs_to_horizontal_family,rejected,fit_quality_below_minimum,3.83929457779895,1.278143427244028,stop,1.0
DOTUSDT,short,1780009200000,1780009200000,1.21145766,1.23721701,ledger_initial_sl,True,True,horizontal_resistance_reaction,0.67816644,sl,False,horizontal_resistance_rejection,pivot_fit_too_weak|setup_belongs_to_horizontal_family,rejected,fit_quality_below_minimum,1.3609683474156047,0.8518204069590303,+1R,1.0
SUIUSDT,short,1780077600000,1780077600000,0.91551686,0.93617857,ledger_initial_sl,True,True,horizontal_resistance_reaction,0.43654958,sl,False,horizontal_resistance_rejection,opposing_support_too_close|setup_belongs_to_horizontal_family,rejected,fit_quality_below_minimum,1.1817443957929872,0.17825920507063642,+1R,1.0
LTCUSDT,short,1780005600000,1780005600000,51.819634,52.53040251,ledger_initial_sl,True,True,rising_resistance_separate_family,-0.4537281,sl,False,horizontal_resistance_rejection,pivot_fit_too_weak|opposing_support_too_close|setup_belongs_to_horizontal_family,rejected,fit_quality_below_minimum,0.9843345479669633,0.7321174090844316,neither,1.0
DOTUSDT,short,1780149600000,1780149600000,1.19366122,1.20715119,ledger_initial_sl,True,True,horizontal_resistance_reaction,0.41786045,sl,False,horizontal_resistance_rejection,setup_belongs_to_horizontal_family,rejected,fit_quality_below_minimum,0.9237396376715504,0.7071016466307928,neither,1.0
ADAUSDT,short,1780214400000,1780214400000,0.2364527,0.23972292,ledger_initial_sl,True,True,horizontal_resistance_reaction,0.42425391,sl,False,horizontal_resistance_rejection,resistance_not_descending|pivot_fit_too_weak|projected_line_not_reached|entry_too_far_after_rejection|opposing_support_too_close|setup_belongs_to_horizontal_family,rejected,fit_quality_below_minimum,1.850854070979922,0.47314859550733374,+1R,1.0
LINKUSDT,short,1780290000000,1780290000000,9.1101776,9.2895619,ledger_initial_sl,True,True,descending_line_pass_execution_or_room_fail,0.43506735,sl,False,descending_trendline_rejection,entry_too_far_after_rejection|opposing_support_too_close,rejected,fit_quality_below_minimum,1.7179742039855186,0.04918156159708316,+1R,1.0
ADAUSDT,short,1780290000000,1780290000000,0.23415316,0.23984602,ledger_initial_sl,True,True,horizontal_resistance_reaction,0.57936293,sl,False,horizontal_resistance_rejection,entry_too_far_after_rejection|opposing_support_too_close|setup_belongs_to_horizontal_family,rejected,fit_quality_below_minimum,1.7307926068794963,0.09605716634521022,+1R,1.0
ETHUSDT,short,1780290000000,1780290000000,1998.55021,2032.94501295,ledger_initial_sl,True,True,descending_line_pass_execution_or_room_fail,0.51411418,sl,False,descending_trendline_rejection,projected_line_not_reached|entry_too_far_after_rejection|opposing_support_too_close,rejected,fit_quality_below_minimum,1.2653135435392908,0.2942243924092599,+1R,1.0
SUIUSDT,short,1780376400000,1780376400000,0.86462704,0.892895,ledger_initial_sl,True,True,descending_line_pass_execution_or_room_fail,0.62881532,sl,False,descending_trendline_rejection,projected_line_not_reached|entry_too_far_after_rejection,rejected,line_broken,2.6399867553229885,0.08040764172582641,+1R,1.0
SOLUSDT,short,1780376400000,1780376400000,80.38392,82.15325693,ledger_initial_sl,True,True,descending_line_pass_execution_or_room_fail,0.52117867,sl,False,descending_trendline_rejection,projected_line_not_reached|entry_too_far_after_rejection|opposing_support_too_close,rejected,fit_quality_below_minimum,4.62541636996184,0.09386567204020001,+1R,1.0
BTCUSDT,short,1780495200000,1780495200000,66867.22388,67953.50135338,ledger_initial_sl,True,True,descending_line_pass_execution_or_room_fail,0.4733264,sl,False,descending_trendline_rejection,projected_line_not_reached,rejected,line_broken,5.094668733928618,0.09958424311552327,+1R,1.0
LTCUSDT,short,1780603200000,1780603200000,46.230752,47.16985714,ledger_initial_sl,True,True,line_quality_rejected,0.63783086,sl,False,descending_trendline_rejection,pivot_fit_too_weak,rejected,line_broken,4.590276228282621,0.03114454255888286,+1R,1.0
ETHUSDT,short,1780621200000,1780621200000,1758.018326,1800.725,ledger_initial_sl,True,True,descending_line_pass_execution_or_room_fail,0.86465036,sl,False,descending_trendline_rejection,entry_too_far_after_rejection|opposing_support_too_close,rejected,line_broken,5.144355797878332,0.13093208803851147,+1R,1.0
BTCUSDT,short,1780621200000,1780621200000,63375.3224,64838.1,ledger_initial_sl,True,True,descending_line_pass_execution_or_room_fail,0.78283886,sl,False,descending_trendline_rejection,entry_too_far_after_rejection|opposing_support_too_close,rejected,line_broken,2.9354581311608765,0.21129500479088817,+1R,1.0
LTCUSDT,short,1780700400000,1780700400000,43.531292,44.90254762,ledger_initial_sl,True,True,horizontal_resistance_reaction,1.13388252,sl,True,horizontal_resistance_rejection,,rejected,line_broken,2.2470587941874753,0.3272241830447313,+1R,1.0
BTCUSDT,short,1780768800000,1780768800000,60536.29032,61651.74519732,ledger_initial_sl,True,True,descending_line_pass_execution_or_room_fail,-0.59511339,sl,False,descending_trendline_rejection,projected_line_not_reached|opposing_support_too_close,rejected,line_broken,0.1532023602878324,2.163879264931985,stop,1.0
LINKUSDT,short,1780754400000,1780754400000,7.3645268,7.60492443,ledger_initial_sl,True,True,line_quality_rejected,-0.86624211,sl,False,descending_trendline_rejection,pivot_fit_too_weak|projected_line_not_reached,rejected,line_broken,0.3640917757799867,2.0360982760104624,stop,1.0
DOTUSDT,short,1780761600000,1780761600000,0.93761244,0.97867945,ledger_initial_sl,True,True,horizontal_resistance_reaction,-0.855711,sl,False,horizontal_resistance_rejection,entry_too_far_after_rejection|opposing_support_too_close,rejected,line_broken,0.2608526892997577,1.0321559811634686,stop,1.0
LINKUSDT,short,1780869600000,1780869600000,7.663467,7.83271633,ledger_initial_sl,True,True,horizontal_resistance_reaction,-0.7049492,sl,False,horizontal_resistance_rejection,projected_line_not_reached|setup_belongs_to_horizontal_family,rejected,fit_quality_below_minimum,0.03820990015144971,2.697399156617035,stop,1.0
DOTUSDT,short,1781013600000,1781013600000,0.9683063,0.99007756,ledger_initial_sl,True,True,horizontal_resistance_reaction,0.48268422,sl,False,horizontal_resistance_rejection,projected_line_not_reached|entry_too_far_after_rejection|setup_belongs_to_horizontal_family,rejected,fit_quality_below_minimum,2.0626412986662146,0.09616806744304558,+1R,1.0
SUIUSDT,short,1781013600000,1781013600000,0.75174962,0.76752734,ledger_initial_sl,True,True,horizontal_resistance_reaction,0.59169245,sl,False,horizontal_resistance_rejection,opposing_support_too_close|setup_belongs_to_horizontal_family,rejected,fit_quality_below_minimum,1.3594879361530097,0.6116460426474777,+1R,1.0
