split,dimension,bin,trades,sum_return,compound_return,mean_return,median_return,win_rate,red_months,months,sides,discovery_p_negative,discovery_bh_q
discovery,entry_hour_utc,00,16,0.01558,0.01543567,0.00097375,0.0038855,0.625,2,7,"['long', 'short']",1.0,1.0
discovery,entry_hour_utc,01,7,0.008481,0.00844274,0.00121157,0.003015,0.714286,2,4,"['long', 'short']",,
discovery,entry_hour_utc,02,10,0.014058,0.01401663,0.0014058,0.0028775,0.7,1,4,"['long', 'short']",1.0,1.0
discovery,entry_hour_utc,03,7,-0.012181,-0.01221723,-0.00174014,-0.003565,0.428571,3,4,['long'],,
discovery,entry_hour_utc,04,8,0.008511,0.00842884,0.00106387,0.0032695,0.625,2,4,"['long', 'short']",,
discovery,entry_hour_utc,05,18,0.012192,0.01204998,0.00067733,0.002348,0.555556,2,6,"['long', 'short']",1.0,1.0
discovery,entry_hour_utc,06,17,0.068636,0.07077265,0.00403741,0.004028,0.882353,0,7,"['long', 'short']",1.0,1.0
discovery,entry_hour_utc,07,6,0.010511,0.01047519,0.00175183,0.002844,0.666667,2,4,"['long', 'short']",,
discovery,entry_hour_utc,08,12,-0.013733,-0.01380323,-0.00114442,-0.0038155,0.416667,5,6,"['long', 'short']",0.22528874,1.0
discovery,entry_hour_utc,09,22,0.048597,0.04942998,0.00220895,0.0037775,0.681818,3,7,"['long', 'short']",1.0,1.0
discovery,entry_hour_utc,10,6,0.014559,0.01456058,0.0024265,0.0051835,0.666667,2,4,['short'],,
discovery,entry_hour_utc,11,12,0.004388,0.00423281,0.00036567,0.0024055,0.583333,2,5,"['long', 'short']",1.0,1.0
discovery,entry_hour_utc,12,11,0.007574,0.00748201,0.00068855,0.002858,0.636364,3,7,"['long', 'short']",1.0,1.0
discovery,entry_hour_utc,13,9,0.004379,0.00428748,0.00048656,0.003003,0.555556,2,4,"['long', 'short']",,
discovery,entry_hour_utc,14,18,0.018546,0.01845695,0.00103033,0.003185,0.611111,2,7,"['long', 'short']",1.0,1.0
discovery,entry_hour_utc,15,16,0.005482,0.00527855,0.00034263,0.002865,0.5625,2,6,"['long', 'short']",1.0,1.0
discovery,entry_hour_utc,16,8,0.00341,0.00325298,0.00042625,0.0006975,0.5,2,5,"['long', 'short']",,
discovery,entry_hour_utc,17,4,-0.017436,-0.01736304,-0.004359,-0.006426,0.25,2,3,"['long', 'short']",,
discovery,entry_hour_utc,18,5,-0.003655,-0.00373993,-0.000731,-0.004123,0.4,2,4,"['long', 'short']",,
discovery,entry_hour_utc,19,11,0.013405,0.01331754,0.00121864,0.004107,0.636364,1,5,"['long', 'short']",1.0,1.0
discovery,entry_hour_utc,20,15,0.017049,0.01690357,0.0011366,0.005332,0.533333,1,5,"['long', 'short']",1.0,1.0
