strategy,symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,pnl,pnl_pct_equity,fees,outcome,reason,seasonality_kept
alt_trendline_touch_v1,SUIUSDT,short,1746892800000,1746894000000,3.95310922,4.05767335,7.28424234,-0.79668196,-0.007967,0.03501149,sl,att1_short_trendline tl=3.9901 slope=-1.860%/d rsi=47.7+SL,1
alt_trendline_touch_v1,SOLUSDT,short,1746907200000,1746914100000,172.14556400,174.29745171,0.17423626,-0.41115464,-0.004145,0.03621776,sl,att1_short_trendline tl=172.4327 slope=-1.693%/d rsi=55.2+SL,1
alt_trendline_touch_v1,SUIUSDT,long,1746964800000,1746971700000,4.00920168,3.89918885,6.83328729,-0.78417344,-0.007938,0.03242418,sl,att1_long_trendline tl=3.9857 slope=3.598%/d rsi=47.2+SL,1
alt_trendline_touch_v1,BTCUSDT,long,1746975600000,1747033800000,104166.62916000,105513.12863109,0.00028806,0.35162962,0.003588,0.03623992,sl,att1_long_trendline tl=103562.8973 slope=0.719%/d rsi=46.9+TP1+TRAIL_SL,1
alt_trendline_touch_v1,ADAUSDT,long,1747080000000,1747102500000,0.80726142,0.78083880,28.25884493,-0.77359942,-0.007865,0.02692673,sl,att1_long_trendline tl=0.8053 slope=2.065%/d rsi=48.4+SL,1
alt_trendline_touch_v1,LINKUSDT,short,1747263600000,1747291800000,16.87862360,16.50760513,1.72329372,0.60485323,0.006198,0.03452057,sl,att1_short_trendline tl=17.0683 slope=-3.143%/d rsi=51.2+TRAIL_SL,1
alt_trendline_touch_v1,BTCUSDT,short,1747335600000,1747347000000,102625.67076000,103723.81050409,0.00029227,-0.35713434,-0.003637,0.03618537,sl,att1_short_trendline tl=102826.3385 slope=-1.115%/d rsi=48.5+SL,1
alt_trendline_touch_v1,SUIUSDT,short,1747335600000,1747579500000,3.81793626,3.96910152,4.92151008,-0.76695574,-0.007812,0.02299439,sl,att1_short_trendline tl=3.8704 slope=-2.679%/d rsi=46.3+SL,1
alt_trendline_touch_v1,LINKUSDT,short,1747371600000,1747436100000,16.22675400,15.68380985,1.29735083,0.67954952,0.006947,0.02483952,sl,att1_short_trendline tl=16.4713 slope=-3.343%/d rsi=55.7+TRAIL_SL,1
alt_trendline_touch_v1,SOLUSDT,short,1747386000000,1747447200000,169.99599400,165.08362928,0.12862809,0.60600769,0.006196,0.02586039,sl,att1_short_trendline tl=173.2038 slope=-1.140%/d rsi=52.5+TRAIL_SL,1
alt_trendline_touch_v1,ADAUSDT,short,1747472400000,1747490100000,0.76974602,0.74819038,38.20804206,0.78880022,0.007959,0.03479843,sl,att1_short_trendline tl=0.7763 slope=-1.236%/d rsi=50.4+TP1+TRAIL_SL,1
alt_trendline_touch_v1,SOLUSDT,short,1747497600000,1747555200000,167.15656200,170.91524661,0.17943657,-0.71084294,-0.007116,0.03639747,sl,att1_short_trendline tl=168.8799 slope=-2.237%/d rsi=59.3+SL,1
alt_trendline_touch_v1,LTCUSDT,short,1747594800000,1747598700000,98.59027800,96.72826121,0.30422878,0.53082619,0.005393,0.03565291,sl,att1_short_trendline tl=98.8612 slope=-1.080%/d rsi=57.7+TP1+TRAIL_SL,1
alt_trendline_touch_v1,SUIUSDT,long,1747609200000,1747613100000,3.85056996,3.94571808,7.79261260,0.70500038,0.007124,0.03645207,sl,att1_long_trendline tl=3.8402 slope=2.949%/d rsi=51.4+TP1+TRAIL_SL,1
alt_trendline_touch_v1,LTCUSDT,short,1747695600000,1747726800000,98.06038400,94.82554653,0.30587276,0.95404952,0.009572,0.03539913,sl,att1_short_trendline tl=98.9410 slope=-2.704%/d rsi=69.2+TP1+TRAIL_SL,1
alt_trendline_touch_v1,ADAUSDT,short,1747720800000,1747729800000,0.74225152,0.73143464,40.40948276,0.40137417,0.004028,0.03573054,sl,att1_short_trendline tl=0.7475 slope=-1.647%/d rsi=58.9+TRAIL_SL,1
alt_trendline_touch_v1,DOTUSDT,long,1747771200000,1747846500000,4.63232628,4.83385462,4.59724517,0.90036416,0.008913,0.02611101,sl,att1_long_trendline tl=4.5366 slope=1.756%/d rsi=48.1+TP1+TRAIL_SL,1
alt_trendline_touch_v1,ADAUSDT,long,1747857600000,1747882800000,0.76095216,0.77931378,35.26618505,0.61495255,0.006034,0.03259158,sl,att1_long_trendline tl=0.7539 slope=3.268%/d rsi=50.5+TRAIL_SL,1
alt_trendline_touch_v1,SOLUSDT,long,1747857600000,1747886400000,171.14422200,176.42864120,0.12920380,0.65582241,0.006435,0.02694464,sl,att1_long_trendline tl=168.3632 slope=1.423%/d rsi=51.2+TRAIL_SL,1
alt_trendline_touch_v1,LINKUSDT,long,1747857600000,1747902300000,15.95619060,16.56499646,1.15577189,0.68108845,0.006684,0.02255224,sl,att1_long_trendline tl=15.6585 slope=1.361%/d rsi=49.0+TRAIL_SL,1
alt_trendline_touch_v1,ADAUSDT,short,1747944000000,1747964100000,0.80163964,0.81688367,37.41581442,-0.60670290,-0.005841,0.03633502,sl,att1_short_trendline tl=0.8075 slope=-0.858%/d rsi=68.1+SL,1
alt_trendline_touch_v1,ETHUSDT,long,1747958400000,1747968000000,2664.31275600,2714.46343225,0.01126219,0.52846043,0.005088,0.03634608,sl,att1_long_trendline tl=2634.7709 slope=1.709%/d rsi=49.7+TRAIL_SL,1
alt_trendline_touch_v1,LINKUSDT,long,1747990800000,1748001000000,16.83136560,16.41078147,1.78274305,-0.78535075,-0.007566,0.03555732,sl,att1_long_trendline tl=16.6770 slope=2.328%/d rsi=51.2+SL,1
alt_trendline_touch_v1,LTCUSDT,short,1748095200000,1748134200000,96.43071000,95.03654145,0.31104199,0.39791235,0.003863,0.03573261,sl,att1_short_trendline tl=96.8254 slope=-3.117%/d rsi=62.5+TP1+TRAIL_SL,1
alt_trendline_touch_v1,SUIUSDT,short,1748095200000,1748135100000,3.64007184,3.58986963,8.23994726,0.37791898,0.003669,0.03574460,sl,att1_short_trendline tl=3.6594 slope=-3.493%/d rsi=61.3+TRAIL_SL,1
alt_trendline_touch_v1,SOLUSDT,short,1748185200000,1748213700000,170.96580000,174.75191959,0.17543860,-0.70062285,-0.006751,0.03639134,sl,att1_short_trendline tl=172.8933 slope=-3.080%/d rsi=45.0+SL,1
alt_trendline_touch_v1,LTCUSDT,short,1748185200000,1748220000000,94.45110600,95.97810042,0.31756113,-0.52119782,-0.005023,0.03628375,sl,att1_short_trendline tl=95.1488 slope=-2.357%/d rsi=46.4+SL,1
alt_trendline_touch_v1,SUIUSDT,long,1748264400000,1748267700000,3.59191824,3.53896159,8.35375362,-0.47812858,-0.004662,0.03574177,sl,att1_long_trendline tl=3.5782 slope=3.709%/d rsi=45.1+SL,1
alt_trendline_touch_v1,ETHUSDT,long,1748293200000,1748337300000,2566.24314600,2632.71756934,0.01169258,0.74078387,0.007256,0.03647355,sl,att1_long_trendline tl=2531.4450 slope=1.473%/d rsi=43.8+TP1+TRAIL_SL,0
alt_trendline_touch_v1,SOLUSDT,long,1748304000000,1748308500000,174.84496200,172.20628995,0.17161490,-0.48857093,-0.004787,0.03573550,sl,att1_long_trendline tl=174.1917 slope=2.036%/d rsi=41.0+SL,1
