strategy,symbol,status,elapsed_sec,trades,net_pnl,profit_factor,winrate,max_drawdown,negative_months,run_dir,tail
alt_bear_regime_continuation_v1,BTCUSDT,OK,3.4,0,0.00,0.000,0.000,0.0000,0,backtest_runs/portfolio_20260524_181207_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_BTCUSDT_180d,-only] BTCUSDT: using cached slice BTCUSDT_5_1761523200000_1777075200000.json Saved portfolio run to: backtest_runs/portfolio_20260524_181207_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_BTCUSDT_180d   trades:   backtest_runs/portfolio_20260524_181207_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_BTCUSDT_180d/trades.csv   summary:  backtest_runs/portfolio_20260524_181207_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_BTCUSDT_180d/summary.csv 
alt_bear_regime_continuation_v1,ETHUSDT,OK,3.1,0,0.00,0.000,0.000,0.0000,0,backtest_runs/portfolio_20260524_181210_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_ETHUSDT_180d,-only] ETHUSDT: using cached slice ETHUSDT_5_1761523200000_1777075200000.json Saved portfolio run to: backtest_runs/portfolio_20260524_181210_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_ETHUSDT_180d   trades:   backtest_runs/portfolio_20260524_181210_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_ETHUSDT_180d/trades.csv   summary:  backtest_runs/portfolio_20260524_181210_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_ETHUSDT_180d/summary.csv 
alt_bear_regime_continuation_v1,SOLUSDT,OK,3.3,303,-14.82,0.379,0.314,14.9371,6,backtest_runs/portfolio_20260524_181213_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_SOLUSDT_180d,-only] SOLUSDT: using cached slice SOLUSDT_5_1761523200000_1777075200000.json Saved portfolio run to: backtest_runs/portfolio_20260524_181213_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_SOLUSDT_180d   trades:   backtest_runs/portfolio_20260524_181213_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_SOLUSDT_180d/trades.csv   summary:  backtest_runs/portfolio_20260524_181213_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_SOLUSDT_180d/summary.csv 
alt_bear_regime_continuation_v1,ADAUSDT,OK,3.0,306,-10.42,0.543,0.382,10.5409,6,backtest_runs/portfolio_20260524_181217_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_ADAUSDT_180d,-only] ADAUSDT: using cached slice ADAUSDT_5_1744243200000_1775347200000.json Saved portfolio run to: backtest_runs/portfolio_20260524_181217_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_ADAUSDT_180d   trades:   backtest_runs/portfolio_20260524_181217_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_ADAUSDT_180d/trades.csv   summary:  backtest_runs/portfolio_20260524_181217_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_ADAUSDT_180d/summary.csv 
alt_bear_regime_continuation_v1,LINKUSDT,OK,3.1,287,-13.00,0.427,0.338,13.5490,6,backtest_runs/portfolio_20260524_181220_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_LINKUSDT_180d,] LINKUSDT: using cached slice LINKUSDT_5_1744243200000_1775347200000.json Saved portfolio run to: backtest_runs/portfolio_20260524_181220_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_LINKUSDT_180d   trades:   backtest_runs/portfolio_20260524_181220_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_LINKUSDT_180d/trades.csv   summary:  backtest_runs/portfolio_20260524_181220_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_LINKUSDT_180d/summary.csv 
alt_bear_regime_continuation_v1,DOTUSDT,OK,2.5,317,-11.10,0.537,0.407,12.6552,4,backtest_runs/portfolio_20260524_181223_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_DOTUSDT_180d,-only] DOTUSDT: using cached slice DOTUSDT_5_1759449600000_1775001600000.json Saved portfolio run to: backtest_runs/portfolio_20260524_181223_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_DOTUSDT_180d   trades:   backtest_runs/portfolio_20260524_181223_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_DOTUSDT_180d/trades.csv   summary:  backtest_runs/portfolio_20260524_181223_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_DOTUSDT_180d/summary.csv 
alt_bear_regime_continuation_v1,LTCUSDT,OK,2.4,0,0.00,0.000,0.000,0.0000,0,backtest_runs/portfolio_20260524_181225_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_LTCUSDT_180d,-only] LTCUSDT: using cached slice LTCUSDT_5_1743897600000_1775001600000.json Saved portfolio run to: backtest_runs/portfolio_20260524_181225_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_LTCUSDT_180d   trades:   backtest_runs/portfolio_20260524_181225_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_LTCUSDT_180d/trades.csv   summary:  backtest_runs/portfolio_20260524_181225_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_LTCUSDT_180d/summary.csv 
alt_bear_regime_continuation_v1,SUIUSDT,OK,2.9,294,-10.61,0.546,0.398,11.5641,5,backtest_runs/portfolio_20260524_181228_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_SUIUSDT_180d,-only] SUIUSDT: using cached slice SUIUSDT_5_1744243200000_1775347200000.json Saved portfolio run to: backtest_runs/portfolio_20260524_181228_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_SUIUSDT_180d   trades:   backtest_runs/portfolio_20260524_181228_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_SUIUSDT_180d/trades.csv   summary:  backtest_runs/portfolio_20260524_181228_candidate180_bear_flat_20260524_alt_bear_regime_continuation_v1_SUIUSDT_180d/summary.csv 
alt_range_scalp_v1,BTCUSDT,OK,3.9,31,-3.03,0.343,0.065,3.6343,5,backtest_runs/portfolio_20260524_181231_candidate180_bear_flat_20260524_alt_range_scalp_v1_BTCUSDT_180d,[cache-only] BTCUSDT: using cached slice BTCUSDT_5_1761523200000_1777075200000.json Saved portfolio run to: backtest_runs/portfolio_20260524_181231_candidate180_bear_flat_20260524_alt_range_scalp_v1_BTCUSDT_180d   trades:   backtest_runs/portfolio_20260524_181231_candidate180_bear_flat_20260524_alt_range_scalp_v1_BTCUSDT_180d/trades.csv   summary:  backtest_runs/portfolio_20260524_181231_candidate180_bear_flat_20260524_alt_range_scalp_v1_BTCUSDT_180d/summary.csv 
alt_range_scalp_v1,ETHUSDT,OK,3.8,55,-3.89,0.567,0.109,3.8947,5,backtest_runs/portfolio_20260524_181235_candidate180_bear_flat_20260524_alt_range_scalp_v1_ETHUSDT_180d,[cache-only] ETHUSDT: using cached slice ETHUSDT_5_1761523200000_1777075200000.json Saved portfolio run to: backtest_runs/portfolio_20260524_181235_candidate180_bear_flat_20260524_alt_range_scalp_v1_ETHUSDT_180d   trades:   backtest_runs/portfolio_20260524_181235_candidate180_bear_flat_20260524_alt_range_scalp_v1_ETHUSDT_180d/trades.csv   summary:  backtest_runs/portfolio_20260524_181235_candidate180_bear_flat_20260524_alt_range_scalp_v1_ETHUSDT_180d/summary.csv 
