strategy,symbol,status,elapsed_sec,trades,net_pnl,profit_factor,winrate,max_drawdown,negative_months,run_dir,tail
alt_bear_consolidation_short_v1,ADAUSDT,OK,76.6,102,-4.14,0.285,0.225,4.1424,4,backtest_runs/portfolio_20260521_103740_candidate_matrix_fast_20260521_alt_bear_consolidation_short_v1_ADAUSDT_90d,[cache-only] ADAUSDT: using cached slice ADAUSDT_5_1744243200000_1775347200000.json Saved portfolio run to: backtest_runs/portfolio_20260521_103740_candidate_matrix_fast_20260521_alt_bear_consolidation_short_v1_ADAUSDT_90d   trades:   backtest_runs/portfolio_20260521_103740_candidate_matrix_fast_20260521_alt_bear_consolidation_short_v1_ADAUSDT_90d/trades.csv   summary:  backtest_runs/portfolio_20260521_103740_candidate_matrix_fast_20260521_alt_bear_consolidation_short_v1_ADAUSDT_90d/summary.csv 
alt_bear_consolidation_short_v1,ONDOUSDT,EXIT1,0.4,,,,,,,,"le ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest/run_portfolio.py"", line 1017, in main     base_candles = _load_symbol_base(         sym,     ...<4 lines>...         base_interval_min=args.base_interval_min,     )   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest/run_portfolio.py"", line 714, in _load_symbol_base     raise FileNotFoundError(f""No cached slice found for {symbol}"") FileNotFoundError: No cached slice found for ONDOUSDT "
alt_bear_consolidation_short_v1,ENAUSDT,EXIT1,0.3,,,,,,,,"ile ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest/run_portfolio.py"", line 1017, in main     base_candles = _load_symbol_base(         sym,     ...<4 lines>...         base_interval_min=args.base_interval_min,     )   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest/run_portfolio.py"", line 714, in _load_symbol_base     raise FileNotFoundError(f""No cached slice found for {symbol}"") FileNotFoundError: No cached slice found for ENAUSDT "
alt_elder_revived_v1,ADAUSDT,OK,92.5,42,-2.35,0.298,0.405,2.6848,2,backtest_runs/portfolio_20260521_103857_candidate_matrix_fast_20260521_alt_elder_revived_v1_ADAUSDT_90d,[cache-only] ADAUSDT: using cached slice ADAUSDT_5_1744243200000_1775347200000.json Saved portfolio run to: backtest_runs/portfolio_20260521_103857_candidate_matrix_fast_20260521_alt_elder_revived_v1_ADAUSDT_90d   trades:   backtest_runs/portfolio_20260521_103857_candidate_matrix_fast_20260521_alt_elder_revived_v1_ADAUSDT_90d/trades.csv   summary:  backtest_runs/portfolio_20260521_103857_candidate_matrix_fast_20260521_alt_elder_revived_v1_ADAUSDT_90d/summary.csv 
alt_elder_revived_v1,ONDOUSDT,EXIT1,0.6,,,,,,,,"le ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest/run_portfolio.py"", line 1017, in main     base_candles = _load_symbol_base(         sym,     ...<4 lines>...         base_interval_min=args.base_interval_min,     )   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest/run_portfolio.py"", line 714, in _load_symbol_base     raise FileNotFoundError(f""No cached slice found for {symbol}"") FileNotFoundError: No cached slice found for ONDOUSDT "
alt_elder_revived_v1,ENAUSDT,EXIT1,0.3,,,,,,,,"ile ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest/run_portfolio.py"", line 1017, in main     base_candles = _load_symbol_base(         sym,     ...<4 lines>...         base_interval_min=args.base_interval_min,     )   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest/run_portfolio.py"", line 714, in _load_symbol_base     raise FileNotFoundError(f""No cached slice found for {symbol}"") FileNotFoundError: No cached slice found for ENAUSDT "
alt_momentum_breakout_v1,ADAUSDT,OK,44.3,0,0.00,0.000,0.000,0.0000,0,backtest_runs/portfolio_20260521_104031_candidate_matrix_fast_20260521_alt_momentum_breakout_v1_ADAUSDT_90d,[cache-only] ADAUSDT: using cached slice ADAUSDT_5_1744243200000_1775347200000.json Saved portfolio run to: backtest_runs/portfolio_20260521_104031_candidate_matrix_fast_20260521_alt_momentum_breakout_v1_ADAUSDT_90d   trades:   backtest_runs/portfolio_20260521_104031_candidate_matrix_fast_20260521_alt_momentum_breakout_v1_ADAUSDT_90d/trades.csv   summary:  backtest_runs/portfolio_20260521_104031_candidate_matrix_fast_20260521_alt_momentum_breakout_v1_ADAUSDT_90d/summary.csv 
alt_momentum_breakout_v1,ONDOUSDT,EXIT1,0.5,,,,,,,,"le ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest/run_portfolio.py"", line 1017, in main     base_candles = _load_symbol_base(         sym,     ...<4 lines>...         base_interval_min=args.base_interval_min,     )   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest/run_portfolio.py"", line 714, in _load_symbol_base     raise FileNotFoundError(f""No cached slice found for {symbol}"") FileNotFoundError: No cached slice found for ONDOUSDT "
alt_momentum_breakout_v1,ENAUSDT,EXIT1,0.3,,,,,,,,"ile ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest/run_portfolio.py"", line 1017, in main     base_candles = _load_symbol_base(         sym,     ...<4 lines>...         base_interval_min=args.base_interval_min,     )   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest/run_portfolio.py"", line 714, in _load_symbol_base     raise FileNotFoundError(f""No cached slice found for {symbol}"") FileNotFoundError: No cached slice found for ENAUSDT "
alt_pullback_continuation_v1,ADAUSDT,OK,96.1,39,-3.57,0.100,0.154,3.5917,3,backtest_runs/portfolio_20260521_104117_candidate_matrix_fast_20260521_alt_pullback_continuation_v1_ADAUSDT_90d,[cache-only] ADAUSDT: using cached slice ADAUSDT_5_1744243200000_1775347200000.json Saved portfolio run to: backtest_runs/portfolio_20260521_104117_candidate_matrix_fast_20260521_alt_pullback_continuation_v1_ADAUSDT_90d   trades:   backtest_runs/portfolio_20260521_104117_candidate_matrix_fast_20260521_alt_pullback_continuation_v1_ADAUSDT_90d/trades.csv   summary:  backtest_runs/portfolio_20260521_104117_candidate_matrix_fast_20260521_alt_pullback_continuation_v1_ADAUSDT_90d/summary.csv 
alt_pullback_continuation_v1,ONDOUSDT,EXIT1,0.5,,,,,,,,"le ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest/run_portfolio.py"", line 1017, in main     base_candles = _load_symbol_base(         sym,     ...<4 lines>...         base_interval_min=args.base_interval_min,     )   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest/run_portfolio.py"", line 714, in _load_symbol_base     raise FileNotFoundError(f""No cached slice found for {symbol}"") FileNotFoundError: No cached slice found for ONDOUSDT "
alt_pullback_continuation_v1,ENAUSDT,EXIT1,0.3,,,,,,,,"ile ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest/run_portfolio.py"", line 1017, in main     base_candles = _load_symbol_base(         sym,     ...<4 lines>...         base_interval_min=args.base_interval_min,     )   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest/run_portfolio.py"", line 714, in _load_symbol_base     raise FileNotFoundError(f""No cached slice found for {symbol}"") FileNotFoundError: No cached slice found for ENAUSDT "
alt_squeeze_breakout_v1,ADAUSDT,OK,82.8,3,-0.23,0.106,0.333,0.2725,2,backtest_runs/portfolio_20260521_104254_candidate_matrix_fast_20260521_alt_squeeze_breakout_v1_ADAUSDT_90d,[cache-only] ADAUSDT: using cached slice ADAUSDT_5_1744243200000_1775347200000.json Saved portfolio run to: backtest_runs/portfolio_20260521_104254_candidate_matrix_fast_20260521_alt_squeeze_breakout_v1_ADAUSDT_90d   trades:   backtest_runs/portfolio_20260521_104254_candidate_matrix_fast_20260521_alt_squeeze_breakout_v1_ADAUSDT_90d/trades.csv   summary:  backtest_runs/portfolio_20260521_104254_candidate_matrix_fast_20260521_alt_squeeze_breakout_v1_ADAUSDT_90d/summary.csv 
alt_squeeze_breakout_v1,ONDOUSDT,EXIT1,0.5,,,,,,,,"le ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest/run_portfolio.py"", line 1017, in main     base_candles = _load_symbol_base(         sym,     ...<4 lines>...         base_interval_min=args.base_interval_min,     )   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest/run_portfolio.py"", line 714, in _load_symbol_base     raise FileNotFoundError(f""No cached slice found for {symbol}"") FileNotFoundError: No cached slice found for ONDOUSDT "
alt_squeeze_breakout_v1,ENAUSDT,EXIT1,0.3,,,,,,,,"ile ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest/run_portfolio.py"", line 1017, in main     base_candles = _load_symbol_base(         sym,     ...<4 lines>...         base_interval_min=args.base_interval_min,     )   File ""/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest/run_portfolio.py"", line 714, in _load_symbol_base     raise FileNotFoundError(f""No cached slice found for {symbol}"") FileNotFoundError: No cached slice found for ENAUSDT "
