strategy,symbol,status,elapsed_sec,trades,net_pnl,profit_factor,winrate,max_drawdown,negative_months,run_dir,tail
alt_trendline_touch_v1,BTCUSDT,OK,7.7,44,-0.15,0.979,0.545,2.6148,3,backtest_runs/portfolio_20260524_185006_core_candidates_180d_20260524_now_alt_trendline_touch_v1_BTCUSDT_180d,[cache-only] BTCUSDT: using cached slice BTCUSDT_5_1761523200000_1777075200000.json Saved portfolio run to: backtest_runs/portfolio_20260524_185006_core_candidates_180d_20260524_now_alt_trendline_touch_v1_BTCUSDT_180d   trades:   backtest_runs/portfolio_20260524_185006_core_candidates_180d_20260524_now_alt_trendline_touch_v1_BTCUSDT_180d/trades.csv   summary:  backtest_runs/portfolio_20260524_185006_core_candidates_180d_20260524_now_alt_trendline_touch_v1_BTCUSDT_180d/summary.csv 
alt_trendline_touch_v1,ETHUSDT,OK,7.8,37,2.00,1.296,0.622,2.8007,3,backtest_runs/portfolio_20260524_185013_core_candidates_180d_20260524_now_alt_trendline_touch_v1_ETHUSDT_180d,[cache-only] ETHUSDT: using cached slice ETHUSDT_5_1761523200000_1777075200000.json Saved portfolio run to: backtest_runs/portfolio_20260524_185013_core_candidates_180d_20260524_now_alt_trendline_touch_v1_ETHUSDT_180d   trades:   backtest_runs/portfolio_20260524_185013_core_candidates_180d_20260524_now_alt_trendline_touch_v1_ETHUSDT_180d/trades.csv   summary:  backtest_runs/portfolio_20260524_185013_core_candidates_180d_20260524_now_alt_trendline_touch_v1_ETHUSDT_180d/summary.csv 
alt_trendline_touch_v1,SOLUSDT,OK,7.4,38,3.30,1.410,0.579,2.0172,3,backtest_runs/portfolio_20260524_185021_core_candidates_180d_20260524_now_alt_trendline_touch_v1_SOLUSDT_180d,[cache-only] SOLUSDT: using cached slice SOLUSDT_5_1761523200000_1777075200000.json Saved portfolio run to: backtest_runs/portfolio_20260524_185021_core_candidates_180d_20260524_now_alt_trendline_touch_v1_SOLUSDT_180d   trades:   backtest_runs/portfolio_20260524_185021_core_candidates_180d_20260524_now_alt_trendline_touch_v1_SOLUSDT_180d/trades.csv   summary:  backtest_runs/portfolio_20260524_185021_core_candidates_180d_20260524_now_alt_trendline_touch_v1_SOLUSDT_180d/summary.csv 
alt_trendline_touch_v1,ADAUSDT,OK,6.8,25,1.73,1.276,0.560,1.9064,3,backtest_runs/portfolio_20260524_185029_core_candidates_180d_20260524_now_alt_trendline_touch_v1_ADAUSDT_180d,[cache-only] ADAUSDT: using cached slice ADAUSDT_5_1744243200000_1775347200000.json Saved portfolio run to: backtest_runs/portfolio_20260524_185029_core_candidates_180d_20260524_now_alt_trendline_touch_v1_ADAUSDT_180d   trades:   backtest_runs/portfolio_20260524_185029_core_candidates_180d_20260524_now_alt_trendline_touch_v1_ADAUSDT_180d/trades.csv   summary:  backtest_runs/portfolio_20260524_185029_core_candidates_180d_20260524_now_alt_trendline_touch_v1_ADAUSDT_180d/summary.csv 
alt_trendline_touch_v1,LINKUSDT,OK,6.7,30,4.16,1.676,0.667,1.6000,1,backtest_runs/portfolio_20260524_185036_core_candidates_180d_20260524_now_alt_trendline_touch_v1_LINKUSDT_180d,[cache-only] LINKUSDT: using cached slice LINKUSDT_5_1744243200000_1775347200000.json Saved portfolio run to: backtest_runs/portfolio_20260524_185036_core_candidates_180d_20260524_now_alt_trendline_touch_v1_LINKUSDT_180d   trades:   backtest_runs/portfolio_20260524_185036_core_candidates_180d_20260524_now_alt_trendline_touch_v1_LINKUSDT_180d/trades.csv   summary:  backtest_runs/portfolio_20260524_185036_core_candidates_180d_20260524_now_alt_trendline_touch_v1_LINKUSDT_180d/summary.csv 
alt_trendline_touch_v1,DOTUSDT,OK,6.6,25,2.90,1.533,0.600,2.8833,2,backtest_runs/portfolio_20260524_185042_core_candidates_180d_20260524_now_alt_trendline_touch_v1_DOTUSDT_180d,[cache-only] DOTUSDT: using cached slice DOTUSDT_5_1759449600000_1775001600000.json Saved portfolio run to: backtest_runs/portfolio_20260524_185042_core_candidates_180d_20260524_now_alt_trendline_touch_v1_DOTUSDT_180d   trades:   backtest_runs/portfolio_20260524_185042_core_candidates_180d_20260524_now_alt_trendline_touch_v1_DOTUSDT_180d/trades.csv   summary:  backtest_runs/portfolio_20260524_185042_core_candidates_180d_20260524_now_alt_trendline_touch_v1_DOTUSDT_180d/summary.csv 
alt_trendline_touch_v1,LTCUSDT,OK,5.7,42,2.13,1.263,0.595,2.1311,1,backtest_runs/portfolio_20260524_185049_core_candidates_180d_20260524_now_alt_trendline_touch_v1_LTCUSDT_180d,[cache-only] LTCUSDT: using cached slice LTCUSDT_5_1743897600000_1775001600000.json Saved portfolio run to: backtest_runs/portfolio_20260524_185049_core_candidates_180d_20260524_now_alt_trendline_touch_v1_LTCUSDT_180d   trades:   backtest_runs/portfolio_20260524_185049_core_candidates_180d_20260524_now_alt_trendline_touch_v1_LTCUSDT_180d/trades.csv   summary:  backtest_runs/portfolio_20260524_185049_core_candidates_180d_20260524_now_alt_trendline_touch_v1_LTCUSDT_180d/summary.csv 
alt_trendline_touch_v1,SUIUSDT,OK,6.3,34,1.39,1.149,0.529,2.7351,4,backtest_runs/portfolio_20260524_185055_core_candidates_180d_20260524_now_alt_trendline_touch_v1_SUIUSDT_180d,[cache-only] SUIUSDT: using cached slice SUIUSDT_5_1744243200000_1775347200000.json Saved portfolio run to: backtest_runs/portfolio_20260524_185055_core_candidates_180d_20260524_now_alt_trendline_touch_v1_SUIUSDT_180d   trades:   backtest_runs/portfolio_20260524_185055_core_candidates_180d_20260524_now_alt_trendline_touch_v1_SUIUSDT_180d/trades.csv   summary:  backtest_runs/portfolio_20260524_185055_core_candidates_180d_20260524_now_alt_trendline_touch_v1_SUIUSDT_180d/summary.csv 
alt_resistance_fade_v1,BTCUSDT,OK,2.0,0,0.00,0.000,0.000,0.0000,0,backtest_runs/portfolio_20260524_185101_core_candidates_180d_20260524_now_alt_resistance_fade_v1_BTCUSDT_180d,[cache-only] BTCUSDT: using cached slice BTCUSDT_5_1761523200000_1777075200000.json Saved portfolio run to: backtest_runs/portfolio_20260524_185101_core_candidates_180d_20260524_now_alt_resistance_fade_v1_BTCUSDT_180d   trades:   backtest_runs/portfolio_20260524_185101_core_candidates_180d_20260524_now_alt_resistance_fade_v1_BTCUSDT_180d/trades.csv   summary:  backtest_runs/portfolio_20260524_185101_core_candidates_180d_20260524_now_alt_resistance_fade_v1_BTCUSDT_180d/summary.csv 
alt_resistance_fade_v1,ETHUSDT,OK,2.0,0,0.00,0.000,0.000,0.0000,0,backtest_runs/portfolio_20260524_185103_core_candidates_180d_20260524_now_alt_resistance_fade_v1_ETHUSDT_180d,[cache-only] ETHUSDT: using cached slice ETHUSDT_5_1761523200000_1777075200000.json Saved portfolio run to: backtest_runs/portfolio_20260524_185103_core_candidates_180d_20260524_now_alt_resistance_fade_v1_ETHUSDT_180d   trades:   backtest_runs/portfolio_20260524_185103_core_candidates_180d_20260524_now_alt_resistance_fade_v1_ETHUSDT_180d/trades.csv   summary:  backtest_runs/portfolio_20260524_185103_core_candidates_180d_20260524_now_alt_resistance_fade_v1_ETHUSDT_180d/summary.csv 
