symbol,trades,net_r,pf,dd_r
ATOMUSDT,31,5.2675,1.3571,5.4023
TAOUSDT,16,3.8071,1.5242,4.1176
DOGEUSDT,15,1.7255,1.2236,2.2017
LTCUSDT,27,0.4607,1.0296,5.3858
BNBUSDT,14,-0.0961,0.9873,4.6157
XRPUSDT,14,-2.1162,0.7614,4.5403
BTCUSDT,49,-2.846,0.9035,9.8746
1000PEPEUSDT,16,-3.2302,0.6995,6.44
ETHUSDT,22,-4.0057,0.7162,5.6894
SUIUSDT,30,-4.2935,0.7777,9.1962
AVAXUSDT,17,-4.6518,0.6161,7.5658
DOTUSDT,24,-4.8201,0.7012,8.7594
HYPEUSDT,10,-5.9918,0.2976,7.4689
SOLUSDT,27,-7.9447,0.5679,11.4519
LINKUSDT,26,-9.278,0.4988,13.4502
ADAUSDT,32,-11.7423,0.5066,15.1737
BCHUSDT,372,-29.6317,0.8701,35.1224
XLMUSDT,388,-31.1893,0.8684,42.2644
ONDOUSDT,386,-36.1468,0.8487,54.6781
