symbol,side,entry_ts,exit_ts,entry,exit,gross_r,net_r,fees_r,reason,z
ONDOUSDT,short,1752094800000,1752112800000,0.8274,0.8413928571428572,-1.0,-1.07096,0.07096,sl,1.7562
ONDOUSDT,short,1752123600000,1752163200000,0.8438,0.8578035714285713,-1.0,-1.07231,0.07231,sl,1.7648
BCHUSDT,short,1752138000000,1752152400000,516.8,509.38571428571424,1.33333,1.22181,0.11153,tp,2.0779
XLMUSDT,short,1752138000000,1752174000000,0.29477,0.30197964285714285,-1.0,-1.04906,0.04906,sl,2.1118
ONDOUSDT,short,1752181200000,1752181200000,0.8704,0.8854214285714286,-1.0,-1.06953,0.06953,sl,1.8389
XLMUSDT,short,1752181200000,1752199200000,0.29996,0.3061817857142857,-1.0,-1.05785,0.05785,sl,1.8377
XLMUSDT,short,1752238800000,1752238800000,0.32993,0.33816714285714283,-1.0,-1.04806,0.04806,sl,4.3273
XLMUSDT,short,1752253200000,1752260400000,0.37114,0.38838571428571433,-1.0,-1.02582,0.02582,sl,2.9658
ONDOUSDT,long,1752282000000,1752332400000,0.8817,0.8549571428571429,-1.0,-1.03956,0.03956,sl,-2.0692
BCHUSDT,long,1752310800000,1752321600000,516.9,507.87857142857143,-1.0,-1.06876,0.06876,sl,-1.9871
ONDOUSDT,long,1752339600000,1752386400000,0.8606,0.8886428571428571,1.33333,1.28423,0.0491,tp,-2.3416
XLMUSDT,short,1752382800000,1752415200000,0.43541,0.4571846428571429,-1.0,-1.024,0.024,sl,3.3387
ONDOUSDT,short,1752397200000,1752408000000,0.8988,0.9139928571428572,-1.0,-1.07099,0.07099,sl,2.6696
XLMUSDT,short,1752454800000,1752487200000,0.49918,0.45869857142857146,1.33333,1.3136,0.01973,tp,2.7624
ONDOUSDT,short,1752469200000,1752501600000,0.9474,0.9184142857142857,1.33333,1.28104,0.0523,tp,3.5801
BCHUSDT,short,1752469200000,1752476400000,516.4,523.7928571428571,-1.0,-1.08382,0.08382,sl,3.573
BCHUSDT,short,1752483600000,1752501600000,518.7,506.9571428571429,1.33333,1.26266,0.07067,tp,2.5583
BCHUSDT,long,1752555600000,1752577200000,491.9,484.11071428571427,-1.0,-1.07578,0.07578,sl,-1.8726
ONDOUSDT,short,1752627600000,1752688800000,0.9432,0.975,-1.0,-1.03559,0.03559,sl,1.938
BCHUSDT,short,1752627600000,1752714000000,501.5,489.5,1.33333,1.26647,0.06687,tp,3.5984
XLMUSDT,short,1752656400000,1752706800000,0.46995,0.45218285714285716,1.33333,1.29101,0.04232,tp,2.3944
ONDOUSDT,short,1752699600000,1752714000000,0.973,0.9472714285714285,1.33333,1.27282,0.06051,tp,2.2133
XLMUSDT,long,1752714000000,1752728400000,0.45208,0.4737771428571428,1.33333,1.3,0.03334,tp,-2.3994
ONDOUSDT,short,1752757200000,1752782400000,1.0424,1.0017,1.33333,1.29235,0.04098,tp,7.1352
BCHUSDT,short,1752800400000,1752811200000,508.2,517.1357142857142,-1.0,-1.06825,0.06825,sl,4.2781
XLMUSDT,short,1752800400000,1752804000000,0.5187,0.48797428571428575,1.33333,1.30632,0.02701,tp,3.4573
ONDOUSDT,long,1752872400000,1752994800000,1.001,1.0469142857142857,1.33333,1.29845,0.03488,tp,-2.2764
XLMUSDT,long,1752872400000,1753041600000,0.45978,0.47128,0.73345,0.69826,0.03519,time,-1.7515
BCHUSDT,long,1752930000000,1752951600000,506.5,515.5571428571429,1.33333,1.24386,0.08948,tp,-2.0995
BCHUSDT,short,1752973200000,1752984000000,520.3,528.3892857142856,-1.0,-1.07718,0.07718,sl,2.3317
ONDOUSDT,short,1753002000000,1753027200000,1.0596,1.0789607142857143,-1.0,-1.06568,0.06568,sl,3.4552
BCHUSDT,short,1753016400000,1753020000000,537.4,546.3464285714285,-1.0,-1.07208,0.07208,sl,2.1293
BCHUSDT,short,1753030800000,1753059600000,550.3,537.8285714285714,1.33333,1.26273,0.0706,tp,2.103
BCHUSDT,long,1753074000000,1753146000000,525.3,515.1535714285714,-1.0,-1.06213,0.06213,sl,-1.7728
ONDOUSDT,short,1753102800000,1753113600000,1.116,1.0833428571428572,1.33333,1.27866,0.05468,tp,3.8867
ONDOUSDT,long,1753160400000,1753218000000,1.0317,1.0817857142857144,1.33333,1.30038,0.03296,tp,-3.0496
BCHUSDT,long,1753160400000,1753167600000,511.6,524.5857142857143,1.33333,1.2703,0.06304,tp,-2.9066
XLMUSDT,long,1753160400000,1753200000000,0.44944,0.46723285714285717,1.33333,1.29292,0.04042,tp,-3.4784
ONDOUSDT,short,1753232400000,1753261200000,1.1371,1.0848714285714285,1.33333,1.2985,0.03483,tp,3.0889
BCHUSDT,short,1753246800000,1753272000000,529.3,517.1999999999999,1.33333,1.26334,0.06999,tp,2.1219
XLMUSDT,long,1753275600000,1753275600000,0.45014,0.4409760714285714,-1.0,-1.05895,0.05895,sl,-6.295
ONDOUSDT,long,1753290000000,1753333200000,1.0192,0.9844428571428573,-1.0,-1.03519,0.03519,sl,-2.1642
BCHUSDT,long,1753290000000,1753304400000,506.7,496.54285714285714,-1.0,-1.05986,0.05986,sl,-2.8604
XLMUSDT,long,1753290000000,1753300800000,0.42752,0.4140810714285714,-1.0,-1.03817,0.03817,sl,-2.8787
BCHUSDT,short,1753419600000,1753434000000,526.2,537.6428571428572,-1.0,-1.05518,0.05518,sl,1.7544
BCHUSDT,short,1753448400000,1753578000000,550.1,565.6678571428572,-1.0,-1.0424,0.0424,sl,1.9888
XLMUSDT,short,1753477200000,1753502400000,0.42945,0.4421957142857143,-1.0,-1.04043,0.04043,sl,2.1727
ONDOUSDT,short,1753549200000,1753574400000,1.0581,1.0395285714285716,1.33333,1.24217,0.09116,tp,1.7783
BCHUSDT,short,1753592400000,1753596000000,567.9,575.9571428571429,-1.0,-1.08458,0.08458,sl,1.9735
XLMUSDT,short,1753592400000,1753592400000,0.44656,0.4529682142857143,-1.0,-1.08362,0.08362,sl,4.1792
BCHUSDT,short,1753606800000,1753610400000,583.9,593.575,-1.0,-1.07242,0.07242,sl,2.5053
BCHUSDT,short,1753621200000,1753686000000,602.0,586.4714285714285,1.33333,1.27131,0.06203,tp,2.6594
BCHUSDT,long,1753693200000,1753707600000,577.7,590.2571428571429,1.33333,1.25972,0.07361,tp,-2.8231
XLMUSDT,long,1753707600000,1753711200000,0.4373,0.42880035714285714,-1.0,-1.06174,0.06174,sl,-2.0686
ONDOUSDT,long,1753722000000,1753732800000,1.0102,0.9849785714285714,-1.0,-1.04806,0.04806,sl,-2.3708
XLMUSDT,long,1753722000000,1753732800000,0.42476,0.41650035714285716,-1.0,-1.06171,0.06171,sl,-2.3905
BCHUSDT,long,1753736400000,1753786800000,574.7,564.9285714285714,-1.0,-1.07058,0.07058,sl,-2.2448
ONDOUSDT,long,1753808400000,1753873200000,0.9603,0.9370178571428572,-1.0,-1.0495,0.0495,sl,-2.0166
ONDOUSDT,long,1753880400000,1753891200000,0.9351,0.9621428571428572,1.33333,1.27801,0.05533,tp,-2.3626
XLMUSDT,long,1753880400000,1753902000000,0.40783,0.39940964285714287,-1.0,-1.05812,0.05812,sl,-2.8101
BCHUSDT,short,1753923600000,1753970400000,590.8,574.1285714285714,1.33333,1.27663,0.0567,tp,4.049
ONDOUSDT,short,1753938000000,1753948800000,0.9738,0.9973392857142858,-1.0,-1.04964,0.04964,sl,2.3048
XLMUSDT,short,1753938000000,1753966800000,0.4232,0.4101257142857143,1.33333,1.28154,0.05179,tp,2.2057
ONDOUSDT,long,1753995600000,1754006400000,0.9413,0.9134857142857143,-1.0,-1.04061,0.04061,sl,-1.8438
BCHUSDT,long,1753995600000,1753995600000,563.9,574.1857142857143,1.33333,1.24562,0.08772,tp,-2.2569
XLMUSDT,long,1754010000000,1754035200000,0.3946,0.3839832142857143,-1.0,-1.0446,0.0446,sl,-2.3405
BCHUSDT,long,1754038800000,1754071200000,553.6,541.2785714285715,-1.0,-1.05392,0.05392,sl,-2.2627
BCHUSDT,long,1754082000000,1754154000000,535.6,522.8607142857143,-1.0,-1.05045,0.05045,sl,-2.3677
XLMUSDT,long,1754154000000,1754157600000,0.37225,0.3636871428571429,-1.0,-1.05217,0.05217,sl,-1.974
ONDOUSDT,short,1754211600000,1754240400000,0.903,0.9194464285714286,-1.0,-1.06589,0.06589,sl,2.0647
BCHUSDT,short,1754211600000,1754265600000,539.8,548.3714285714285,-1.0,-1.07557,0.07557,sl,2.3259
XLMUSDT,short,1754226000000,1754233200000,0.39016,0.39645035714285715,-1.0,-1.07443,0.07443,sl,2.6836
XLMUSDT,short,1754240400000,1754265600000,0.40011,0.4065642857142857,-1.0,-1.07439,0.07439,sl,2.298
ONDOUSDT,short,1754269200000,1754283600000,0.9388,0.9213857142857143,1.33333,1.24708,0.08626,tp,2.5607
BCHUSDT,short,1754283600000,1754316000000,553.2,559.2642857142857,-1.0,-1.10947,0.10947,sl,1.9758
ONDOUSDT,short,1754326800000,1754362800000,0.9502,0.9299571428571429,1.33333,1.25823,0.0751,tp,3.6524
BCHUSDT,short,1754326800000,1754334000000,572.8,561.8285714285714,1.33333,1.2498,0.08353,tp,2.4321
XLMUSDT,long,1754370000000,1754402400000,0.40507,0.3984967857142857,-1.0,-1.07395,0.07395,sl,-2.4757
ONDOUSDT,long,1754413200000,1754492400000,0.9104,0.9377285714285715,1.33333,1.28003,0.0533,tp,-1.9415
XLMUSDT,long,1754413200000,1754445600000,0.39762,0.38878714285714283,-1.0,-1.05402,0.05402,sl,-1.7566
BCHUSDT,long,1754427600000,1754456400000,543.1,559.8714285714286,1.33333,1.28152,0.05181,tp,-2.6822
XLMUSDT,long,1754456400000,1754456400000,0.38566,0.3938257142857143,1.33333,1.25777,0.07557,tp,-1.8716
BCHUSDT,short,1754499600000,1754550000000,569.3,578.1071428571428,-1.0,-1.07757,0.07757,sl,1.8987
ONDOUSDT,short,1754571600000,1754596800000,0.9834,0.9988071428571429,-1.0,-1.07659,0.07659,sl,2.8666
XLMUSDT,short,1754571600000,1754582400000,0.41455,0.40571142857142856,1.33333,1.25829,0.07504,tp,2.733
