symbol,trades,net_r,pf,dd_r
ONDOUSDT,260,4.2686,1.0297,15.3015
ATOMUSDT,21,0.7451,1.067,3.4809
LINKUSDT,20,-0.203,0.9814,5.5381
HYPEUSDT,11,-0.6967,0.8938,4.3738
AVAXUSDT,9,-1.0442,0.8126,3.4068
DOTUSDT,13,-2.9278,0.666,5.4226
TAOUSDT,5,-3.0033,0.286,3.125
XRPUSDT,7,-3.3286,0.4066,4.5325
DOGEUSDT,9,-3.4101,0.4998,5.6485
BNBUSDT,9,-3.5196,0.4778,5.7562
ETHUSDT,12,-3.6097,0.5287,3.862
1000PEPEUSDT,10,-4.1701,0.4557,5.4026
BTCUSDT,33,-5.158,0.75,10.6833
LTCUSDT,21,-6.7959,0.5358,9.2442
SOLUSDT,18,-7.4151,0.4413,8.9657
ADAUSDT,23,-9.4265,0.465,13.0229
SUIUSDT,20,-10.4735,0.3588,12.8607
XLMUSDT,257,-13.2941,0.9105,24.1954
BCHUSDT,245,-20.7209,0.8581,36.5687
