symbol,side,entry_ts,exit_ts,entry,exit,gross_r,net_r,fees_r,reason,z
ONDOUSDT,short,1752195600000,1752199200000,0.8857,0.9011714285714286,-1.0,-1.0687,0.0687,sl,1.9009
ONDOUSDT,short,1752210000000,1752210000000,0.909,0.9252,-1.0,-1.06733,0.06733,sl,2.2088
BCHUSDT,short,1752210000000,1752210000000,521.0,525.8857142857142,-1.0,-1.12796,0.12796,sl,2.0507
ONDOUSDT,short,1752224400000,1752238800000,0.9118,0.9293285714285715,-1.0,-1.06242,0.06242,sl,1.8822
BCHUSDT,short,1752224400000,1752238800000,523.6,529.3942857142857,-1.0,-1.10844,0.10844,sl,2.0972
XLMUSDT,short,1752238800000,1752238800000,0.32993,0.33651971428571426,-1.0,-1.06008,0.06008,sl,4.0279
BCHUSDT,short,1752253200000,1752256800000,529.7,536.8571428571429,-1.0,-1.08881,0.08881,sl,2.0867
XLMUSDT,short,1752253200000,1752260400000,0.37114,0.38493657142857146,-1.0,-1.03228,0.03228,sl,4.1236
BCHUSDT,short,1752267600000,1752271200000,533.5,526.3171428571429,1.0,0.91087,0.08913,tp,1.9841
XLMUSDT,short,1752267600000,1752271200000,0.36781,0.3502531428571429,1.0,0.97486,0.02514,tp,2.2384
XLMUSDT,short,1752296400000,1752314400000,0.38641,0.40928714285714285,-1.0,-1.02027,0.02027,sl,1.8731
XLMUSDT,short,1752325200000,1752328800000,0.401,0.3817425714285715,1.0,0.97501,0.02499,tp,1.5922
ONDOUSDT,long,1752339600000,1752364800000,0.8606,0.8774257142857143,1.0,0.93862,0.06138,tp,-1.9764
BCHUSDT,long,1752339600000,1752379200000,506.4,505.6,-0.10324,-0.18167,0.07842,time,-1.8287
XLMUSDT,short,1752382800000,1752415200000,0.43541,0.4528297142857143,-1.0,-1.02999,0.02999,sl,2.0126
XLMUSDT,short,1752426000000,1752429600000,0.45508,0.47801885714285713,-1.0,-1.02381,0.02381,sl,2.0203
XLMUSDT,short,1752440400000,1752451200000,0.47282,0.49492657142857144,-1.0,-1.02567,0.02567,sl,2.0463
ONDOUSDT,short,1752469200000,1752469200000,0.9474,0.9300085714285714,1.0,0.93463,0.06537,tp,3.1738
XLMUSDT,short,1752469200000,1752469200000,0.49942,0.4761528571428571,1.0,0.97424,0.02576,tp,1.8861
ONDOUSDT,short,1752483600000,1752501600000,0.946,0.9262771428571428,1.0,0.94244,0.05756,tp,2.1749
BCHUSDT,short,1752483600000,1752494400000,518.7,511.6542857142858,1.0,0.91166,0.08834,tp,2.1564
BCHUSDT,long,1752541200000,1752541200000,500.7,495.1714285714286,-1.0,-1.10868,0.10868,sl,-1.5996
BCHUSDT,long,1752555600000,1752566400000,491.9,485.6685714285714,-1.0,-1.09473,0.09473,sl,-2.6423
BCHUSDT,long,1752584400000,1752588000000,489.1,483.28000000000003,-1.0,-1.10085,0.10085,sl,-1.6574
ONDOUSDT,short,1752656400000,1752685200000,0.9508,0.9672914285714286,-1.0,-1.06919,0.06919,sl,1.6139
XLMUSDT,short,1752656400000,1752663600000,0.46995,0.4592897142857143,1.0,0.9471,0.0529,tp,1.5826
ONDOUSDT,short,1752699600000,1752703200000,0.973,0.9575628571428572,1.0,0.92436,0.07564,tp,2.0606
XLMUSDT,short,1752742800000,1752757200000,0.47499,0.4620908571428572,1.0,0.95581,0.04419,tp,1.8498
ONDOUSDT,short,1752757200000,1752757200000,1.0424,1.01798,1.0,0.94878,0.05122,tp,5.1167
ONDOUSDT,short,1752771600000,1752789600000,1.022,1.0517085714285714,-1.0,-1.04128,0.04128,sl,2.3519
ONDOUSDT,short,1752800400000,1752840000000,1.061,1.0589,0.05552,0.02186,0.03366,time,2.5275
BCHUSDT,short,1752800400000,1752811200000,508.2,515.3485714285714,-1.0,-1.08531,0.08531,sl,3.1691
XLMUSDT,short,1752800400000,1752800400000,0.5187,0.5002645714285715,1.0,0.96624,0.03376,tp,4.4628
XLMUSDT,short,1752814800000,1752822000000,0.49821,0.48020999999999997,1.0,0.96679,0.03321,tp,1.8054
BCHUSDT,short,1752829200000,1752847200000,529.9,518.4057142857142,1.0,0.94468,0.05532,tp,2.7912
ONDOUSDT,short,1753002000000,1753023600000,1.0596,1.0750885714285714,-1.0,-1.08209,0.08209,sl,2.4128
BCHUSDT,short,1753002000000,1753009200000,528.6,535.9371428571428,-1.0,-1.08645,0.08645,sl,1.5167
BCHUSDT,short,1753016400000,1753016400000,537.4,544.5571428571428,-1.0,-1.0901,0.0901,sl,2.7633
ONDOUSDT,short,1753030800000,1753030800000,1.0758,1.059977142857143,1.0,0.91841,0.08159,tp,2.5626
BCHUSDT,short,1753030800000,1753045200000,550.3,542.8171428571428,1.0,0.91175,0.08825,tp,2.9116
XLMUSDT,short,1753030800000,1753030800000,0.47402,0.46733514285714284,1.0,0.91491,0.08509,tp,2.2365
XLMUSDT,short,1753074000000,1753077600000,0.4774,0.48727514285714285,-1.0,-1.05801,0.05801,sl,1.9192
ONDOUSDT,short,1753088400000,1753099200000,1.0758,1.094597142857143,-1.0,-1.06868,0.06868,sl,1.5662
XLMUSDT,short,1753088400000,1753106400000,0.4843,0.49417514285714287,-1.0,-1.05885,0.05885,sl,2.2429
ONDOUSDT,long,1753160400000,1753164000000,1.0317,1.0617514285714287,1.0,0.9588,0.0412,tp,-1.936
BCHUSDT,long,1753160400000,1753160400000,511.6,519.3914285714286,1.0,0.92121,0.07879,tp,-2.0132
XLMUSDT,long,1753160400000,1753167600000,0.44944,0.4601157142857143,1.0,0.94948,0.05052,tp,-3.013
ONDOUSDT,long,1753174800000,1753207200000,1.0394,1.0687657142857143,1.0,0.95753,0.04247,tp,-1.6649
XLMUSDT,long,1753174800000,1753200000000,0.45752,0.4671457142857143,1.0,0.94296,0.05704,tp,-1.7332
