tag,market,event,side,tp_rr,sl_atr,max_hold,buffer_atr,cooldown_bars,symbol,trades,net_r,pf,win_rate
bos_short_rr1.5_sl1.0_h12_b0.1_cd10,crypto,bos,short,1.5,1.0,12,0.1,10,ADAUSDT,226,4.2091,1.0327338619051138,0.4867
bos_short_rr1.5_sl1.0_h12_b0.1_cd10,crypto,bos,short,1.5,1.0,12,0.1,10,AVAXUSDT,235,-34.0503,0.7831425896558972,0.4128
bos_short_rr1.5_sl1.0_h12_b0.1_cd10,crypto,bos,short,1.5,1.0,12,0.1,10,BTCUSDT,204,-66.0364,0.5764937362035507,0.3922
bos_short_rr1.5_sl1.0_h12_b0.1_cd10,crypto,bos,short,1.5,1.0,12,0.1,10,DOGEUSDT,224,-31.8093,0.7869899633301279,0.4062
bos_short_rr1.5_sl1.0_h12_b0.1_cd10,crypto,bos,short,1.5,1.0,12,0.1,10,DOTUSDT,221,-18.0042,0.8725801177934326,0.4299
bos_short_rr1.5_sl1.0_h12_b0.1_cd10,crypto,bos,short,1.5,1.0,12,0.1,10,ETHUSDT,206,-31.2268,0.7749124569853487,0.4029
bos_short_rr1.5_sl1.0_h12_b0.1_cd10,crypto,bos,short,1.5,1.0,12,0.1,10,LINKUSDT,213,-29.4355,0.7907960347513617,0.4085
bos_short_rr1.5_sl1.0_h12_b0.1_cd10,crypto,bos,short,1.5,1.0,12,0.1,10,LTCUSDT,213,-75.5392,0.5373631872180069,0.3427
bos_short_rr1.5_sl1.0_h12_b0.1_cd10,crypto,bos,short,1.5,1.0,12,0.1,10,ONDOUSDT,210,-12.808,0.9025032637199937,0.4333
bos_short_rr1.5_sl1.0_h12_b0.1_cd10,crypto,bos,short,1.5,1.0,12,0.1,10,SOLUSDT,222,-55.9697,0.6531338351568126,0.3649
bos_short_rr1.5_sl1.0_h12_b0.1_cd10,crypto,bos,short,1.5,1.0,12,0.1,10,SUIUSDT,216,-27.4163,0.8055152590394052,0.412
bos_short_rr1.5_sl1.0_h12_b0.1_cd10,crypto,bos,short,1.5,1.0,12,0.1,10,XRPUSDT,206,-12.5028,0.903116246091616,0.4515
bos_short_rr1.5_sl1.0_h12_b0.1_cd20,crypto,bos,short,1.5,1.0,12,0.1,20,ADAUSDT,186,-1.3179,0.9878947479611023,0.4785
bos_short_rr1.5_sl1.0_h12_b0.1_cd20,crypto,bos,short,1.5,1.0,12,0.1,20,AVAXUSDT,184,-12.2626,0.8952126791410628,0.4457
bos_short_rr1.5_sl1.0_h12_b0.1_cd20,crypto,bos,short,1.5,1.0,12,0.1,20,BTCUSDT,175,-52.2084,0.6055611463178031,0.4114
bos_short_rr1.5_sl1.0_h12_b0.1_cd20,crypto,bos,short,1.5,1.0,12,0.1,20,DOGEUSDT,182,-27.2345,0.7769643832565026,0.4066
