market,event,side,tp_rr,sl_atr,max_hold,buffer_atr,cooldown_bars,trades,net_r,pf,win_rate,symbols,positive_symbols,top_symbol_frac,coverage_ok_symbols,cost_ok,cost_skipped_symbols,cost_reasons,preflight_go,preflight_reasons
crypto,bos,short,1.5,1.0,12,0.1,10,2596,-390.5894,0.775215857046757,0.4122,12,1,0.0905,12,True,0,,False,low_quality_pf_0.78<0.80
crypto,bos,short,1.5,1.0,12,0.1,20,2100,-330.7776,0.7661563137405052,0.411,12,0,0.0886,12,True,0,,False,low_quality_pf_0.77<0.80
crypto,bos,short,1.5,1.0,12,0.2,10,2457,-411.6786,0.7530687466672744,0.4037,12,0,0.0899,12,True,0,,False,low_quality_pf_0.75<0.80
crypto,bos,short,1.5,1.0,12,0.2,20,2009,-359.1793,0.7393229277609286,0.4032,12,0,0.0886,12,True,0,,False,low_quality_pf_0.74<0.80
crypto,bos,short,1.5,1.0,24,0.1,10,2570,-362.7857,0.7943113274064539,0.4125,12,1,0.0903,12,True,0,,False,low_quality_pf_0.79<0.80
crypto,bos,short,1.5,1.0,24,0.1,20,2087,-320.5081,0.7785181434664469,0.4087,12,0,0.0886,12,True,0,,False,low_quality_pf_0.78<0.80
crypto,bos,short,1.5,1.0,24,0.2,10,2436,-382.8412,0.7737525269117168,0.4064,12,1,0.0899,12,True,0,,False,low_quality_pf_0.77<0.80
crypto,bos,short,1.5,1.0,24,0.2,20,1999,-337.0623,0.7598754860375949,0.4027,12,1,0.0885,12,True,0,,False,low_quality_pf_0.76<0.80
crypto,bos,short,1.5,1.3,12,0.1,10,2477,-339.2376,0.7765847667061266,0.4057,12,0,0.0896,12,True,0,,False,low_quality_pf_0.78<0.80
crypto,bos,short,1.5,1.3,12,0.1,20,2022,-263.6291,0.785410658801213,0.4095,12,1,0.089,12,True,0,,False,low_quality_pf_0.79<0.80
crypto,bos,short,1.5,1.3,12,0.2,10,2346,-337.775,0.7669512238622628,0.4024,12,0,0.0891,12,True,0,,False,low_quality_pf_0.77<0.80
crypto,bos,short,1.5,1.3,12,0.2,20,1944,-276.3683,0.7687084946694334,0.4069,12,0,0.089,12,True,0,,False,low_quality_pf_0.77<0.80
crypto,bos,short,1.5,1.3,24,0.1,10,2416,-350.0695,0.7824809927684317,0.3974,12,0,0.0902,12,True,0,,False,low_quality_pf_0.78<0.80
crypto,bos,short,1.5,1.3,24,0.1,20,1983,-274.7581,0.7914905772076437,0.4009,12,1,0.0883,12,True,0,,False,low_quality_pf_0.79<0.80
crypto,bos,short,1.5,1.3,24,0.2,10,2292,-337.5438,0.7796146139316418,0.3957,12,0,0.0899,12,True,0,,False,low_quality_pf_0.78<0.80
crypto,bos,short,1.5,1.3,24,0.2,20,1912,-306.3396,0.7626154029747116,0.3907,12,0,0.0889,12,True,0,,False,low_quality_pf_0.76<0.80
