symbol,ts,event,direction,trend,side,level,r,entry,stop,tp,exit_ts,tag,tp_rr,sl_atr,max_hold,buffer_atr,cooldown_bars
BTCUSDT,1741093200000,bos,down,range,short,82968.0,-1.1154,82775.5,83923.22857142857,81053.90714285715,1741096800000,bos_short_rr1.5_sl1.0_h12_b0.1_cd10,1.5,1.0,12,0.1,10
BTCUSDT,1741266000000,bos,down,range,short,89961.3,-1.1533,89522.1,90456.2642857143,88120.85357142857,1741273200000,bos_short_rr1.5_sl1.0_h12_b0.1_cd10,1.5,1.0,12,0.1,10
BTCUSDT,1741381200000,bos,down,down,short,86530.4,0.1397,86273.2,87872.39285714286,83874.41071428571,1741424400000,bos_short_rr1.5_sl1.0_h12_b0.1_cd10,1.5,1.0,12,0.1,10
BTCUSDT,1741507200000,bos,down,range,short,85813.3,1.0988,85750.9,86092.86428571428,85237.95357142856,1741514400000,bos_short_rr1.5_sl1.0_h12_b0.1_cd10,1.5,1.0,12,0.1,10
BTCUSDT,1741554000000,bos,down,down,short,82151.4,1.3548,81774.2,82675.4,80422.4,1741557600000,bos_short_rr1.5_sl1.0_h12_b0.1_cd10,1.5,1.0,12,0.1,10
BTCUSDT,1741744800000,bos,down,range,short,82518.8,-1.1154,82402.1,83544.55714285714,80688.4142857143,1741780800000,bos_short_rr1.5_sl1.0_h12_b0.1_cd10,1.5,1.0,12,0.1,10
BTCUSDT,1741842000000,bos,down,range,short,83282.0,-1.1985,83125.6,83795.74285714286,82120.38571428572,1741867200000,bos_short_rr1.5_sl1.0_h12_b0.1_cd10,1.5,1.0,12,0.1,10
BTCUSDT,1742022000000,bos,down,range,short,83920.0,-1.3271,83811.9,84221.87857142856,83196.93214285714,1742040000000,bos_short_rr1.5_sl1.0_h12_b0.1_cd10,1.5,1.0,12,0.1,10
BTCUSDT,1742086800000,bos,down,range,short,84061.1,-1.5242,83845.4,84101.29999999999,83461.55,1742090400000,bos_short_rr1.5_sl1.0_h12_b0.1_cd10,1.5,1.0,12,0.1,10
BTCUSDT,1742302800000,bos,down,down,short,82200.1,-1.2278,81319.9,81891.14285714286,80463.03571428571,1742306400000,bos_short_rr1.5_sl1.0_h12_b0.1_cd10,1.5,1.0,12,0.1,10
