entry_ts,exit_ts,r,side,symbol,setup,tp_rr,sl_atr,max_hold
1776240000.0,1776243600.0,-1.2782,long,EURUSD,session_range_fade,1.5,1.6,24
1776254400.0,1776304800.0,1.2681,long,EURUSD,session_range_fade,1.5,1.6,24
1776412800.0,1776427200.0,-1.3379,short,EURUSD,session_range_fade,1.5,1.6,24
1776834000.0,1776870000.0,1.3538,short,EURUSD,session_range_fade,1.5,1.6,24
1777014000.0,1777028400.0,-1.2882,short,EURUSD,session_range_fade,1.5,1.6,24
1777258800.0,1777273200.0,-1.2492,short,EURUSD,session_range_fade,1.5,1.6,24
1777284000.0,1777309200.0,1.2537,short,EURUSD,session_range_fade,1.5,1.6,24
1777312800.0,1777356000.0,-1.2189,long,EURUSD,session_range_fade,1.5,1.6,24
1777456800.0,1777467600.0,1.1843,short,EURUSD,session_range_fade,1.5,1.6,24
1777971600.0,1777986000.0,-1.2917,short,EURUSD,session_range_fade,1.5,1.6,24
1777989600.0,1778022000.0,-1.2526,short,EURUSD,session_range_fade,1.5,1.6,24
1778122800.0,1778140800.0,1.2373,long,EURUSD,session_range_fade,1.5,1.6,24
1778223600.0,1778230800.0,1.2486,long,EURUSD,session_range_fade,1.5,1.6,24
1778464800.0,1778504400.0,1.2728,long,EURUSD,session_range_fade,1.5,1.6,24
1778540400.0,1778547600.0,-1.2751,long,EURUSD,session_range_fade,1.5,1.6,24
1778551200.0,1778569200.0,-1.2782,long,EURUSD,session_range_fade,1.5,1.6,24
1778623200.0,1778652000.0,-1.2512,long,EURUSD,session_range_fade,1.5,1.6,24
1778709600.0,1778760000.0,1.2197,short,EURUSD,session_range_fade,1.5,1.6,24
1779130800.0,1779181200.0,1.3388,short,EURUSD,session_range_fade,1.5,1.6,24
1779246000.0,1779264000.0,-1.2599,long,EURUSD,session_range_fade,1.5,1.6,24
1779271200.0,1779285600.0,-1.2487,short,EURUSD,session_range_fade,1.5,1.6,24
1779339600.0,1779346800.0,1.2031,short,EURUSD,session_range_fade,1.5,1.6,24
1779454800.0,1779458400.0,-1.2628,long,EURUSD,session_range_fade,1.5,1.6,24
1779462000.0,1779663600.0,1.2645,long,EURUSD,session_range_fade,1.5,1.6,24
1779714000.0,1779800400.0,1.2147,short,EURUSD,session_range_fade,1.5,1.6,24
1779811200.0,1779836400.0,1.2182,long,EURUSD,session_range_fade,1.5,1.6,24
1779840000.0,1779883200.0,1.1949,long,EURUSD,session_range_fade,1.5,1.6,24
1779890400.0,1779937200.0,-1.1801,long,EURUSD,session_range_fade,1.5,1.6,24
1780034400.0,1780038000.0,1.1636,short,EURUSD,session_range_fade,1.5,1.6,24
1780297200.0,1780311600.0,-1.3084,long,EURUSD,session_range_fade,1.5,1.6,24
1780315200.0,1780318800.0,-1.3042,long,EURUSD,session_range_fade,1.5,1.6,24
1780416000.0,1780423200.0,-1.2648,long,EURUSD,session_range_fade,1.5,1.6,24
1780470000.0,1780488000.0,-1.3222,long,EURUSD,session_range_fade,1.5,1.6,24
1780545600.0,1780563600.0,-1.3377,short,EURUSD,session_range_fade,1.5,1.6,24
1780639200.0,1780642800.0,-1.4914,short,EURUSD,session_range_fade,1.5,1.6,24
1780970400.0,1780984800.0,-1.2916,short,EURUSD,session_range_fade,1.5,1.6,24
1780988400.0,1780992000.0,-1.3033,short,EURUSD,session_range_fade,1.5,1.6,24
1781078400.0,1781089200.0,-1.2993,long,EURUSD,session_range_fade,1.5,1.6,24
1781114400.0,1781128800.0,-1.1774,long,EURUSD,session_range_fade,1.5,1.6,24
1781164800.0,1781182800.0,-1.2391,long,EURUSD,session_range_fade,1.5,1.6,24
1781254800.0,1781478000.0,-1.1974,short,EURUSD,session_range_fade,1.5,1.6,24
1781532000.0,1781550000.0,-1.2307,long,EURUSD,session_range_fade,1.5,1.6,24
1781560800.0,1781600400.0,1.2571,long,EURUSD,session_range_fade,1.5,1.6,24
1781614800.0,1781622000.0,1.2618,long,EURUSD,session_range_fade,1.5,1.6,24
1781679600.0,1781694000.0,1.1413,short,EURUSD,session_range_fade,1.5,1.6,24
1781827200.0,1781841600.0,1.3267,short,EURUSD,session_range_fade,1.5,1.6,24
1782086400.0,1782115200.0,1.2689,short,EURUSD,session_range_fade,1.5,1.6,24
1782194400.0,1782198000.0,-1.2944,long,EURUSD,session_range_fade,1.5,1.6,24
1782367200.0,1782374400.0,-1.2624,short,EURUSD,session_range_fade,1.5,1.6,24
1782378000.0,1782385200.0,1.2515,short,EURUSD,session_range_fade,1.5,1.6,24
1782450000.0,1782460800.0,-1.2511,short,EURUSD,session_range_fade,1.5,1.6,24
1782709200.0,1782712800.0,1.232,long,EURUSD,session_range_fade,1.5,1.6,24
1782781200.0,1782792000.0,-1.2639,long,EURUSD,session_range_fade,1.5,1.6,24
1782964800.0,1782972000.0,-1.2957,short,EURUSD,session_range_fade,1.5,1.6,24
1776240000.0,1776243600.0,-1.2782,long,EURUSD,session_range_fade,1.5,1.6,48
1776254400.0,1776304800.0,1.2681,long,EURUSD,session_range_fade,1.5,1.6,48
1776412800.0,1776427200.0,-1.3379,short,EURUSD,session_range_fade,1.5,1.6,48
1776834000.0,1776870000.0,1.3538,short,EURUSD,session_range_fade,1.5,1.6,48
1777014000.0,1777028400.0,-1.2882,short,EURUSD,session_range_fade,1.5,1.6,48
1777258800.0,1777273200.0,-1.2492,short,EURUSD,session_range_fade,1.5,1.6,48
1777284000.0,1777309200.0,1.2537,short,EURUSD,session_range_fade,1.5,1.6,48
1777312800.0,1777356000.0,-1.2189,long,EURUSD,session_range_fade,1.5,1.6,48
1777456800.0,1777467600.0,1.1843,short,EURUSD,session_range_fade,1.5,1.6,48
1777971600.0,1777986000.0,-1.2917,short,EURUSD,session_range_fade,1.5,1.6,48
1777989600.0,1778022000.0,-1.2526,short,EURUSD,session_range_fade,1.5,1.6,48
1778122800.0,1778140800.0,1.2373,long,EURUSD,session_range_fade,1.5,1.6,48
1778223600.0,1778230800.0,1.2486,long,EURUSD,session_range_fade,1.5,1.6,48
1778464800.0,1778504400.0,1.2728,long,EURUSD,session_range_fade,1.5,1.6,48
1778540400.0,1778547600.0,-1.2751,long,EURUSD,session_range_fade,1.5,1.6,48
1778551200.0,1778569200.0,-1.2782,long,EURUSD,session_range_fade,1.5,1.6,48
1778623200.0,1778652000.0,-1.2512,long,EURUSD,session_range_fade,1.5,1.6,48
1778709600.0,1778760000.0,1.2197,short,EURUSD,session_range_fade,1.5,1.6,48
1779130800.0,1779181200.0,1.3388,short,EURUSD,session_range_fade,1.5,1.6,48
1779246000.0,1779264000.0,-1.2599,long,EURUSD,session_range_fade,1.5,1.6,48
1779271200.0,1779285600.0,-1.2487,short,EURUSD,session_range_fade,1.5,1.6,48
1779339600.0,1779346800.0,1.2031,short,EURUSD,session_range_fade,1.5,1.6,48
1779454800.0,1779458400.0,-1.2628,long,EURUSD,session_range_fade,1.5,1.6,48
1779462000.0,1779663600.0,1.2645,long,EURUSD,session_range_fade,1.5,1.6,48
1779714000.0,1779800400.0,1.2147,short,EURUSD,session_range_fade,1.5,1.6,48
1779811200.0,1779836400.0,1.2182,long,EURUSD,session_range_fade,1.5,1.6,48
1779840000.0,1779883200.0,1.1949,long,EURUSD,session_range_fade,1.5,1.6,48
1779890400.0,1779937200.0,-1.1801,long,EURUSD,session_range_fade,1.5,1.6,48
1780034400.0,1780038000.0,1.1636,short,EURUSD,session_range_fade,1.5,1.6,48
1780297200.0,1780311600.0,-1.3084,long,EURUSD,session_range_fade,1.5,1.6,48
1780315200.0,1780318800.0,-1.3042,long,EURUSD,session_range_fade,1.5,1.6,48
1780416000.0,1780423200.0,-1.2648,long,EURUSD,session_range_fade,1.5,1.6,48
1780470000.0,1780488000.0,-1.3222,long,EURUSD,session_range_fade,1.5,1.6,48
1780545600.0,1780563600.0,-1.3377,short,EURUSD,session_range_fade,1.5,1.6,48
1780639200.0,1780642800.0,-1.4914,short,EURUSD,session_range_fade,1.5,1.6,48
1780970400.0,1780984800.0,-1.2916,short,EURUSD,session_range_fade,1.5,1.6,48
1780988400.0,1780992000.0,-1.3033,short,EURUSD,session_range_fade,1.5,1.6,48
1781078400.0,1781089200.0,-1.2993,long,EURUSD,session_range_fade,1.5,1.6,48
1781114400.0,1781128800.0,-1.1774,long,EURUSD,session_range_fade,1.5,1.6,48
1781164800.0,1781182800.0,-1.2391,long,EURUSD,session_range_fade,1.5,1.6,48
1781254800.0,1781478000.0,-1.1974,short,EURUSD,session_range_fade,1.5,1.6,48
1781532000.0,1781550000.0,-1.2307,long,EURUSD,session_range_fade,1.5,1.6,48
1781560800.0,1781600400.0,1.2571,long,EURUSD,session_range_fade,1.5,1.6,48
1781614800.0,1781622000.0,1.2618,long,EURUSD,session_range_fade,1.5,1.6,48
1781679600.0,1781694000.0,1.1413,short,EURUSD,session_range_fade,1.5,1.6,48
1781827200.0,1781841600.0,1.3267,short,EURUSD,session_range_fade,1.5,1.6,48
1782086400.0,1782115200.0,1.2689,short,EURUSD,session_range_fade,1.5,1.6,48
1782194400.0,1782198000.0,-1.2944,long,EURUSD,session_range_fade,1.5,1.6,48
1782367200.0,1782374400.0,-1.2624,short,EURUSD,session_range_fade,1.5,1.6,48
1782378000.0,1782385200.0,1.2515,short,EURUSD,session_range_fade,1.5,1.6,48
1782450000.0,1782460800.0,-1.2511,short,EURUSD,session_range_fade,1.5,1.6,48
1782709200.0,1782712800.0,1.232,long,EURUSD,session_range_fade,1.5,1.6,48
1782781200.0,1782792000.0,-1.2639,long,EURUSD,session_range_fade,1.5,1.6,48
1782964800.0,1782972000.0,-1.2957,short,EURUSD,session_range_fade,1.5,1.6,48
1776240000.0,1776243600.0,-1.2782,long,EURUSD,session_range_fade,1.5,1.6,96
1776254400.0,1776304800.0,1.2681,long,EURUSD,session_range_fade,1.5,1.6,96
1776412800.0,1776427200.0,-1.3379,short,EURUSD,session_range_fade,1.5,1.6,96
1776834000.0,1776870000.0,1.3538,short,EURUSD,session_range_fade,1.5,1.6,96
1777014000.0,1777028400.0,-1.2882,short,EURUSD,session_range_fade,1.5,1.6,96
1777258800.0,1777273200.0,-1.2492,short,EURUSD,session_range_fade,1.5,1.6,96
1777284000.0,1777309200.0,1.2537,short,EURUSD,session_range_fade,1.5,1.6,96
1777312800.0,1777356000.0,-1.2189,long,EURUSD,session_range_fade,1.5,1.6,96
1777456800.0,1777467600.0,1.1843,short,EURUSD,session_range_fade,1.5,1.6,96
1777971600.0,1777986000.0,-1.2917,short,EURUSD,session_range_fade,1.5,1.6,96
1777989600.0,1778022000.0,-1.2526,short,EURUSD,session_range_fade,1.5,1.6,96
1778122800.0,1778140800.0,1.2373,long,EURUSD,session_range_fade,1.5,1.6,96
1778223600.0,1778230800.0,1.2486,long,EURUSD,session_range_fade,1.5,1.6,96
1778464800.0,1778504400.0,1.2728,long,EURUSD,session_range_fade,1.5,1.6,96
1778540400.0,1778547600.0,-1.2751,long,EURUSD,session_range_fade,1.5,1.6,96
1778551200.0,1778569200.0,-1.2782,long,EURUSD,session_range_fade,1.5,1.6,96
1778623200.0,1778652000.0,-1.2512,long,EURUSD,session_range_fade,1.5,1.6,96
1778709600.0,1778760000.0,1.2197,short,EURUSD,session_range_fade,1.5,1.6,96
1779130800.0,1779181200.0,1.3388,short,EURUSD,session_range_fade,1.5,1.6,96
1779246000.0,1779264000.0,-1.2599,long,EURUSD,session_range_fade,1.5,1.6,96
1779271200.0,1779285600.0,-1.2487,short,EURUSD,session_range_fade,1.5,1.6,96
1779339600.0,1779346800.0,1.2031,short,EURUSD,session_range_fade,1.5,1.6,96
1779454800.0,1779458400.0,-1.2628,long,EURUSD,session_range_fade,1.5,1.6,96
1779462000.0,1779663600.0,1.2645,long,EURUSD,session_range_fade,1.5,1.6,96
1779714000.0,1779800400.0,1.2147,short,EURUSD,session_range_fade,1.5,1.6,96
1779811200.0,1779836400.0,1.2182,long,EURUSD,session_range_fade,1.5,1.6,96
1779840000.0,1779883200.0,1.1949,long,EURUSD,session_range_fade,1.5,1.6,96
1779890400.0,1779937200.0,-1.1801,long,EURUSD,session_range_fade,1.5,1.6,96
1780034400.0,1780038000.0,1.1636,short,EURUSD,session_range_fade,1.5,1.6,96
1780297200.0,1780311600.0,-1.3084,long,EURUSD,session_range_fade,1.5,1.6,96
1780315200.0,1780318800.0,-1.3042,long,EURUSD,session_range_fade,1.5,1.6,96
1780416000.0,1780423200.0,-1.2648,long,EURUSD,session_range_fade,1.5,1.6,96
1780470000.0,1780488000.0,-1.3222,long,EURUSD,session_range_fade,1.5,1.6,96
1780545600.0,1780563600.0,-1.3377,short,EURUSD,session_range_fade,1.5,1.6,96
1780639200.0,1780642800.0,-1.4914,short,EURUSD,session_range_fade,1.5,1.6,96
1780970400.0,1780984800.0,-1.2916,short,EURUSD,session_range_fade,1.5,1.6,96
1780988400.0,1780992000.0,-1.3033,short,EURUSD,session_range_fade,1.5,1.6,96
1781078400.0,1781089200.0,-1.2993,long,EURUSD,session_range_fade,1.5,1.6,96
1781114400.0,1781128800.0,-1.1774,long,EURUSD,session_range_fade,1.5,1.6,96
1781164800.0,1781182800.0,-1.2391,long,EURUSD,session_range_fade,1.5,1.6,96
1781254800.0,1781478000.0,-1.1974,short,EURUSD,session_range_fade,1.5,1.6,96
1781532000.0,1781550000.0,-1.2307,long,EURUSD,session_range_fade,1.5,1.6,96
1781560800.0,1781600400.0,1.2571,long,EURUSD,session_range_fade,1.5,1.6,96
1781614800.0,1781622000.0,1.2618,long,EURUSD,session_range_fade,1.5,1.6,96
1781679600.0,1781694000.0,1.1413,short,EURUSD,session_range_fade,1.5,1.6,96
1781827200.0,1781841600.0,1.3267,short,EURUSD,session_range_fade,1.5,1.6,96
1782086400.0,1782115200.0,1.2689,short,EURUSD,session_range_fade,1.5,1.6,96
1782194400.0,1782198000.0,-1.2944,long,EURUSD,session_range_fade,1.5,1.6,96
1782367200.0,1782374400.0,-1.2624,short,EURUSD,session_range_fade,1.5,1.6,96
1782378000.0,1782385200.0,1.2515,short,EURUSD,session_range_fade,1.5,1.6,96
1782450000.0,1782460800.0,-1.2511,short,EURUSD,session_range_fade,1.5,1.6,96
1782709200.0,1782712800.0,1.232,long,EURUSD,session_range_fade,1.5,1.6,96
1782781200.0,1782792000.0,-1.2639,long,EURUSD,session_range_fade,1.5,1.6,96
1782964800.0,1782972000.0,-1.2957,short,EURUSD,session_range_fade,1.5,1.6,96
1776240000.0,1776247200.0,-1.2226,long,EURUSD,session_range_fade,1.5,2.0,24
1776254400.0,1776308400.0,1.3144,long,EURUSD,session_range_fade,1.5,2.0,24
1776412800.0,1776427200.0,-1.2703,short,EURUSD,session_range_fade,1.5,2.0,24
1776834000.0,1776884400.0,1.383,short,EURUSD,session_range_fade,1.5,2.0,24
1777014000.0,1777028400.0,-1.2305,short,EURUSD,session_range_fade,1.5,2.0,24
1777258800.0,1777276800.0,-1.1994,short,EURUSD,session_range_fade,1.5,2.0,24
1777284000.0,1777312800.0,1.303,short,EURUSD,session_range_fade,1.5,2.0,24
1777316400.0,1777356000.0,-1.1751,long,EURUSD,session_range_fade,1.5,2.0,24
1777456800.0,1777467600.0,1.2474,short,EURUSD,session_range_fade,1.5,2.0,24
1777971600.0,1777993200.0,-1.2333,short,EURUSD,session_range_fade,1.5,2.0,24
1777996800.0,1778022000.0,-1.1911,short,EURUSD,session_range_fade,1.5,2.0,24
1778122800.0,1778144400.0,1.2899,long,EURUSD,session_range_fade,1.5,2.0,24
1778223600.0,1778230800.0,1.2989,long,EURUSD,session_range_fade,1.5,2.0,24
1778464800.0,1778551200.0,-0.0392,long,EURUSD,session_range_fade,1.5,2.0,24
1778623200.0,1778652000.0,-1.201,long,EURUSD,session_range_fade,1.5,2.0,24
1778709600.0,1778763600.0,1.2757,short,EURUSD,session_range_fade,1.5,2.0,24
1779130800.0,1779184800.0,1.3711,short,EURUSD,session_range_fade,1.5,2.0,24
1779246000.0,1779264000.0,-1.2079,long,EURUSD,session_range_fade,1.5,2.0,24
1779271200.0,1779285600.0,-1.1989,short,EURUSD,session_range_fade,1.5,2.0,24
1779339600.0,1779346800.0,1.2625,short,EURUSD,session_range_fade,1.5,2.0,24
1779454800.0,1779663600.0,1.2897,long,EURUSD,session_range_fade,1.5,2.0,24
1779714000.0,1779800400.0,0.7449,short,EURUSD,session_range_fade,1.5,2.0,24
1779811200.0,1779861600.0,1.2745,long,EURUSD,session_range_fade,1.5,2.0,24
1779890400.0,1779937200.0,-1.144,long,EURUSD,session_range_fade,1.5,2.0,24
1780034400.0,1780041600.0,1.2309,short,EURUSD,session_range_fade,1.5,2.0,24
1780297200.0,1780311600.0,-1.2468,long,EURUSD,session_range_fade,1.5,2.0,24
1780315200.0,1780318800.0,-1.2434,long,EURUSD,session_range_fade,1.5,2.0,24
1780416000.0,1780473600.0,-1.2119,long,EURUSD,session_range_fade,1.5,2.0,24
1780545600.0,1780563600.0,-1.2702,short,EURUSD,session_range_fade,1.5,2.0,24
1780639200.0,1780642800.0,-1.3931,short,EURUSD,session_range_fade,1.5,2.0,24
1780970400.0,1780995600.0,-1.2333,short,EURUSD,session_range_fade,1.5,2.0,24
1781078400.0,1781089200.0,-1.2394,long,EURUSD,session_range_fade,1.5,2.0,24
1781114400.0,1781172000.0,-1.1419,long,EURUSD,session_range_fade,1.5,2.0,24
1781254800.0,1781478000.0,-1.1579,short,EURUSD,session_range_fade,1.5,2.0,24
