entry_ts,exit_ts,r,side,symbol,setup,tp_rr,sl_atr,max_hold
1702569600.0,1702627200.0,1.3252,short,EURUSD,round_level_sweep,1.5,1.0,48
1703541600.0,1703559600.0,1.1624,long,EURUSD,round_level_sweep,1.5,1.0,48
1728374400.0,1728385200.0,1.0155,short,EURUSD,round_level_sweep,1.5,1.0,48
1702569600.0,1702627200.0,1.3252,short,EURUSD,round_level_sweep,1.5,1.0,96
1703541600.0,1703559600.0,1.1624,long,EURUSD,round_level_sweep,1.5,1.0,96
1728374400.0,1728385200.0,1.0155,short,EURUSD,round_level_sweep,1.5,1.0,96
1702569600.0,1702627200.0,1.3252,short,EURUSD,round_level_sweep,1.5,1.0,168
1703541600.0,1703559600.0,1.1624,long,EURUSD,round_level_sweep,1.5,1.0,168
1728374400.0,1728385200.0,1.0155,short,EURUSD,round_level_sweep,1.5,1.0,168
1702569600.0,1702627200.0,1.3655,short,EURUSD,round_level_sweep,1.5,1.3,48
1703541600.0,1703606400.0,1.2403,long,EURUSD,round_level_sweep,1.5,1.3,48
1728374400.0,1728385200.0,1.1273,short,EURUSD,round_level_sweep,1.5,1.3,48
1702569600.0,1702627200.0,1.3655,short,EURUSD,round_level_sweep,1.5,1.3,96
1703541600.0,1703606400.0,1.2403,long,EURUSD,round_level_sweep,1.5,1.3,96
1728374400.0,1728385200.0,1.1273,short,EURUSD,round_level_sweep,1.5,1.3,96
1702569600.0,1702627200.0,1.3655,short,EURUSD,round_level_sweep,1.5,1.3,168
1703541600.0,1703606400.0,1.2403,long,EURUSD,round_level_sweep,1.5,1.3,168
1728374400.0,1728385200.0,1.1273,short,EURUSD,round_level_sweep,1.5,1.3,168
1702569600.0,1702627200.0,1.3907,short,EURUSD,round_level_sweep,1.5,1.6,48
1703541600.0,1703613600.0,1.289,long,EURUSD,round_level_sweep,1.5,1.6,48
1728374400.0,1728388800.0,1.1972,short,EURUSD,round_level_sweep,1.5,1.6,48
1702569600.0,1702627200.0,1.3907,short,EURUSD,round_level_sweep,1.5,1.6,96
1703541600.0,1703613600.0,1.289,long,EURUSD,round_level_sweep,1.5,1.6,96
1728374400.0,1728388800.0,1.1972,short,EURUSD,round_level_sweep,1.5,1.6,96
1702569600.0,1702627200.0,1.3907,short,EURUSD,round_level_sweep,1.5,1.6,168
1703541600.0,1703613600.0,1.289,long,EURUSD,round_level_sweep,1.5,1.6,168
1728374400.0,1728388800.0,1.1972,short,EURUSD,round_level_sweep,1.5,1.6,168
1702569600.0,1702627200.0,1.8252,short,EURUSD,round_level_sweep,2.0,1.0,48
1703541600.0,1703606400.0,1.6624,long,EURUSD,round_level_sweep,2.0,1.0,48
1728374400.0,1728385200.0,1.5155,short,EURUSD,round_level_sweep,2.0,1.0,48
1702569600.0,1702627200.0,1.8252,short,EURUSD,round_level_sweep,2.0,1.0,96
1703541600.0,1703606400.0,1.6624,long,EURUSD,round_level_sweep,2.0,1.0,96
1728374400.0,1728385200.0,1.5155,short,EURUSD,round_level_sweep,2.0,1.0,96
1702569600.0,1702627200.0,1.8252,short,EURUSD,round_level_sweep,2.0,1.0,168
1703541600.0,1703606400.0,1.6624,long,EURUSD,round_level_sweep,2.0,1.0,168
1728374400.0,1728385200.0,1.5155,short,EURUSD,round_level_sweep,2.0,1.0,168
1702569600.0,1702641600.0,1.8655,short,EURUSD,round_level_sweep,2.0,1.3,48
1703541600.0,1703613600.0,1.7403,long,EURUSD,round_level_sweep,2.0,1.3,48
1728374400.0,1728388800.0,1.6273,short,EURUSD,round_level_sweep,2.0,1.3,48
1702569600.0,1702641600.0,1.8655,short,EURUSD,round_level_sweep,2.0,1.3,96
1703541600.0,1703613600.0,1.7403,long,EURUSD,round_level_sweep,2.0,1.3,96
1728374400.0,1728388800.0,1.6273,short,EURUSD,round_level_sweep,2.0,1.3,96
1702569600.0,1702641600.0,1.8655,short,EURUSD,round_level_sweep,2.0,1.3,168
1703541600.0,1703613600.0,1.7403,long,EURUSD,round_level_sweep,2.0,1.3,168
1728374400.0,1728388800.0,1.6273,short,EURUSD,round_level_sweep,2.0,1.3,168
1702569600.0,1702645200.0,1.8907,short,EURUSD,round_level_sweep,2.0,1.6,48
1703541600.0,1703620800.0,1.789,long,EURUSD,round_level_sweep,2.0,1.6,48
1728374400.0,1728396000.0,1.6972,short,EURUSD,round_level_sweep,2.0,1.6,48
1702569600.0,1702645200.0,1.8907,short,EURUSD,round_level_sweep,2.0,1.6,96
1703541600.0,1703620800.0,1.789,long,EURUSD,round_level_sweep,2.0,1.6,96
1728374400.0,1728396000.0,1.6972,short,EURUSD,round_level_sweep,2.0,1.6,96
1702569600.0,1702645200.0,1.8907,short,EURUSD,round_level_sweep,2.0,1.6,168
1703541600.0,1703620800.0,1.789,long,EURUSD,round_level_sweep,2.0,1.6,168
1728374400.0,1728396000.0,1.6972,short,EURUSD,round_level_sweep,2.0,1.6,168
1702569600.0,1702641600.0,2.3252,short,EURUSD,round_level_sweep,2.5,1.0,48
1703541600.0,1703613600.0,2.1624,long,EURUSD,round_level_sweep,2.5,1.0,48
1728374400.0,1728388800.0,2.0155,short,EURUSD,round_level_sweep,2.5,1.0,48
1702569600.0,1702641600.0,2.3252,short,EURUSD,round_level_sweep,2.5,1.0,96
1703541600.0,1703613600.0,2.1624,long,EURUSD,round_level_sweep,2.5,1.0,96
1728374400.0,1728388800.0,2.0155,short,EURUSD,round_level_sweep,2.5,1.0,96
1702569600.0,1702641600.0,2.3252,short,EURUSD,round_level_sweep,2.5,1.0,168
1703541600.0,1703613600.0,2.1624,long,EURUSD,round_level_sweep,2.5,1.0,168
1728374400.0,1728388800.0,2.0155,short,EURUSD,round_level_sweep,2.5,1.0,168
1702569600.0,1702645200.0,2.3655,short,EURUSD,round_level_sweep,2.5,1.3,48
1703541600.0,1703628000.0,2.2403,long,EURUSD,round_level_sweep,2.5,1.3,48
1728374400.0,1728396000.0,2.1273,short,EURUSD,round_level_sweep,2.5,1.3,48
1702569600.0,1702645200.0,2.3655,short,EURUSD,round_level_sweep,2.5,1.3,96
1703541600.0,1703628000.0,2.2403,long,EURUSD,round_level_sweep,2.5,1.3,96
1728374400.0,1728396000.0,2.1273,short,EURUSD,round_level_sweep,2.5,1.3,96
1702569600.0,1702645200.0,2.3655,short,EURUSD,round_level_sweep,2.5,1.3,168
1703541600.0,1703628000.0,2.2403,long,EURUSD,round_level_sweep,2.5,1.3,168
1728374400.0,1728396000.0,2.1273,short,EURUSD,round_level_sweep,2.5,1.3,168
1702569600.0,1702645200.0,2.3907,short,EURUSD,round_level_sweep,2.5,1.6,48
1703541600.0,1703664000.0,2.289,long,EURUSD,round_level_sweep,2.5,1.6,48
1728374400.0,1728399600.0,2.1972,short,EURUSD,round_level_sweep,2.5,1.6,48
1702569600.0,1702645200.0,2.3907,short,EURUSD,round_level_sweep,2.5,1.6,96
1703541600.0,1703664000.0,2.289,long,EURUSD,round_level_sweep,2.5,1.6,96
1728374400.0,1728399600.0,2.1972,short,EURUSD,round_level_sweep,2.5,1.6,96
1702569600.0,1702645200.0,2.3907,short,EURUSD,round_level_sweep,2.5,1.6,168
1703541600.0,1703664000.0,2.289,long,EURUSD,round_level_sweep,2.5,1.6,168
1728374400.0,1728399600.0,2.1972,short,EURUSD,round_level_sweep,2.5,1.6,168
1724133600.0,1724137200.0,-1.527,short,GBPUSD,round_level_sweep,1.5,1.0,48
1724140800.0,1724144400.0,-1.4737,short,GBPUSD,round_level_sweep,1.5,1.0,48
1729861200.0,1729872000.0,1.0662,short,GBPUSD,round_level_sweep,1.5,1.0,48
1730124000.0,1730134800.0,1.185,short,GBPUSD,round_level_sweep,1.5,1.0,48
1730214000.0,1730246400.0,-1.301,short,GBPUSD,round_level_sweep,1.5,1.0,48
1730804400.0,1730815200.0,-1.4438,short,GBPUSD,round_level_sweep,1.5,1.0,48
1742284800.0,1742288400.0,1.0043,short,GBPUSD,round_level_sweep,1.5,1.0,48
1742317200.0,1742364000.0,1.2641,short,GBPUSD,round_level_sweep,1.5,1.0,48
1724133600.0,1724137200.0,-1.527,short,GBPUSD,round_level_sweep,1.5,1.0,96
1724140800.0,1724144400.0,-1.4737,short,GBPUSD,round_level_sweep,1.5,1.0,96
1729861200.0,1729872000.0,1.0662,short,GBPUSD,round_level_sweep,1.5,1.0,96
1730124000.0,1730134800.0,1.185,short,GBPUSD,round_level_sweep,1.5,1.0,96
1730214000.0,1730246400.0,-1.301,short,GBPUSD,round_level_sweep,1.5,1.0,96
1730804400.0,1730815200.0,-1.4438,short,GBPUSD,round_level_sweep,1.5,1.0,96
1742284800.0,1742288400.0,1.0043,short,GBPUSD,round_level_sweep,1.5,1.0,96
1742317200.0,1742364000.0,1.2641,short,GBPUSD,round_level_sweep,1.5,1.0,96
1724133600.0,1724137200.0,-1.527,short,GBPUSD,round_level_sweep,1.5,1.0,168
1724140800.0,1724144400.0,-1.4737,short,GBPUSD,round_level_sweep,1.5,1.0,168
1729861200.0,1729872000.0,1.0662,short,GBPUSD,round_level_sweep,1.5,1.0,168
1730124000.0,1730134800.0,1.185,short,GBPUSD,round_level_sweep,1.5,1.0,168
