entry_ts,exit_ts,r,side,symbol,setup,tp_rr,sl_atr,max_hold
1722441600.0,1722484800.0,1.2035,short,GBPUSD,session_range_fade,1.5,1.0,12
1723132800.0,1723435200.0,-1.1909,short,GBPUSD,session_range_fade,1.5,1.0,12
1723737600.0,1723780800.0,-1.2028,short,GBPUSD,session_range_fade,1.5,1.0,12
1724817600.0,1724846400.0,-1.2552,long,GBPUSD,session_range_fade,1.5,1.0,12
1725292800.0,1725336000.0,-1.287,long,GBPUSD,session_range_fade,1.5,1.0,12
1725393600.0,1725451200.0,1.1858,long,GBPUSD,session_range_fade,1.5,1.0,12
1725494400.0,1725523200.0,-1.2701,short,GBPUSD,session_range_fade,1.5,1.0,12
1727712000.0,1727755200.0,-1.2246,long,GBPUSD,session_range_fade,1.5,1.0,12
1728446400.0,1728561600.0,1.2562,short,GBPUSD,session_range_fade,1.5,1.0,12
1728633600.0,1728964800.0,-0.6984,short,GBPUSD,session_range_fade,1.5,1.0,12
1728979200.0,1728993600.0,-1.2863,short,GBPUSD,session_range_fade,1.5,1.0,12
1729512000.0,1729598400.0,-1.2434,long,GBPUSD,session_range_fade,1.5,1.0,12
1730102400.0,1730232000.0,-1.2875,short,GBPUSD,session_range_fade,1.5,1.0,12
1731960000.0,1732003200.0,1.3024,short,GBPUSD,session_range_fade,1.5,1.0,12
1732017600.0,1732075200.0,-1.189,short,GBPUSD,session_range_fade,1.5,1.0,12
1732089600.0,1732204800.0,1.2937,short,GBPUSD,session_range_fade,1.5,1.0,12
1732608000.0,1732708800.0,-1.1478,short,GBPUSD,session_range_fade,1.5,1.0,12
1733083200.0,1733140800.0,1.2683,short,GBPUSD,session_range_fade,1.5,1.0,12
1733299200.0,1733385600.0,1.3412,long,GBPUSD,session_range_fade,1.5,1.0,12
1733745600.0,1733774400.0,1.305,short,GBPUSD,session_range_fade,1.5,1.0,12
1733889600.0,1733918400.0,1.2905,long,GBPUSD,session_range_fade,1.5,1.0,12
1733932800.0,1734004800.0,-1.1976,long,GBPUSD,session_range_fade,1.5,1.0,12
1735272000.0,1735286400.0,-1.3244,short,GBPUSD,session_range_fade,1.5,1.0,12
1735560000.0,1735574400.0,-1.21,short,GBPUSD,session_range_fade,1.5,1.0,12
1735632000.0,1735804800.0,1.3202,short,GBPUSD,session_range_fade,1.5,1.0,12
1736913600.0,1736942400.0,-1.1165,short,GBPUSD,session_range_fade,1.5,1.0,12
1737345600.0,1737374400.0,-1.1716,short,GBPUSD,session_range_fade,1.5,1.0,12
1738051200.0,1738252800.0,0.6512,long,GBPUSD,session_range_fade,1.5,1.0,12
1738267200.0,1738324800.0,-1.1889,long,GBPUSD,session_range_fade,1.5,1.0,12
1738339200.0,1738526400.0,-1.1536,long,GBPUSD,session_range_fade,1.5,1.0,12
1739304000.0,1739361600.0,1.2937,short,GBPUSD,session_range_fade,1.5,1.0,12
1739390400.0,1739419200.0,-1.1696,short,GBPUSD,session_range_fade,1.5,1.0,12
1739880000.0,1739952000.0,1.2542,short,GBPUSD,session_range_fade,1.5,1.0,12
1739966400.0,1740052800.0,1.2879,long,GBPUSD,session_range_fade,1.5,1.0,12
1740124800.0,1740355200.0,1.2589,long,GBPUSD,session_range_fade,1.5,1.0,12
1740398400.0,1740484800.0,1.2932,long,GBPUSD,session_range_fade,1.5,1.0,12
1740528000.0,1740571200.0,1.3011,long,GBPUSD,session_range_fade,1.5,1.0,12
1740686400.0,1740758400.0,-1.2088,long,GBPUSD,session_range_fade,1.5,1.0,12
1741579200.0,1741608000.0,1.309,long,GBPUSD,session_range_fade,1.5,1.0,12
1741622400.0,1741680000.0,1.3183,long,GBPUSD,session_range_fade,1.5,1.0,12
1741694400.0,1741867200.0,-0.247,long,GBPUSD,session_range_fade,1.5,1.0,12
1741881600.0,1741953600.0,-1.2228,long,GBPUSD,session_range_fade,1.5,1.0,12
1742155200.0,1742198400.0,1.2412,long,GBPUSD,session_range_fade,1.5,1.0,12
1742212800.0,1742385600.0,0.4308,short,GBPUSD,session_range_fade,1.5,1.0,12
1742414400.0,1742443200.0,1.2527,short,GBPUSD,session_range_fade,1.5,1.0,12
1742457600.0,1742529600.0,-1.2131,long,GBPUSD,session_range_fade,1.5,1.0,12
1742846400.0,1742976000.0,-1.218,long,GBPUSD,session_range_fade,1.5,1.0,12
1743134400.0,1743422400.0,1.2876,short,GBPUSD,session_range_fade,1.5,1.0,12
1743595200.0,1743624000.0,-1.1871,short,GBPUSD,session_range_fade,1.5,1.0,12
1744848000.0,1744891200.0,1.297,long,GBPUSD,session_range_fade,1.5,1.0,12
1744905600.0,1745179200.0,1.2993,long,GBPUSD,session_range_fade,1.5,1.0,12
1745553600.0,1745841600.0,1.3282,long,GBPUSD,session_range_fade,1.5,1.0,12
1745884800.0,1746000000.0,1.3101,short,GBPUSD,session_range_fade,1.5,1.0,12
1746388800.0,1746432000.0,1.298,long,GBPUSD,session_range_fade,1.5,1.0,12
1746446400.0,1746518400.0,1.3195,long,GBPUSD,session_range_fade,1.5,1.0,12
1747339200.0,1747411200.0,1.3019,short,GBPUSD,session_range_fade,1.5,1.0,12
1747598400.0,1747627200.0,-1.2249,short,GBPUSD,session_range_fade,1.5,1.0,12
1747972800.0,1748001600.0,-1.1869,short,GBPUSD,session_range_fade,1.5,1.0,12
1748347200.0,1748404800.0,-1.2214,long,GBPUSD,session_range_fade,1.5,1.0,12
1748606400.0,1748836800.0,1.3054,long,GBPUSD,session_range_fade,1.5,1.0,12
