pair,mode,side,cost,segment,trades,net_r,pf,win_rate
EURJPY,standard_00_50,short,base,train,78,-1.0916,0.9822759406773331,0.3333
EURJPY,standard_00_50,short,base,validation,37,-23.8672,0.38771751148645356,0.1892
EURJPY,standard_00_50,short,base,holdout,55,-21.2185,0.6035970228442897,0.2727
EURJPY,standard_00_50,short,base,full,170,-46.1773,0.7003359574397668,0.2824
EURJPY,standard_00_50,short,stress,train,78,-10.4862,0.8457483035726107,0.3333
EURJPY,standard_00_50,short,stress,validation,37,-31.445,0.30071562954495923,0.1892
EURJPY,standard_00_50,short,stress,holdout,55,-33.6979,0.46123185741100176,0.2727
EURJPY,standard_00_50,short,stress,full,170,-75.6291,0.5690519428791867,0.2824
EURJPY,standard_00_50,long,base,train,73,-14.841,0.7593664825284923,0.274
EURJPY,standard_00_50,long,base,validation,47,-7.1731,0.8242318059299191,0.3191
EURJPY,standard_00_50,long,base,holdout,32,-0.047,0.9981845361103493,0.375
EURJPY,standard_00_50,long,base,full,152,-22.0611,0.828148977903522,0.3092
EURJPY,standard_00_50,long,stress,train,73,-22.7354,0.6629690518086095,0.274
EURJPY,standard_00_50,long,stress,validation,47,-15.6215,0.665371408496865,0.3191
EURJPY,standard_00_50,long,stress,holdout,32,-6.7455,0.7737517860377131,0.375
EURJPY,standard_00_50,long,stress,full,152,-45.1024,0.6866922856769726,0.3092
EURJPY,big_figure_00,short,base,train,37,5.1016,1.1855768356341283,0.3784
EURJPY,big_figure_00,short,base,validation,18,-9.2542,0.48824323128649794,0.2222
EURJPY,big_figure_00,short,base,holdout,29,-18.1871,0.40956149947894177,0.2069
EURJPY,big_figure_00,short,base,full,84,-22.3397,0.7075051979407252,0.2857
EURJPY,big_figure_00,short,stress,train,37,0.5027,1.016490563933329,0.3784
EURJPY,big_figure_00,short,stress,validation,18,-12.7568,0.38684559629323445,0.2222
EURJPY,big_figure_00,short,stress,holdout,29,-24.9788,0.30623694618495306,0.2069
EURJPY,big_figure_00,short,stress,full,84,-37.2329,0.57347747442267,0.2857
EURJPY,big_figure_00,long,base,train,33,3.6749,1.1515160260903265,0.3636
EURJPY,big_figure_00,long,base,validation,24,-2.6965,0.8682584118701785,0.3333
EURJPY,big_figure_00,long,base,holdout,16,-0.163,0.9876563777905674,0.375
EURJPY,big_figure_00,long,base,full,73,0.8154,1.0140762159596046,0.3562
EURJPY,big_figure_00,long,stress,train,33,0.1245,1.0047116436256571,0.3636
EURJPY,big_figure_00,long,stress,validation,24,-7.1603,0.6946111359904463,0.3333
EURJPY,big_figure_00,long,stress,holdout,16,-3.6055,0.764996121833102,0.375
EURJPY,big_figure_00,long,stress,full,73,-10.6413,0.8368216620382226,0.3562
GBPJPY,standard_00_50,short,base,train,89,-13.0803,0.822335983744387,0.2921
GBPJPY,standard_00_50,short,base,validation,50,-14.0151,0.6906684735707176,0.28
GBPJPY,standard_00_50,short,base,holdout,60,-35.4654,0.4310534016093636,0.2
GBPJPY,standard_00_50,short,base,full,199,-62.5608,0.6548687651951517,0.2613
GBPJPY,standard_00_50,short,stress,train,89,-23.1338,0.7133578337228119,0.2921
GBPJPY,standard_00_50,short,stress,validation,50,-22.6922,0.5594885204403524,0.28
GBPJPY,standard_00_50,short,stress,holdout,60,-47.1084,0.34473103292869695,0.2
GBPJPY,standard_00_50,short,stress,full,199,-92.9344,0.5446874056886638,0.2613
GBPJPY,standard_00_50,long,base,train,111,-6.016,0.9318648486722366,0.3153
GBPJPY,standard_00_50,long,base,validation,41,-5.5022,0.8418453578614545,0.3171
GBPJPY,standard_00_50,long,base,holdout,45,-15.3707,0.632835043666036,0.2667
GBPJPY,standard_00_50,long,base,full,197,-26.8889,0.836985891943112,0.3046
GBPJPY,standard_00_50,long,stress,train,111,-17.6929,0.8166377349300197,0.3153
GBPJPY,standard_00_50,long,stress,validation,41,-12.1698,0.6904642603703808,0.3171
GBPJPY,standard_00_50,long,stress,holdout,45,-23.6183,0.5056068056174813,0.2667
GBPJPY,standard_00_50,long,stress,full,197,-53.481,0.708677574530137,0.3046
GBPJPY,big_figure_00,short,base,train,46,-8.2195,0.7863455589924878,0.2826
GBPJPY,big_figure_00,short,base,validation,25,-10.3768,0.5678961964804744,0.24
GBPJPY,big_figure_00,short,base,holdout,32,-27.1248,0.2511140192489274,0.125
GBPJPY,big_figure_00,short,base,full,103,-45.7211,0.5367941904123162,0.2233
GBPJPY,big_figure_00,short,stress,train,46,-13.3657,0.6826628805056235,0.2826
GBPJPY,big_figure_00,short,stress,validation,25,-14.6284,0.46529717084582206,0.24
GBPJPY,big_figure_00,short,stress,holdout,32,-33.2078,0.20365369950264026,0.125
GBPJPY,big_figure_00,short,stress,full,103,-61.2019,0.449506865209824,0.2233
GBPJPY,big_figure_00,long,base,train,62,-2.1501,0.9564338179423535,0.3226
GBPJPY,big_figure_00,long,base,validation,21,-5.4682,0.7072274900547724,0.2857
GBPJPY,big_figure_00,long,base,holdout,22,-13.7874,0.39415484262192785,0.1818
GBPJPY,big_figure_00,long,base,full,105,-21.4057,0.7642209080364942,0.2857
GBPJPY,big_figure_00,long,stress,train,62,-8.9166,0.8356508275887493,0.3226
GBPJPY,big_figure_00,long,stress,validation,21,-9.1135,0.568671345881707,0.2857
GBPJPY,big_figure_00,long,stress,holdout,22,-17.6459,0.3194531219869644,0.1818
GBPJPY,big_figure_00,long,stress,full,105,-35.676,0.6478597282254108,0.2857
