entry_ts,exit_ts,r,side,pair,mode,side_sleeve,cost
1721912400.0,1721919600.0,-1.0785,short,EURJPY,standard_00_50,short,base
1723453200.0,1723460400.0,-1.213,short,EURJPY,standard_00_50,short,base
1723640400.0,1723723200.0,-1.1168,short,EURJPY,standard_00_50,short,base
1724122800.0,1724162400.0,2.3556,short,EURJPY,standard_00_50,short,base
1724230800.0,1724248800.0,-1.1617,short,EURJPY,standard_00_50,short,base
1725037200.0,1725231600.0,-1.1806,short,EURJPY,standard_00_50,short,base
1725544800.0,1725598800.0,2.3823,short,EURJPY,standard_00_50,short,base
1726124400.0,1726149600.0,-1.1554,short,EURJPY,standard_00_50,short,base
1726732800.0,1726740000.0,-1.098,short,EURJPY,standard_00_50,short,base
1726830000.0,1727074800.0,2.3967,short,EURJPY,standard_00_50,short,base
1727164800.0,1727200800.0,2.3396,short,EURJPY,standard_00_50,short,base
1727251200.0,1727254800.0,-1.1849,short,EURJPY,standard_00_50,short,base
1727388000.0,1727395200.0,-1.1476,short,EURJPY,standard_00_50,short,base
1727398800.0,1727463600.0,2.3552,short,EURJPY,standard_00_50,short,base
1727719200.0,1727740800.0,-1.1123,short,EURJPY,standard_00_50,short,base
1727744400.0,1727751600.0,-1.153,short,EURJPY,standard_00_50,short,base
1727881200.0,1727895600.0,-1.1061,short,EURJPY,standard_00_50,short,base
1728046800.0,1728057600.0,-1.1473,short,EURJPY,standard_00_50,short,base
1728468000.0,1728478800.0,-1.1911,short,EURJPY,standard_00_50,short,base
1728532800.0,1728543600.0,2.2034,short,EURJPY,standard_00_50,short,base
1728644400.0,1728648000.0,-1.2433,short,EURJPY,standard_00_50,short,base
1728907200.0,1728910800.0,-1.3033,short,EURJPY,standard_00_50,short,base
1729652400.0,1729656000.0,-1.2389,short,EURJPY,standard_00_50,short,base
1729663200.0,1729674000.0,-1.2273,short,EURJPY,standard_00_50,short,base
1729688400.0,1729742400.0,2.3377,short,EURJPY,standard_00_50,short,base
1729843200.0,1729861200.0,-1.22,short,EURJPY,standard_00_50,short,base
1730192400.0,1730210400.0,2.2677,short,EURJPY,standard_00_50,short,base
1730275200.0,1730278800.0,-1.2612,short,EURJPY,standard_00_50,short,base
1730300400.0,1730354400.0,2.3385,short,EURJPY,standard_00_50,short,base
1730462400.0,1730469600.0,-1.181,short,EURJPY,standard_00_50,short,base
1730822400.0,1730851200.0,2.2618,short,EURJPY,standard_00_50,short,base
1730912400.0,1731034800.0,2.375,short,EURJPY,standard_00_50,short,base
1731301200.0,1731315600.0,2.2964,short,EURJPY,standard_00_50,short,base
1731420000.0,1731430800.0,-1.196,short,EURJPY,standard_00_50,short,base
1731459600.0,1731477600.0,-1.2268,short,EURJPY,standard_00_50,short,base
1731628800.0,1731657600.0,2.3171,short,EURJPY,standard_00_50,short,base
1731945600.0,1732003200.0,2.3414,short,EURJPY,standard_00_50,short,base
1732514400.0,1732525200.0,-1.149,short,EURJPY,standard_00_50,short,base
1732752000.0,1732838400.0,2.3506,short,EURJPY,standard_00_50,short,base
1733400000.0,1733403600.0,-1.1549,short,EURJPY,standard_00_50,short,base
1733490000.0,1733716800.0,2.3443,short,EURJPY,standard_00_50,short,base
1733817600.0,1733900400.0,2.3094,short,EURJPY,standard_00_50,short,base
1733922000.0,1734012000.0,2.3806,short,EURJPY,standard_00_50,short,base
1734084000.0,1734091200.0,-1.1648,short,EURJPY,standard_00_50,short,base
1734314400.0,1734361200.0,-1.191,short,EURJPY,standard_00_50,short,base
1734526800.0,1734548400.0,2.2682,short,EURJPY,standard_00_50,short,base
1734922800.0,1735052400.0,-1.1991,short,EURJPY,standard_00_50,short,base
1735902000.0,1735934400.0,-1.2489,short,EURJPY,standard_00_50,short,base
1736805600.0,1736816400.0,-1.1214,short,EURJPY,standard_00_50,short,base
1737532800.0,1737536400.0,-1.2171,short,EURJPY,standard_00_50,short,base
1738656000.0,1738717200.0,2.3645,short,EURJPY,standard_00_50,short,base
1739347200.0,1739365200.0,-1.1584,short,EURJPY,standard_00_50,short,base
1741158000.0,1741165200.0,-1.0875,short,EURJPY,standard_00_50,short,base
1741672800.0,1741680000.0,-1.1435,short,EURJPY,standard_00_50,short,base
1741698000.0,1741762800.0,-1.1095,short,EURJPY,standard_00_50,short,base
1741766400.0,1741770000.0,-1.169,short,EURJPY,standard_00_50,short,base
1742540400.0,1742558400.0,2.2772,short,EURJPY,standard_00_50,short,base
1742803200.0,1742824800.0,-1.2084,short,EURJPY,standard_00_50,short,base
1743001200.0,1743008400.0,2.2906,short,EURJPY,standard_00_50,short,base
1743624000.0,1743631200.0,2.4032,short,EURJPY,standard_00_50,short,base
1744027200.0,1744034400.0,-1.0728,short,EURJPY,standard_00_50,short,base
1744329600.0,1744358400.0,-1.0849,short,EURJPY,standard_00_50,short,base
1744876800.0,1744891200.0,2.3283,short,EURJPY,standard_00_50,short,base
1745226000.0,1745294400.0,2.3526,short,EURJPY,standard_00_50,short,base
1745564400.0,1745586000.0,-1.2209,short,EURJPY,standard_00_50,short,base
1745996400.0,1746003600.0,-1.2474,short,EURJPY,standard_00_50,short,base
1746694800.0,1746705600.0,-1.2237,short,EURJPY,standard_00_50,short,base
1746745200.0,1746759600.0,2.2591,short,EURJPY,standard_00_50,short,base
1747008000.0,1747011600.0,-1.2304,short,EURJPY,standard_00_50,short,base
1748325600.0,1748332800.0,-1.2772,short,EURJPY,standard_00_50,short,base
1748343600.0,1748347200.0,-1.2063,short,EURJPY,standard_00_50,short,base
1748473200.0,1748476800.0,-1.2639,short,EURJPY,standard_00_50,short,base
1748998800.0,1749009600.0,-1.2368,short,EURJPY,standard_00_50,short,base
1749132000.0,1749135600.0,-1.1857,short,EURJPY,standard_00_50,short,base
1749560400.0,1749571200.0,-1.2248,short,EURJPY,standard_00_50,short,base
1749722400.0,1749729600.0,-1.2191,short,EURJPY,standard_00_50,short,base
1750644000.0,1750651200.0,-1.2271,short,EURJPY,standard_00_50,short,base
1750658400.0,1750669200.0,-1.201,short,EURJPY,standard_00_50,short,base
1751439600.0,1751446800.0,-1.2915,short,EURJPY,standard_00_50,short,base
1752541200.0,1752562800.0,-1.3039,short,EURJPY,standard_00_50,short,base
1752588000.0,1752638400.0,-1.2706,short,EURJPY,standard_00_50,short,base
1753156800.0,1753164000.0,-1.3045,short,EURJPY,standard_00_50,short,base
1753362000.0,1753369200.0,-1.2201,short,EURJPY,standard_00_50,short,base
1753945200.0,1753952400.0,-1.1507,short,EURJPY,standard_00_50,short,base
1754398800.0,1754406000.0,-1.2502,short,EURJPY,standard_00_50,short,base
1754528400.0,1754535600.0,-1.2538,short,EURJPY,standard_00_50,short,base
1755471600.0,1755475200.0,-1.3044,short,EURJPY,standard_00_50,short,base
1755478800.0,1755489600.0,-1.2919,short,EURJPY,standard_00_50,short,base
1755824400.0,1755864000.0,-1.2727,short,EURJPY,standard_00_50,short,base
1757937600.0,1757984400.0,-1.381,short,EURJPY,standard_00_50,short,base
1758236400.0,1758250800.0,2.1432,short,EURJPY,standard_00_50,short,base
1758596400.0,1758610800.0,2.006,short,EURJPY,standard_00_50,short,base
1758672000.0,1758686400.0,-1.3812,short,EURJPY,standard_00_50,short,base
1758816000.0,1758870000.0,-1.3086,short,EURJPY,standard_00_50,short,base
1758895200.0,1758906000.0,-1.3759,short,EURJPY,standard_00_50,short,base
1760922000.0,1760950800.0,2.2666,short,EURJPY,standard_00_50,short,base
1761019200.0,1761022800.0,-1.3214,short,EURJPY,standard_00_50,short,base
1761044400.0,1761181200.0,-1.182,short,EURJPY,standard_00_50,short,base
1761206400.0,1761224400.0,-1.3312,short,EURJPY,standard_00_50,short,base
1761282000.0,1761289200.0,-1.4093,short,EURJPY,standard_00_50,short,base
1761516000.0,1761570000.0,-1.3398,short,EURJPY,standard_00_50,short,base
1761760800.0,1761793200.0,-1.1858,short,EURJPY,standard_00_50,short,base
1762848000.0,1762855200.0,-1.3881,short,EURJPY,standard_00_50,short,base
1762923600.0,1762934400.0,-1.3586,short,EURJPY,standard_00_50,short,base
1762981200.0,1763017200.0,-1.3698,short,EURJPY,standard_00_50,short,base
1763103600.0,1763118000.0,2.1482,short,EURJPY,standard_00_50,short,base
1763474400.0,1763488800.0,-1.2789,short,EURJPY,standard_00_50,short,base
1763553600.0,1763586000.0,-1.272,short,EURJPY,standard_00_50,short,base
1764133200.0,1764140400.0,-1.2793,short,EURJPY,standard_00_50,short,base
1764766800.0,1764774000.0,2.1353,short,EURJPY,standard_00_50,short,base
1764946800.0,1765173600.0,-1.2933,short,EURJPY,standard_00_50,short,base
1765234800.0,1765238400.0,-1.3611,short,EURJPY,standard_00_50,short,base
1765551600.0,1765764000.0,2.1545,short,EURJPY,standard_00_50,short,base
1766124000.0,1766127600.0,-1.2491,short,EURJPY,standard_00_50,short,base
1766394000.0,1766455200.0,2.2597,short,EURJPY,standard_00_50,short,base
1767974400.0,1768183200.0,-1.3029,short,EURJPY,standard_00_50,short,base
1768201200.0,1768233600.0,-1.36,short,EURJPY,standard_00_50,short,base
1768352400.0,1768377600.0,2.162,short,EURJPY,standard_00_50,short,base
1768924800.0,1769061600.0,-1.2153,short,EURJPY,standard_00_50,short,base
1769086800.0,1769108400.0,-1.2872,short,EURJPY,standard_00_50,short,base
1769137200.0,1769148000.0,-1.3233,short,EURJPY,standard_00_50,short,base
1769482800.0,1769497200.0,-1.2379,short,EURJPY,standard_00_50,short,base
1769781600.0,1769990400.0,-1.1867,short,EURJPY,standard_00_50,short,base
1770120000.0,1770134400.0,-1.303,short,EURJPY,standard_00_50,short,base
1770181200.0,1770192000.0,-1.2832,short,EURJPY,standard_00_50,short,base
1770390000.0,1770393600.0,-1.2827,short,EURJPY,standard_00_50,short,base
1770681600.0,1770688800.0,2.2438,short,EURJPY,standard_00_50,short,base
1771408800.0,1771423200.0,-1.3133,short,EURJPY,standard_00_50,short,base
1771426800.0,1771462800.0,-1.2829,short,EURJPY,standard_00_50,short,base
1771578000.0,1771599600.0,-1.2353,short,EURJPY,standard_00_50,short,base
1771920000.0,1772006400.0,-1.2008,short,EURJPY,standard_00_50,short,base
1772175600.0,1772402400.0,2.2355,short,EURJPY,standard_00_50,short,base
1772427600.0,1772434800.0,2.2864,short,EURJPY,standard_00_50,short,base
1772715600.0,1772773200.0,-1.2124,short,EURJPY,standard_00_50,short,base
1773075600.0,1773093600.0,-1.2052,short,EURJPY,standard_00_50,short,base
1773194400.0,1773219600.0,2.1362,short,EURJPY,standard_00_50,short,base
1773680400.0,1773738000.0,-1.2497,short,EURJPY,standard_00_50,short,base
1773774000.0,1773817200.0,2.2005,short,EURJPY,standard_00_50,short,base
1774004400.0,1774018800.0,-1.2957,short,EURJPY,standard_00_50,short,base
1774353600.0,1774371600.0,-1.3023,short,EURJPY,standard_00_50,short,base
1774627200.0,1774828800.0,2.1821,short,EURJPY,standard_00_50,short,base
1774965600.0,1774972800.0,-1.2451,short,EURJPY,standard_00_50,short,base
1775746800.0,1775761200.0,-1.3514,short,EURJPY,standard_00_50,short,base
1775815200.0,1775826000.0,-1.4383,short,EURJPY,standard_00_50,short,base
1776088800.0,1776092400.0,-1.3963,short,EURJPY,standard_00_50,short,base
1776096000.0,1776103200.0,-1.3752,short,EURJPY,standard_00_50,short,base
1776373200.0,1776384000.0,-1.4826,short,EURJPY,standard_00_50,short,base
1776402000.0,1776412800.0,1.9864,short,EURJPY,standard_00_50,short,base
1777269600.0,1777273200.0,-1.5323,short,EURJPY,standard_00_50,short,base
1777276800.0,1777294800.0,-1.4622,short,EURJPY,standard_00_50,short,base
1777399200.0,1777467600.0,-1.289,short,EURJPY,standard_00_50,short,base
1777532400.0,1777536000.0,2.2143,short,EURJPY,standard_00_50,short,base
1777989600.0,1778022000.0,-1.3081,short,EURJPY,standard_00_50,short,base
1778036400.0,1778040000.0,2.0599,short,EURJPY,standard_00_50,short,base
1778234400.0,1778263200.0,-1.4636,short,EURJPY,standard_00_50,short,base
1778486400.0,1778504400.0,-1.3113,short,EURJPY,standard_00_50,short,base
1778562000.0,1778731200.0,2.1754,short,EURJPY,standard_00_50,short,base
1779087600.0,1779105600.0,-1.3463,short,EURJPY,standard_00_50,short,base
1779116400.0,1779120000.0,-1.3685,short,EURJPY,standard_00_50,short,base
1779696000.0,1779778800.0,-1.4871,short,EURJPY,standard_00_50,short,base
1779865200.0,1779868800.0,-1.6142,short,EURJPY,standard_00_50,short,base
1779976800.0,1780012800.0,-1.3428,short,EURJPY,standard_00_50,short,base
1780398000.0,1780401600.0,-1.627,short,EURJPY,standard_00_50,short,base
1781010000.0,1781053200.0,2.074,short,EURJPY,standard_00_50,short,base
1781096400.0,1781172000.0,2.1633,short,EURJPY,standard_00_50,short,base
1781269200.0,1781474400.0,-1.3108,short,EURJPY,standard_00_50,short,base
1781521200.0,1781571600.0,2.1002,short,EURJPY,standard_00_50,short,base
1781600400.0,1781604000.0,-1.3793,short,EURJPY,standard_00_50,short,base
1782378000.0,1782385200.0,2.0891,short,EURJPY,standard_00_50,short,base
1783090800.0,1783292400.0,-1.3164,short,EURJPY,standard_00_50,short,base
1721912400.0,1721919600.0,-1.1308,short,EURJPY,standard_00_50,short,stress
1723453200.0,1723460400.0,-1.355,short,EURJPY,standard_00_50,short,stress
1723640400.0,1723723200.0,-1.1947,short,EURJPY,standard_00_50,short,stress
1724122800.0,1724162400.0,2.2593,short,EURJPY,standard_00_50,short,stress
1724230800.0,1724248800.0,-1.2695,short,EURJPY,standard_00_50,short,stress
1725037200.0,1725231600.0,-1.301,short,EURJPY,standard_00_50,short,stress
1725544800.0,1725598800.0,2.3039,short,EURJPY,standard_00_50,short,stress
1726124400.0,1726149600.0,-1.259,short,EURJPY,standard_00_50,short,stress
1726732800.0,1726740000.0,-1.1634,short,EURJPY,standard_00_50,short,stress
1726830000.0,1727074800.0,2.3278,short,EURJPY,standard_00_50,short,stress
1727164800.0,1727200800.0,2.2327,short,EURJPY,standard_00_50,short,stress
1727251200.0,1727254800.0,-1.3082,short,EURJPY,standard_00_50,short,stress
1727388000.0,1727395200.0,-1.2461,short,EURJPY,standard_00_50,short,stress
1727398800.0,1727463600.0,2.2586,short,EURJPY,standard_00_50,short,stress
1727719200.0,1727740800.0,-1.1871,short,EURJPY,standard_00_50,short,stress
1727744400.0,1727751600.0,-1.255,short,EURJPY,standard_00_50,short,stress
1727881200.0,1727895600.0,-1.1768,short,EURJPY,standard_00_50,short,stress
1728046800.0,1728057600.0,-1.2455,short,EURJPY,standard_00_50,short,stress
1728468000.0,1728478800.0,-1.3185,short,EURJPY,standard_00_50,short,stress
1728532800.0,1728543600.0,2.0057,short,EURJPY,standard_00_50,short,stress
1728644400.0,1728648000.0,-1.4055,short,EURJPY,standard_00_50,short,stress
1728907200.0,1728910800.0,-1.5054,short,EURJPY,standard_00_50,short,stress
1729652400.0,1729656000.0,-1.3982,short,EURJPY,standard_00_50,short,stress
1729663200.0,1729674000.0,-1.3789,short,EURJPY,standard_00_50,short,stress
1729688400.0,1729742400.0,2.2295,short,EURJPY,standard_00_50,short,stress
1729843200.0,1729861200.0,-1.3667,short,EURJPY,standard_00_50,short,stress
1730192400.0,1730210400.0,2.1128,short,EURJPY,standard_00_50,short,stress
1730275200.0,1730278800.0,-1.4354,short,EURJPY,standard_00_50,short,stress
1730300400.0,1730354400.0,2.2309,short,EURJPY,standard_00_50,short,stress
1730462400.0,1730469600.0,-1.3017,short,EURJPY,standard_00_50,short,stress
1730822400.0,1730851200.0,2.1029,short,EURJPY,standard_00_50,short,stress
1730912400.0,1731034800.0,2.2917,short,EURJPY,standard_00_50,short,stress
1731301200.0,1731315600.0,2.1606,short,EURJPY,standard_00_50,short,stress
1731420000.0,1731430800.0,-1.3266,short,EURJPY,standard_00_50,short,stress
1731459600.0,1731477600.0,-1.378,short,EURJPY,standard_00_50,short,stress
1731628800.0,1731657600.0,2.1952,short,EURJPY,standard_00_50,short,stress
1731945600.0,1732003200.0,2.2357,short,EURJPY,standard_00_50,short,stress
1732514400.0,1732525200.0,-1.2483,short,EURJPY,standard_00_50,short,stress
1732752000.0,1732838400.0,2.2511,short,EURJPY,standard_00_50,short,stress
1733400000.0,1733403600.0,-1.2582,short,EURJPY,standard_00_50,short,stress
1733490000.0,1733716800.0,2.2405,short,EURJPY,standard_00_50,short,stress
1733817600.0,1733900400.0,2.1824,short,EURJPY,standard_00_50,short,stress
1733922000.0,1734012000.0,2.3009,short,EURJPY,standard_00_50,short,stress
1734084000.0,1734091200.0,-1.2746,short,EURJPY,standard_00_50,short,stress
1734314400.0,1734361200.0,-1.3183,short,EURJPY,standard_00_50,short,stress
1734526800.0,1734548400.0,2.1136,short,EURJPY,standard_00_50,short,stress
1734922800.0,1735052400.0,-1.3319,short,EURJPY,standard_00_50,short,stress
1735902000.0,1735934400.0,-1.4148,short,EURJPY,standard_00_50,short,stress
1736805600.0,1736816400.0,-1.2023,short,EURJPY,standard_00_50,short,stress
1737532800.0,1737536400.0,-1.3618,short,EURJPY,standard_00_50,short,stress
1738656000.0,1738717200.0,2.2742,short,EURJPY,standard_00_50,short,stress
1739347200.0,1739365200.0,-1.2641,short,EURJPY,standard_00_50,short,stress
1741158000.0,1741165200.0,-1.1459,short,EURJPY,standard_00_50,short,stress
1741672800.0,1741680000.0,-1.2392,short,EURJPY,standard_00_50,short,stress
1741698000.0,1741762800.0,-1.1825,short,EURJPY,standard_00_50,short,stress
1741766400.0,1741770000.0,-1.2816,short,EURJPY,standard_00_50,short,stress
1742540400.0,1742558400.0,2.1286,short,EURJPY,standard_00_50,short,stress
1742803200.0,1742824800.0,-1.3474,short,EURJPY,standard_00_50,short,stress
1743001200.0,1743008400.0,2.1511,short,EURJPY,standard_00_50,short,stress
1743624000.0,1743631200.0,2.3386,short,EURJPY,standard_00_50,short,stress
1744027200.0,1744034400.0,-1.1214,short,EURJPY,standard_00_50,short,stress
1744329600.0,1744358400.0,-1.1415,short,EURJPY,standard_00_50,short,stress
1744876800.0,1744891200.0,2.2138,short,EURJPY,standard_00_50,short,stress
1745226000.0,1745294400.0,2.2543,short,EURJPY,standard_00_50,short,stress
1745564400.0,1745586000.0,-1.3682,short,EURJPY,standard_00_50,short,stress
1745996400.0,1746003600.0,-1.4123,short,EURJPY,standard_00_50,short,stress
1746694800.0,1746705600.0,-1.3729,short,EURJPY,standard_00_50,short,stress
1746745200.0,1746759600.0,2.0985,short,EURJPY,standard_00_50,short,stress
1747008000.0,1747011600.0,-1.3839,short,EURJPY,standard_00_50,short,stress
