trades,net_r,pf,win_rate,avg_r,tag,month
15,-11.9853,0.2716582804637935,0.3333,-0.799,round_level_sweep_long_rr1.5_sl0.8_h120,2026-06
15,-11.9853,0.2716582804637935,0.3333,-0.799,round_level_sweep_long_rr1.5_sl0.8_h240,2026-06
15,-4.5882,0.6302790514025093,0.4667,-0.3059,round_level_sweep_long_rr1.5_sl1.0_h120,2026-06
15,-4.5882,0.6302790514025093,0.4667,-0.3059,round_level_sweep_long_rr1.5_sl1.0_h240,2026-06
15,-11.9853,0.3677171917533605,0.3333,-0.799,round_level_sweep_long_rr2.0_sl0.8_h120,2026-06
15,-11.9853,0.3677171917533605,0.3333,-0.799,round_level_sweep_long_rr2.0_sl0.8_h240,2026-06
15,-3.5882,0.7593411089276253,0.4667,-0.2392,round_level_sweep_long_rr2.0_sl1.0_h120,2026-06
15,-3.5882,0.7593411089276253,0.4667,-0.2392,round_level_sweep_long_rr2.0_sl1.0_h240,2026-06
15,-9.4853,0.4996043385595813,0.3333,-0.6324,round_level_sweep_long_rr2.5_sl0.8_h120,2026-06
15,-9.4853,0.4996043385595813,0.3333,-0.6324,round_level_sweep_long_rr2.5_sl0.8_h240,2026-06
15,-7.0882,0.6017082010507684,0.3333,-0.4725,round_level_sweep_long_rr2.5_sl1.0_h120,2026-06
15,-7.0882,0.6017082010507684,0.3333,-0.4725,round_level_sweep_long_rr2.5_sl1.0_h240,2026-06
5,-6.6477,0.027659138778375846,0.2,-1.3295,round_level_sweep_short_rr1.5_sl0.8_h120,2026-06
1,1.1212,inf,1.0,1.1212,round_level_sweep_short_rr1.5_sl0.8_h120,2026-07
5,-6.6477,0.027659138778375846,0.2,-1.3295,round_level_sweep_short_rr1.5_sl0.8_h240,2026-06
1,1.1212,inf,1.0,1.1212,round_level_sweep_short_rr1.5_sl0.8_h240,2026-07
5,-5.8182,0.07198341175532338,0.2,-1.1636,round_level_sweep_short_rr1.5_sl1.0_h120,2026-06
1,1.197,inf,1.0,1.197,round_level_sweep_short_rr1.5_sl1.0_h120,2026-07
5,-5.8182,0.07198341175532338,0.2,-1.1636,round_level_sweep_short_rr1.5_sl1.0_h240,2026-06
1,1.197,inf,1.0,1.197,round_level_sweep_short_rr1.5_sl1.0_h240,2026-07
5,-6.1477,0.10079276854668852,0.2,-1.2295,round_level_sweep_short_rr2.0_sl0.8_h120,2026-06
1,1.6212,inf,1.0,1.6212,round_level_sweep_short_rr2.0_sl0.8_h120,2026-07
