trades,net_r,pf,win_rate,avg_r,tag,symbol
9,-3.7341,0.5056987411143323,0.3333,-0.4149,round_level_sweep_long_rr1.5_sl0.8_h120,XAUUSD
6,-8.2512,0.07303427589228541,0.3333,-1.3752,round_level_sweep_long_rr1.5_sl0.8_h120,USDJPY
9,-3.7341,0.5056987411143323,0.3333,-0.4149,round_level_sweep_long_rr1.5_sl0.8_h240,XAUUSD
6,-8.2512,0.07303427589228541,0.3333,-1.3752,round_level_sweep_long_rr1.5_sl0.8_h240,USDJPY
9,1.7127,1.343302130730221,0.5556,0.1903,round_level_sweep_long_rr1.5_sl1.0_h120,XAUUSD
6,-6.3009,0.15093653146476213,0.3333,-1.0502,round_level_sweep_long_rr1.5_sl1.0_h120,USDJPY
9,1.7127,1.343302130730221,0.5556,0.1903,round_level_sweep_long_rr1.5_sl1.0_h240,XAUUSD
6,-6.3009,0.15093653146476213,0.3333,-1.0502,round_level_sweep_long_rr1.5_sl1.0_h240,USDJPY
9,-2.2341,0.7042611492792185,0.3333,-0.2482,round_level_sweep_long_rr2.0_sl0.8_h120,XAUUSD
6,-9.7512,0.1447291098383518,0.3333,-1.6252,round_level_sweep_long_rr2.0_sl0.8_h120,USDJPY
9,-2.2341,0.7042611492792185,0.3333,-0.2482,round_level_sweep_long_rr2.0_sl0.8_h240,XAUUSD
6,-9.7512,0.1447291098383518,0.3333,-1.6252,round_level_sweep_long_rr2.0_sl0.8_h240,USDJPY
9,4.2127,1.8444146004129165,0.5556,0.4681,round_level_sweep_long_rr2.0_sl1.0_h120,XAUUSD
6,-7.8009,0.21369821590565463,0.3333,-1.3002,round_level_sweep_long_rr2.0_sl1.0_h120,USDJPY
9,4.2127,1.8444146004129165,0.5556,0.4681,round_level_sweep_long_rr2.0_sl1.0_h240,XAUUSD
6,-7.8009,0.21369821590565463,0.3333,-1.3002,round_level_sweep_long_rr2.0_sl1.0_h240,USDJPY
9,-0.7341,0.9028235574441047,0.3333,-0.0816,round_level_sweep_long_rr2.5_sl0.8_h120,XAUUSD
