entry_ts,exit_ts,r,side,symbol,setup,tp_rr,sl_atr,max_hold
1780890000.0,1780890600.0,-1.3058,short,XAUUSD,session_range_fade,1.5,0.8,120
1780902600.0,1780902900.0,-1.2383,short,XAUUSD,session_range_fade,1.5,0.8,120
1780909500.0,1780910700.0,-1.2985,long,XAUUSD,session_range_fade,1.5,0.8,120
1780923000.0,1780923900.0,-1.2394,long,XAUUSD,session_range_fade,1.5,0.8,120
1780924200.0,1780924800.0,1.2649,long,XAUUSD,session_range_fade,1.5,0.8,120
1780925400.0,1780925700.0,1.2656,long,XAUUSD,session_range_fade,1.5,0.8,120
1780930500.0,1780931100.0,-1.1992,long,XAUUSD,session_range_fade,1.5,0.8,120
1780931400.0,1780932000.0,1.2766,long,XAUUSD,session_range_fade,1.5,0.8,120
1780937700.0,1780939500.0,1.1538,short,XAUUSD,session_range_fade,1.5,0.8,120
1780939800.0,1780941600.0,1.1624,long,XAUUSD,session_range_fade,1.5,0.8,120
1780942200.0,1780943700.0,-1.398,long,XAUUSD,session_range_fade,1.5,0.8,120
1780944000.0,1780944600.0,-1.4682,long,XAUUSD,session_range_fade,1.5,0.8,120
1780944900.0,1780945800.0,-1.4595,long,XAUUSD,session_range_fade,1.5,0.8,120
1780948200.0,1780948500.0,-1.5011,long,XAUUSD,session_range_fade,1.5,0.8,120
1780951800.0,1780956000.0,-1.5771,short,XAUUSD,session_range_fade,1.5,0.8,120
1780956300.0,1780956900.0,0.947,short,XAUUSD,session_range_fade,1.5,0.8,120
1780961400.0,1780962300.0,-1.4496,long,XAUUSD,session_range_fade,1.5,0.8,120
1780972500.0,1780973100.0,-1.3516,short,XAUUSD,session_range_fade,1.5,0.8,120
1780973400.0,1780974000.0,1.1454,short,XAUUSD,session_range_fade,1.5,0.8,120
1780974300.0,1780974900.0,-1.3137,short,XAUUSD,session_range_fade,1.5,0.8,120
1780975200.0,1780976700.0,1.1844,long,XAUUSD,session_range_fade,1.5,0.8,120
1780977300.0,1780978500.0,-1.3381,long,XAUUSD,session_range_fade,1.5,0.8,120
1780994100.0,1780994700.0,1.1565,short,XAUUSD,session_range_fade,1.5,0.8,120
1780996500.0,1780996800.0,-1.3588,short,XAUUSD,session_range_fade,1.5,0.8,120
1780998300.0,1780999800.0,-1.3432,short,XAUUSD,session_range_fade,1.5,0.8,120
1781000100.0,1781002500.0,-1.3483,short,XAUUSD,session_range_fade,1.5,0.8,120
1781002800.0,1781004000.0,-1.3803,short,XAUUSD,session_range_fade,1.5,0.8,120
1781007300.0,1781007600.0,0.9655,short,XAUUSD,session_range_fade,1.5,0.8,120
1781007900.0,1781008200.0,1.0251,long,XAUUSD,session_range_fade,1.5,0.8,120
1781008500.0,1781009400.0,-1.4276,long,XAUUSD,session_range_fade,1.5,0.8,120
1781009700.0,1781010900.0,-1.3655,long,XAUUSD,session_range_fade,1.5,0.8,120
1781028600.0,1781029200.0,-1.2637,short,XAUUSD,session_range_fade,1.5,0.8,120
1781031900.0,1781032200.0,1.2052,short,XAUUSD,session_range_fade,1.5,0.8,120
1781035200.0,1781042400.0,1.1791,short,XAUUSD,session_range_fade,1.5,0.8,120
1781061900.0,1781063100.0,-1.1957,short,XAUUSD,session_range_fade,1.5,0.8,120
1781064900.0,1781065200.0,1.173,short,XAUUSD,session_range_fade,1.5,0.8,120
1781065500.0,1781067900.0,-1.3122,short,XAUUSD,session_range_fade,1.5,0.8,120
1781075400.0,1781076300.0,-1.2453,long,XAUUSD,session_range_fade,1.5,0.8,120
1781084100.0,1781085000.0,1.289,short,XAUUSD,session_range_fade,1.5,0.8,120
1781085300.0,1781085900.0,1.2736,short,XAUUSD,session_range_fade,1.5,0.8,120
1781108100.0,1781109900.0,1.3611,short,XAUUSD,session_range_fade,1.5,0.8,120
1781111100.0,1781112000.0,1.3054,short,XAUUSD,session_range_fade,1.5,0.8,120
1781114100.0,1781114400.0,-1.201,short,XAUUSD,session_range_fade,1.5,0.8,120
1781114700.0,1781116800.0,1.3081,short,XAUUSD,session_range_fade,1.5,0.8,120
1781117400.0,1781118000.0,-1.2533,long,XAUUSD,session_range_fade,1.5,0.8,120
1781155800.0,1781156700.0,-1.2349,short,XAUUSD,session_range_fade,1.5,0.8,120
1781157300.0,1781157600.0,1.285,short,XAUUSD,session_range_fade,1.5,0.8,120
1781157900.0,1781158800.0,1.3028,long,XAUUSD,session_range_fade,1.5,0.8,120
1781159400.0,1781160300.0,1.3079,long,XAUUSD,session_range_fade,1.5,0.8,120
1781166000.0,1781166300.0,-1.2526,long,XAUUSD,session_range_fade,1.5,0.8,120
1781172300.0,1781176200.0,-1.2886,long,XAUUSD,session_range_fade,1.5,0.8,120
1781177100.0,1781177400.0,-1.2807,short,XAUUSD,session_range_fade,1.5,0.8,120
1781178900.0,1781179200.0,1.2319,long,XAUUSD,session_range_fade,1.5,0.8,120
1781179500.0,1781179800.0,-1.2424,long,XAUUSD,session_range_fade,1.5,0.8,120
1781192100.0,1781193000.0,-1.1832,short,XAUUSD,session_range_fade,1.5,0.8,120
1781210400.0,1781215200.0,1.2444,long,XAUUSD,session_range_fade,1.5,0.8,120
1781223000.0,1781223300.0,-1.2272,long,XAUUSD,session_range_fade,1.5,0.8,120
1781223600.0,1781224500.0,-1.2178,long,XAUUSD,session_range_fade,1.5,0.8,120
1781232900.0,1781234100.0,-1.248,short,XAUUSD,session_range_fade,1.5,0.8,120
1781234400.0,1781234700.0,-1.2701,short,XAUUSD,session_range_fade,1.5,0.8,120
1781236800.0,1781237700.0,1.2101,short,XAUUSD,session_range_fade,1.5,0.8,120
1781238000.0,1781238900.0,-1.3044,short,XAUUSD,session_range_fade,1.5,0.8,120
1781246700.0,1781247300.0,1.2153,long,XAUUSD,session_range_fade,1.5,0.8,120
1781249700.0,1781250000.0,-1.2767,short,XAUUSD,session_range_fade,1.5,0.8,120
1781250600.0,1781250900.0,-1.2786,short,XAUUSD,session_range_fade,1.5,0.8,120
1781259000.0,1781259300.0,-1.3076,long,XAUUSD,session_range_fade,1.5,0.8,120
1781264400.0,1781265600.0,-1.33,long,XAUUSD,session_range_fade,1.5,0.8,120
1781275800.0,1781277300.0,-1.1435,short,XAUUSD,session_range_fade,1.5,0.8,120
1781285700.0,1781286300.0,1.2021,long,XAUUSD,session_range_fade,1.5,0.8,120
1781286900.0,1781287800.0,1.1846,long,XAUUSD,session_range_fade,1.5,0.8,120
1781289300.0,1781289900.0,-1.342,long,XAUUSD,session_range_fade,1.5,0.8,120
1781290200.0,1781290500.0,-1.3616,long,XAUUSD,session_range_fade,1.5,0.8,120
1781290800.0,1781291700.0,-1.322,long,XAUUSD,session_range_fade,1.5,0.8,120
1781295600.0,1781297700.0,1.0897,long,XAUUSD,session_range_fade,1.5,0.8,120
1781486400.0,1781487000.0,1.2877,long,XAUUSD,session_range_fade,1.5,0.8,120
