mode,step,side,cost,segment,trades,net_r,pf,win_rate,positive_folds,min_fold_trades
standard_00_50,0.5,short,base,train,83,24.6442,1.4379548293884428,0.4217,2,37
standard_00_50,0.5,short,base,validation,58,-22.6287,0.5826995706888158,0.2414,2,37
standard_00_50,0.5,short,base,holdout,49,-7.6928,0.8239279305672537,0.3469,2,37
standard_00_50,0.5,short,base,full,190,-5.6773,0.9631795326116634,0.3474,2,37
standard_00_50,0.5,short,stress,train,83,14.7403,1.238574087561706,0.4217,2,37
standard_00_50,0.5,short,stress,validation,58,-31.7145,0.48046405947195375,0.2414,2,37
standard_00_50,0.5,short,stress,holdout,49,-19.8215,0.615005865763365,0.3469,2,37
standard_00_50,0.5,short,stress,full,190,-36.7957,0.78891151088753,0.3474,2,37
standard_00_50,0.5,long,base,train,86,-15.4785,0.7842798946938582,0.2791,1,23
standard_00_50,0.5,long,base,validation,37,-35.8823,0.15624463574819702,0.0811,1,23
standard_00_50,0.5,long,base,holdout,23,10.2588,1.6926192983877502,0.4783,1,23
standard_00_50,0.5,long,base,full,146,-41.102,0.6816049428621006,0.2603,1,23
standard_00_50,0.5,long,stress,train,86,-24.4637,0.6873800377745235,0.2791,1,23
standard_00_50,0.5,long,stress,validation,37,-42.1378,0.12599300591966348,0.0811,1,23
standard_00_50,0.5,long,stress,holdout,23,6.7647,1.405414152068513,0.4783,1,23
standard_00_50,0.5,long,stress,full,146,-59.8368,0.5820048493942448,0.2603,1,23
big_figure_00,1.0,short,base,train,51,30.6936,2.039090825995552,0.5098,3,23
big_figure_00,1.0,short,base,validation,34,-4.1245,0.8569267966102282,0.3235,3,23
big_figure_00,1.0,short,base,holdout,23,0.3137,1.0167983078529546,0.3913,3,23
big_figure_00,1.0,short,base,full,108,26.8828,1.3489401139388872,0.4259,3,23
big_figure_00,1.0,short,stress,train,51,24.4893,1.7520128972823583,0.5098,2,23
big_figure_00,1.0,short,stress,validation,34,-9.8744,0.6981542731724614,0.3235,2,23
big_figure_00,1.0,short,stress,holdout,23,-5.1437,0.7639497583831634,0.3913,2,23
big_figure_00,1.0,short,stress,full,108,9.4712,1.1087779706003622,0.4259,2,23
big_figure_00,1.0,long,base,train,47,-8.53,0.7815615404905006,0.2766,1,12
big_figure_00,1.0,long,base,validation,19,-16.6606,0.20830066384402277,0.1053,1,12
big_figure_00,1.0,long,base,holdout,12,-4.4326,0.6054615528398116,0.25,1,12
big_figure_00,1.0,long,base,full,78,-29.6232,0.584695684357953,0.2308,1,12
big_figure_00,1.0,long,stress,train,47,-13.2161,0.6884163721623259,0.2766,1,12
big_figure_00,1.0,long,stress,validation,19,-19.7677,0.16733220444646632,0.1053,1,12
big_figure_00,1.0,long,stress,holdout,12,-6.3876,0.4980156703104984,0.25,1,12
big_figure_00,1.0,long,stress,full,78,-39.3714,0.5008747375787265,0.2308,1,12
legacy_decade,10.0,short,base,train,5,0.8971,1.253339357826664,0.4,3,1
legacy_decade,10.0,short,base,validation,2,1.119,1.9756735547998951,0.5,3,1
legacy_decade,10.0,short,base,holdout,5,6.4961,4.54551904813885,0.8,3,1
legacy_decade,10.0,short,base,full,12,8.5122,2.305512100855802,0.5833,3,1
legacy_decade,10.0,short,stress,train,5,0.1618,1.0414669776262846,0.4,3,1
legacy_decade,10.0,short,stress,validation,2,0.8649,1.6947545987629529,0.5,3,1
legacy_decade,10.0,short,stress,holdout,5,4.8268,3.0221198156682028,0.8,3,1
legacy_decade,10.0,short,stress,full,12,5.8535,1.776965143752157,0.5833,3,1
legacy_decade,10.0,long,base,train,4,-1.0344,0.6926459664240083,0.25,1,0
legacy_decade,10.0,long,base,validation,0,0,0.0,0.0,1,0
legacy_decade,10.0,long,base,holdout,1,-1.4423,0.0,0.0,1,0
legacy_decade,10.0,long,base,full,5,-2.4767,0.4848579391821623,0.2,1,0
legacy_decade,10.0,long,stress,train,4,-1.3905,0.6147238923831425,0.25,1,0
legacy_decade,10.0,long,stress,validation,0,0,0.0,0.0,1,0
legacy_decade,10.0,long,stress,holdout,1,-1.7372,0.0,0.0,1,0
legacy_decade,10.0,long,stress,full,5,-3.1277,0.41497858331930493,0.2,1,0
