entry_ts,exit_ts,r,side,mode,side_sleeve,cost
1723636800.0,1723723200.0,-1.1085,short,standard_00_50,short,base
1724936400.0,1725019200.0,-1.148,short,standard_00_50,short,base
1725231600.0,1725264000.0,-1.1699,short,standard_00_50,short,base
1725282000.0,1725339600.0,2.3277,short,standard_00_50,short,base
1725624000.0,1725627600.0,-1.1046,short,standard_00_50,short,base
1726124400.0,1726142400.0,2.3421,short,standard_00_50,short,base
1727161200.0,1727179200.0,2.3363,short,standard_00_50,short,base
1727276400.0,1727283600.0,-1.1581,short,standard_00_50,short,base
1727319600.0,1727334000.0,-1.199,short,standard_00_50,short,base
1727398800.0,1727409600.0,-1.1333,short,standard_00_50,short,base
1727697600.0,1727708400.0,-1.1243,short,standard_00_50,short,base
1727762400.0,1727787600.0,2.3606,short,standard_00_50,short,base
1727899200.0,1727906400.0,-1.1214,short,standard_00_50,short,base
1727917200.0,1728043200.0,-1.1162,short,standard_00_50,short,base
1728252000.0,1728306000.0,2.3844,short,standard_00_50,short,base
1728644400.0,1728648000.0,-1.2384,short,standard_00_50,short,base
1728932400.0,1728972000.0,2.1947,short,standard_00_50,short,base
1729569600.0,1729580400.0,-1.2452,short,standard_00_50,short,base
1729684800.0,1729735200.0,2.3275,short,standard_00_50,short,base
1730196000.0,1730199600.0,-1.2246,short,standard_00_50,short,base
1730340000.0,1730354400.0,2.3155,short,standard_00_50,short,base
1730473200.0,1730678400.0,2.364,short,standard_00_50,short,base
1730782800.0,1730811600.0,2.2177,short,standard_00_50,short,base
1731376800.0,1731420000.0,-1.2497,short,standard_00_50,short,base
1731556800.0,1731592800.0,2.2794,short,standard_00_50,short,base
1732064400.0,1732075200.0,-1.1433,short,standard_00_50,short,base
1732284000.0,1732489200.0,2.3584,short,standard_00_50,short,base
1732784400.0,1732834800.0,2.3177,short,standard_00_50,short,base
1733792400.0,1733814000.0,-1.2135,short,standard_00_50,short,base
1734058800.0,1734076800.0,-1.1932,short,standard_00_50,short,base
1734314400.0,1734350400.0,-1.2257,short,standard_00_50,short,base
1734537600.0,1734548400.0,-1.2413,short,standard_00_50,short,base
1734598800.0,1734620400.0,-1.1006,short,standard_00_50,short,base
1735228800.0,1735254000.0,2.1064,short,standard_00_50,short,base
1735538400.0,1735560000.0,2.1877,short,standard_00_50,short,base
1735664400.0,1735772400.0,-1.154,short,standard_00_50,short,base
1736161200.0,1736164800.0,2.2886,short,standard_00_50,short,base
1736334000.0,1736395200.0,2.2482,short,standard_00_50,short,base
1736492400.0,1736496000.0,2.1376,short,standard_00_50,short,base
1736856000.0,1736874000.0,-1.1477,short,standard_00_50,short,base
1737532800.0,1737547200.0,-1.1938,short,standard_00_50,short,base
1737723600.0,1737964800.0,2.399,short,standard_00_50,short,base
1738036800.0,1738126800.0,2.3446,short,standard_00_50,short,base
1738328400.0,1738346400.0,-1.18,short,standard_00_50,short,base
1738656000.0,1738681200.0,2.3348,short,standard_00_50,short,base
1739174400.0,1739196000.0,2.3331,short,standard_00_50,short,base
1739278800.0,1739286000.0,-1.2427,short,standard_00_50,short,base
1739325600.0,1739332800.0,-1.1867,short,standard_00_50,short,base
1739372400.0,1739376000.0,-1.1557,short,standard_00_50,short,base
1740664800.0,1740668400.0,-1.1536,short,standard_00_50,short,base
1740729600.0,1740747600.0,-1.1301,short,standard_00_50,short,base
1740956400.0,1740988800.0,2.3507,short,standard_00_50,short,base
1741683600.0,1741690800.0,-1.1368,short,standard_00_50,short,base
1741698000.0,1741752000.0,-1.1172,short,standard_00_50,short,base
1741928400.0,1741932000.0,-1.2086,short,standard_00_50,short,base
1742187600.0,1742212800.0,2.3051,short,standard_00_50,short,base
1742259600.0,1742263200.0,-1.1778,short,standard_00_50,short,base
1742364000.0,1742389200.0,-1.1977,short,standard_00_50,short,base
1743069600.0,1743091200.0,-1.216,short,standard_00_50,short,base
1743573600.0,1743588000.0,2.2435,short,standard_00_50,short,base
1743606000.0,1743609600.0,-1.1898,short,standard_00_50,short,base
1744041600.0,1744142400.0,2.4293,short,standard_00_50,short,base
1744876800.0,1745182800.0,2.3756,short,standard_00_50,short,base
1745280000.0,1745290800.0,2.3362,short,standard_00_50,short,base
1745593200.0,1745848800.0,2.3762,short,standard_00_50,short,base
1746111600.0,1746144000.0,-1.1038,short,standard_00_50,short,base
1746633600.0,1746640800.0,-1.178,short,standard_00_50,short,base
1746680400.0,1746684000.0,-1.1421,short,standard_00_50,short,base
1746687600.0,1746691200.0,-1.1323,short,standard_00_50,short,base
1746698400.0,1746712800.0,-1.1478,short,standard_00_50,short,base
1746730800.0,1746788400.0,2.3863,short,standard_00_50,short,base
1747036800.0,1747044000.0,-1.0971,short,standard_00_50,short,base
1747411200.0,1747602000.0,2.3334,short,standard_00_50,short,base
1748394000.0,1748397600.0,-1.2095,short,standard_00_50,short,base
1748966400.0,1748998800.0,-1.1612,short,standard_00_50,short,base
1749218400.0,1749448800.0,2.3334,short,standard_00_50,short,base
1749520800.0,1749535200.0,2.2825,short,standard_00_50,short,base
1749596400.0,1749603600.0,-1.2464,short,standard_00_50,short,base
1749819600.0,1750024800.0,-1.1183,short,standard_00_50,short,base
1750676400.0,1750687200.0,2.3606,short,standard_00_50,short,base
1750856400.0,1750874400.0,2.2965,short,standard_00_50,short,base
1751864400.0,1751868000.0,-1.2716,short,standard_00_50,short,base
1751882400.0,1751889600.0,-1.216,short,standard_00_50,short,base
1752022800.0,1752026400.0,-1.2537,short,standard_00_50,short,base
1752192000.0,1752195600.0,-1.2421,short,standard_00_50,short,base
1752447600.0,1752505200.0,-1.1941,short,standard_00_50,short,base
1752580800.0,1752584400.0,-1.2432,short,standard_00_50,short,base
1752638400.0,1752674400.0,2.2597,short,standard_00_50,short,base
1753408800.0,1753419600.0,2.2977,short,standard_00_50,short,base
1753668000.0,1753682400.0,-1.2573,short,standard_00_50,short,base
1753718400.0,1753772400.0,-1.1831,short,standard_00_50,short,base
1753945200.0,1753952400.0,-1.1365,short,standard_00_50,short,base
1753956000.0,1753963200.0,-1.1469,short,standard_00_50,short,base
