candidate,symbol,scenario,signals,orders_placed,unfilled,unfilled_rate,duplicate_events,invalid_plans,skipped_gap,skipped_rr,blocked_fill_window,duplicate_event_rate,censored_orders,censored_trades,censored_order_rate,censored_trade_rate,fill_rate
impulse_breakout_retest_v2:long,EURUSD,base,8,8,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0
impulse_breakout_retest_v2:long,EURUSD,stress,8,8,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0
impulse_breakout_retest_v2:long,GBPUSD,base,10,10,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0
impulse_breakout_retest_v2:long,GBPUSD,stress,10,10,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0
impulse_breakout_retest_v2:long,USDJPY,base,8,8,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0
impulse_breakout_retest_v2:long,USDJPY,stress,8,8,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0
impulse_breakout_retest_v2:long,GBPJPY,base,1,1,0,0.0,0,0,0,0,0,0.0,0,1,0.0,1.0,1.0
impulse_breakout_retest_v2:long,GBPJPY,stress,1,1,0,0.0,0,0,0,0,0,0.0,0,1,0.0,1.0,1.0
impulse_breakout_retest_v2:short,EURUSD,base,9,9,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0
impulse_breakout_retest_v2:short,EURUSD,stress,9,9,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0
impulse_breakout_retest_v2:short,GBPUSD,base,6,6,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0
impulse_breakout_retest_v2:short,GBPUSD,stress,6,6,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0
impulse_breakout_retest_v2:short,USDJPY,base,1,1,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0
impulse_breakout_retest_v2:short,USDJPY,stress,1,1,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0
impulse_breakout_retest_v2:short,GBPJPY,base,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
impulse_breakout_retest_v2:short,GBPJPY,stress,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
sweep_reclaim_bounce_v2:long,EURUSD,base,43,43,0,0.0,0,0,0,0,0,0.0,0,1,0.0,0.023255813953488372,1.0
sweep_reclaim_bounce_v2:long,EURUSD,stress,43,43,0,0.0,0,0,0,0,0,0.0,0,1,0.0,0.023255813953488372,1.0
sweep_reclaim_bounce_v2:long,GBPUSD,base,48,48,0,0.0,0,0,0,0,0,0.0,0,1,0.0,0.020833333333333332,1.0
sweep_reclaim_bounce_v2:long,GBPUSD,stress,49,49,0,0.0,0,0,0,0,0,0.0,0,1,0.0,0.02040816326530612,1.0
sweep_reclaim_bounce_v2:long,USDJPY,base,11,11,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0
sweep_reclaim_bounce_v2:long,USDJPY,stress,11,11,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0
sweep_reclaim_bounce_v2:long,GBPJPY,base,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
sweep_reclaim_bounce_v2:long,GBPJPY,stress,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
sweep_reclaim_bounce_v2:short,EURUSD,base,48,48,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0
sweep_reclaim_bounce_v2:short,EURUSD,stress,49,49,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0
sweep_reclaim_bounce_v2:short,GBPUSD,base,33,33,0,0.0,0,0,0,0,0,0.0,0,1,0.0,0.030303030303030304,1.0
sweep_reclaim_bounce_v2:short,GBPUSD,stress,33,33,0,0.0,0,0,0,0,0,0.0,0,1,0.0,0.030303030303030304,1.0
sweep_reclaim_bounce_v2:short,USDJPY,base,21,21,0,0.0,0,0,0,0,0,0.0,0,1,0.0,0.047619047619047616,1.0
sweep_reclaim_bounce_v2:short,USDJPY,stress,21,21,0,0.0,0,0,0,0,0,0.0,0,1,0.0,0.047619047619047616,1.0
sweep_reclaim_bounce_v2:short,GBPJPY,base,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
sweep_reclaim_bounce_v2:short,GBPJPY,stress,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
regime_range_reversion_v2:long,EURUSD,base,47,47,12,0.2553191489361702,0,0,21,0,0,0.0,0,0,0.0,0.0,0.2978723404255319
regime_range_reversion_v2:long,EURUSD,stress,47,47,12,0.2553191489361702,0,0,21,0,0,0.0,0,0,0.0,0.0,0.2978723404255319
regime_range_reversion_v2:long,GBPUSD,base,41,41,21,0.5121951219512195,0,0,9,0,0,0.0,0,0,0.0,0.0,0.2682926829268293
regime_range_reversion_v2:long,GBPUSD,stress,41,41,22,0.5365853658536586,0,0,9,0,0,0.0,0,0,0.0,0.0,0.24390243902439024
regime_range_reversion_v2:long,USDJPY,base,18,18,11,0.6111111111111112,0,0,4,0,0,0.0,0,0,0.0,0.0,0.16666666666666666
regime_range_reversion_v2:long,USDJPY,stress,18,18,11,0.6111111111111112,0,0,4,0,0,0.0,0,0,0.0,0.0,0.16666666666666666
regime_range_reversion_v2:long,GBPJPY,base,1,1,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0
regime_range_reversion_v2:long,GBPJPY,stress,1,1,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,1.0
regime_range_reversion_v2:short,EURUSD,base,68,68,22,0.3235294117647059,0,0,22,0,0,0.0,0,0,0.0,0.0,0.35294117647058826
regime_range_reversion_v2:short,EURUSD,stress,68,68,23,0.3382352941176471,0,0,22,0,0,0.0,0,0,0.0,0.0,0.3382352941176471
regime_range_reversion_v2:short,GBPUSD,base,41,41,14,0.34146341463414637,0,0,12,0,0,0.0,1,0,0.024390243902439025,0.0,0.35
regime_range_reversion_v2:short,GBPUSD,stress,41,41,14,0.34146341463414637,0,0,12,0,0,0.0,1,0,0.024390243902439025,0.0,0.35
regime_range_reversion_v2:short,USDJPY,base,14,14,7,0.5,0,0,3,0,0,0.0,0,0,0.0,0.0,0.2857142857142857
regime_range_reversion_v2:short,USDJPY,stress,14,14,7,0.5,0,0,3,0,0,0.0,0,0,0.0,0.0,0.2857142857142857
regime_range_reversion_v2:short,GBPJPY,base,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
regime_range_reversion_v2:short,GBPJPY,stress,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0
