candidate,fold,start_ts,end_ts,trades,net_r,pf
impulse_breakout_retest_v2:long,1,1720389600.0,1736121600.0,6,-3.803701,0.3377960174804953
impulse_breakout_retest_v2:long,2,1736121600.0,1751853600.0,5,0.401288,1.115866271367904
impulse_breakout_retest_v2:long,3,1751853600.0,1767585600.0,10,-8.674669,0.17608859945199015
impulse_breakout_retest_v2:long,4,1767585600.0,1783317600.0,5,3.471043,2.5291861226866996
impulse_breakout_retest_v2:short,1,1720389600.0,1736121600.0,3,-3.370241,0.0
impulse_breakout_retest_v2:short,2,1736121600.0,1751853600.0,3,-3.345032,0.0
impulse_breakout_retest_v2:short,3,1751853600.0,1767585600.0,4,1.389781,1.6089441260493893
impulse_breakout_retest_v2:short,4,1767585600.0,1783317600.0,6,-3.730971,0.3410374210996124
sweep_reclaim_bounce_v2:long,1,1720389600.0,1736121600.0,13,2.849388,1.379145347911964
sweep_reclaim_bounce_v2:long,2,1736121600.0,1751853600.0,18,-2.643233,0.7956342573077314
sweep_reclaim_bounce_v2:long,3,1751853600.0,1767585600.0,35,-10.735665,0.6133363433723634
sweep_reclaim_bounce_v2:long,4,1767585600.0,1783317600.0,35,-8.029368,0.6802239803101235
sweep_reclaim_bounce_v2:short,1,1720389600.0,1736121600.0,22,-7.266014,0.586974475628841
sweep_reclaim_bounce_v2:short,2,1736121600.0,1751853600.0,12,-7.277561,0.3243551068809736
sweep_reclaim_bounce_v2:short,3,1751853600.0,1767585600.0,31,-3.801534,0.8291684403885424
sweep_reclaim_bounce_v2:short,4,1767585600.0,1783317600.0,36,-5.211841,0.7943416825186637
regime_range_reversion_v2:long,1,1720389600.0,1736121600.0,3,-1.388594,0.43861054904093194
regime_range_reversion_v2:long,2,1736121600.0,1751853600.0,5,-3.49654,0.27462462020140577
regime_range_reversion_v2:long,3,1751853600.0,1767585600.0,14,-8.257719,0.4205481136157302
regime_range_reversion_v2:long,4,1767585600.0,1783317600.0,6,-3.722141,0.40836845582069
regime_range_reversion_v2:short,1,1720389600.0,1736121600.0,11,-5.491432,0.4478813220206336
regime_range_reversion_v2:short,2,1736121600.0,1751853600.0,5,-3.384779,0.30395159217331397
regime_range_reversion_v2:short,3,1751853600.0,1767585600.0,13,0.994086,1.0969232267728322
regime_range_reversion_v2:short,4,1767585600.0,1783317600.0,12,-7.295095,0.3748777299899425
