symbol,setup,tp_rr,sl_atr,max_hold,coverage_ok,coverage_reasons,cost_ok,fee_r,cost_reason,skip_reason,trades,net_r,pf,win_rate,folds_positive,min_fold_trades,preflight_go,preflight_reasons
EURUSD,session_range_fade,1.5,1.3,24,True,,False,0.2942,fee_r_0.29_exceeds_0.25,cost_infeasible,0,0.0,0.0,0.0,0,0,False,fee_r_0.29_exceeds_0.25
EURUSD,session_range_fade,1.5,1.3,48,True,,False,0.2942,fee_r_0.29_exceeds_0.25,cost_infeasible,0,0.0,0.0,0.0,0,0,False,fee_r_0.29_exceeds_0.25
EURUSD,session_range_fade,1.5,1.3,96,True,,False,0.2942,fee_r_0.29_exceeds_0.25,cost_infeasible,0,0.0,0.0,0.0,0,0,False,fee_r_0.29_exceeds_0.25
EURUSD,session_range_fade,1.5,1.6,24,True,,True,0.239,,,673,-122.556,0.742,0.425,0,168,False,low_quality_pf_0.74<0.80
EURUSD,session_range_fade,1.5,1.6,48,True,,True,0.239,,,659,-117.924,0.75,0.423,0,164,False,low_quality_pf_0.75<0.80
EURUSD,session_range_fade,1.5,1.6,96,True,,True,0.239,,,659,-118.411,0.749,0.423,0,164,False,low_quality_pf_0.75<0.80
EURUSD,session_range_fade,1.5,2.0,24,True,,True,0.1912,,,576,-89.111,0.769,0.417,0,144,False,low_quality_pf_0.77<0.80
EURUSD,session_range_fade,1.5,2.0,48,True,,True,0.1912,,,547,-89.972,0.765,0.41,0,136,False,low_quality_pf_0.77<0.80
EURUSD,session_range_fade,1.5,2.0,96,True,,True,0.1912,,,543,-83.07,0.781,0.414,0,135,False,low_quality_pf_0.78<0.80
EURUSD,session_range_fade,1.5,2.5,24,True,,True,0.153,,,509,-47.822,0.843,0.432,0,127,True,ready_for_gate
EURUSD,session_range_fade,1.5,2.5,48,True,,True,0.153,,,453,-36.694,0.874,0.433,1,113,True,ready_for_gate
EURUSD,session_range_fade,1.5,2.5,96,True,,True,0.153,,,435,-23.067,0.918,0.439,1,108,True,ready_for_gate
