case,cost_mode,symbols,start,end,signal_cutoff,generated_signals,generated_long_signals,generated_short_signals,placed_signals,skipped_symbol_busy,skipped_capacity,invalid_plans,unfilled,trades,unfilled_rate,net_r,profit_factor,winrate,max_drawdown_r,gross_profit_r,gross_loss_r
base_full_360,base,BTCUSDT;ETHUSDT;BNBUSDT;XRPUSDT;AVAXUSDT,2025-07-10T00:00:00+00:00,2026-07-05T00:00:00+00:00,2026-07-03T21:50:00+00:00,1064,0,1064,49,1015,0,0,7,42,0.14285714285714285,2.6058,1.1408053430164702,0.4523809523809524,6.9813,21.1122,18.5064
stress_full_360,stress,BTCUSDT;ETHUSDT;BNBUSDT;XRPUSDT;AVAXUSDT,2025-07-10T00:00:00+00:00,2026-07-05T00:00:00+00:00,2026-07-03T21:50:00+00:00,1064,0,1064,49,1015,0,0,7,42,0.14285714285714285,1.4389,1.0751454444804212,0.4523809523809524,7.5957,20.5871,19.1482
stress_fold_1,stress,BTCUSDT;ETHUSDT;BNBUSDT;XRPUSDT;AVAXUSDT,2025-07-10T00:00:00+00:00,2025-10-08T00:00:00+00:00,2025-10-06T21:50:00+00:00,121,0,121,4,117,0,0,0,4,0.0,0.7892,1.468340157854133,0.5,1.0515,2.4743,1.6851
stress_fold_2,stress,BTCUSDT;ETHUSDT;BNBUSDT;XRPUSDT;AVAXUSDT,2025-10-08T00:00:00+00:00,2026-01-06T00:00:00+00:00,2026-01-04T21:50:00+00:00,315,0,315,15,300,0,0,2,13,0.13333333333333333,-3.2846,0.5689614445815069,0.3076923076923077,5.5599,4.3356,7.6202
stress_fold_3,stress,BTCUSDT;ETHUSDT;BNBUSDT;XRPUSDT;AVAXUSDT,2026-01-06T00:00:00+00:00,2026-04-06T00:00:00+00:00,2026-04-04T21:50:00+00:00,217,0,217,12,205,0,0,3,9,0.25,1.8999,1.6937232993756162,0.4444444444444444,1.268,4.6386,2.7387
stress_fold_4,stress,BTCUSDT;ETHUSDT;BNBUSDT;XRPUSDT;AVAXUSDT,2026-04-06T00:00:00+00:00,2026-07-05T00:00:00+00:00,2026-07-03T21:50:00+00:00,411,0,411,18,393,0,0,2,16,0.1111111111111111,2.0344,1.2863658117733172,0.5625,3.9357,9.1386,7.1042
stress_symbol_BTCUSDT,stress,BTCUSDT,2025-07-10T00:00:00+00:00,2026-07-05T00:00:00+00:00,2026-07-03T21:50:00+00:00,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0,0
stress_symbol_ETHUSDT,stress,ETHUSDT,2025-07-10T00:00:00+00:00,2026-07-05T00:00:00+00:00,2026-07-03T21:50:00+00:00,554,0,554,28,526,0,0,4,24,0.14285714285714285,2.6473,1.234658511722732,0.4583333333333333,4.5859,13.9288,11.2815
stress_symbol_BNBUSDT,stress,BNBUSDT,2025-07-10T00:00:00+00:00,2026-07-05T00:00:00+00:00,2026-07-03T21:50:00+00:00,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0,0
stress_symbol_XRPUSDT,stress,XRPUSDT,2025-07-10T00:00:00+00:00,2026-07-05T00:00:00+00:00,2026-07-03T21:50:00+00:00,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0,0
stress_symbol_AVAXUSDT,stress,AVAXUSDT,2025-07-10T00:00:00+00:00,2026-07-05T00:00:00+00:00,2026-07-03T21:50:00+00:00,510,0,510,21,489,0,0,3,18,0.14285714285714285,-1.2084,0.8463904813962653,0.4444444444444444,4.6005,6.6583,7.8667
