case,cost_mode,symbol,side,signal_ts,fill_ts,exit_ts,signal_utc,fill_utc,exit_utc,entry,r,wait_bars
base_full_360,base,ETHUSDT,short,1754164500000,1754164800000,1754219400000,2025-08-02T19:55:00+00:00,2025-08-02T20:00:00+00:00,2025-08-03T11:10:00+00:00,3387.4928571428572,-1.0273,1
base_full_360,base,ETHUSDT,short,1755489300000,1755491100000,1755577500000,2025-08-18T03:55:00+00:00,2025-08-18T04:25:00+00:00,2025-08-19T04:25:00+00:00,4325.832285714286,1.1149,6
base_full_360,base,AVAXUSDT,short,1755618900000,1755619200000,1755705600000,2025-08-19T15:55:00+00:00,2025-08-19T16:00:00+00:00,2025-08-20T16:00:00+00:00,22.812257142857142,-0.6062,1
base_full_360,base,ETHUSDT,short,1758791700000,1758792000000,1758803100000,2025-09-25T09:15:00+00:00,2025-09-25T09:20:00+00:00,2025-09-25T12:25:00+00:00,4040.0877142857144,1.4428,1
base_full_360,base,AVAXUSDT,short,1760111700000,1760114100000,1760129700000,2025-10-10T15:55:00+00:00,2025-10-10T16:35:00+00:00,2025-10-10T20:55:00+00:00,27.081885714285715,1.4758,8
base_full_360,base,ETHUSDT,short,1761839700000,1761840300000,1761926700000,2025-10-30T15:55:00+00:00,2025-10-30T16:05:00+00:00,2025-10-31T16:05:00+00:00,3776.638857142857,-0.5893,2
base_full_360,base,AVAXUSDT,short,1762186200000,1762186500000,1762272900000,2025-11-03T16:10:00+00:00,2025-11-03T16:15:00+00:00,2025-11-04T16:15:00+00:00,16.653085714285716,0.3105,1
base_full_360,base,ETHUSDT,short,1762186200000,1762186500000,1762272900000,2025-11-03T16:10:00+00:00,2025-11-03T16:15:00+00:00,2025-11-04T16:15:00+00:00,3617.9494285714286,1.1631,1
base_full_360,base,AVAXUSDT,short,1762286100000,1762288800000,1762315200000,2025-11-04T19:55:00+00:00,2025-11-04T20:40:00+00:00,2025-11-05T04:00:00+00:00,15.631885714285714,-1.0163,9
base_full_360,base,AVAXUSDT,short,1763409300000,1763409900000,1763496300000,2025-11-17T19:55:00+00:00,2025-11-17T20:05:00+00:00,2025-11-18T20:05:00+00:00,14.402142857142858,-0.63,2
