IRV4_LEVEL_ENTRY_MAX_CHASE_ATR,IRV4_LEVEL_ENTRY_VALIDITY_BARS,IRV4_RETEST_MIN_QUALITY,IRV4_TP_RR,avg_loss,avg_win,combo,days,end_date_utc,ending_equity,entry_execution,fee_bps_per_side,fold,max_drawdown,net_pnl,news_blocked_signals,phase,profit_factor,score,slippage_bps_per_side,starting_equity,strategies,summary_path,symbols,tag,trades,winrate
0.4,2,0.35,2.0,-0.2943,0.3007,1,120,2025-11-02,102.44,next_open,6.0000,1,0.6873,2.44,0,train,2.384,12.028875,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_134511_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c001_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c001_20260701_104508,20,0.700
0.6,2,0.35,2.0,-0.2943,0.3007,2,120,2025-11-02,102.44,next_open,6.0000,1,0.6873,2.44,0,train,2.384,12.028875,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_134534_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c002_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c002_20260701_104508,20,0.700
0.4,4,0.35,2.0,-0.3069,0.2806,3,120,2025-11-02,101.14,next_open,6.0000,1,0.9526,1.14,0,train,1.372,5.973250,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_134556_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c003_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c003_20260701_104508,25,0.600
0.6,4,0.35,2.0,-0.3069,0.2806,4,120,2025-11-02,101.14,next_open,6.0000,1,0.9526,1.14,0,train,1.372,5.973250,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_134619_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c004_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c004_20260701_104508,25,0.600
0.4,2,0.45,2.0,-0.2965,0.2524,5,120,2025-11-02,101.04,next_open,6.0000,1,0.7701,1.04,0,train,1.702,6.161375,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_134641_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c005_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c005_20260701_104508,15,0.667
0.6,2,0.45,2.0,-0.2965,0.2524,6,120,2025-11-02,101.04,next_open,6.0000,1,0.7701,1.04,0,train,1.702,6.161375,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_134703_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c006_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c006_20260701_104508,15,0.667
0.4,4,0.45,2.0,-0.3026,0.2524,7,120,2025-11-02,100.71,next_open,6.0000,1,0.7701,0.71,0,train,1.390,4.587375,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_134726_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c007_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c007_20260701_104508,16,0.625
0.6,4,0.45,2.0,-0.3026,0.2524,8,120,2025-11-02,100.71,next_open,6.0000,1,0.7701,0.71,0,train,1.390,4.587375,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_134748_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c008_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c008_20260701_104508,16,0.625
0.4,2,0.55,2.0,-0.2601,0.1696,9,120,2025-11-02,100.25,next_open,6.0000,1,0.2780,0.25,0,train,1.956,4.474500,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_134810_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c009_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c009_20260701_104508,4,0.750
0.6,2,0.55,2.0,-0.2601,0.1696,10,120,2025-11-02,100.25,next_open,6.0000,1,0.2780,0.25,0,train,1.956,4.474500,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_134833_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c010_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c010_20260701_104508,4,0.750
0.4,4,0.55,2.0,-0.2966,0.1696,11,120,2025-11-02,99.92,next_open,6.0000,1,0.3503,-0.08,0,train,0.858,-1000000000.000000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_134855_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c011_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c011_20260701_104508,5,0.600
0.6,4,0.55,2.0,-0.2966,0.1696,12,120,2025-11-02,99.92,next_open,6.0000,1,0.3503,-0.08,0,train,0.858,-1000000000.000000,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_134917_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c012_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c012_20260701_104508,5,0.600
0.4,2,0.35,2.5,-0.2943,0.2524,13,120,2025-11-02,102.02,next_open,6.0000,1,0.6873,2.02,0,train,2.144,10.328875,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_134938_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c013_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c013_20260701_104508,21,0.714
0.6,2,0.35,2.5,-0.2943,0.2524,14,120,2025-11-02,102.02,next_open,6.0000,1,0.6873,2.02,0,train,2.144,10.328875,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_135001_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c014_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c014_20260701_104508,21,0.714
0.4,4,0.35,2.5,-0.3069,0.2524,15,120,2025-11-02,100.72,next_open,6.0000,1,0.9897,0.72,0,train,1.234,4.390875,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_135023_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c015_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c015_20260701_104508,25,0.600
0.6,4,0.35,2.5,-0.3069,0.2524,16,120,2025-11-02,100.72,next_open,6.0000,1,0.9897,0.72,0,train,1.234,4.390875,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260701_135046_irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c016_20260701_104508/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT,irv4_mechanics_gate_full_ada_doge_sui_20260701_f01_train_c016_20260701_104508,25,0.600
