IRV4_LEVEL_ENTRY_MAX_CHASE_ATR,IRV4_LEVEL_ENTRY_VALIDITY_BARS,IRV4_RETEST_MIN_QUALITY,IRV4_TP_RR,avg_loss,avg_win,combo,days,end_date_utc,ending_equity,entry_execution,fee_bps_per_side,fold,max_drawdown,net_pnl,news_blocked_signals,phase,profit_factor,score,slippage_bps_per_side,starting_equity,strategies,summary_path,symbols,tag,trades,winrate
0.4,2,0.35,2.0,-0.2717,0.2697,1,120,2025-11-02,103.48,next_open,6.0000,1,1.4306,3.48,0,train,1.985,14.181750,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_074445_irv4_wide_gate_20260702_f01_train_c001_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c001_20260702_044439,39,0.667
0.6,2,0.35,2.0,-0.2717,0.2697,2,120,2025-11-02,103.48,next_open,6.0000,1,1.4306,3.48,0,train,1.985,14.181750,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_074536_irv4_wide_gate_20260702_f01_train_c002_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c002_20260702_044439,39,0.667
0.4,4,0.35,2.0,-0.2820,0.2514,3,120,2025-11-02,101.40,next_open,6.0000,1,1.7021,1.40,0,train,1.248,6.168375,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_074627_irv4_wide_gate_20260702_f01_train_c003_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c003_20260702_044439,48,0.583
0.6,4,0.35,2.0,-0.2820,0.2514,4,120,2025-11-02,101.40,next_open,6.0000,1,1.7021,1.40,0,train,1.248,6.168375,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_074718_irv4_wide_gate_20260702_f01_train_c004_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c004_20260702_044439,48,0.583
0.4,2,0.45,2.0,-0.2586,0.2393,5,120,2025-11-02,101.72,next_open,6.0000,1,1.1452,1.72,0,train,1.666,8.180500,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_074809_irv4_wide_gate_20260702_f01_train_c005_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c005_20260702_044439,28,0.643
0.6,2,0.45,2.0,-0.2586,0.2393,6,120,2025-11-02,101.72,next_open,6.0000,1,1.1452,1.72,0,train,1.666,8.180500,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_074859_irv4_wide_gate_20260702_f01_train_c006_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c006_20260702_044439,28,0.643
0.4,4,0.45,2.0,-0.2649,0.2282,7,120,2025-11-02,101.16,next_open,6.0000,1,1.1598,1.16,0,train,1.364,5.998250,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_074949_irv4_wide_gate_20260702_f01_train_c007_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c007_20260702_044439,31,0.613
0.6,4,0.45,2.0,-0.2649,0.2282,8,120,2025-11-02,101.16,next_open,6.0000,1,1.1598,1.16,0,train,1.364,5.998250,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_075039_irv4_wide_gate_20260702_f01_train_c008_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c008_20260702_044439,31,0.613
0.4,2,0.55,2.0,-0.2769,0.1997,9,120,2025-11-02,100.09,next_open,6.0000,1,0.8343,0.09,0,train,1.082,1.791125,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_075129_irv4_wide_gate_20260702_f01_train_c009_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c009_20260702_044439,10,0.600
0.6,2,0.55,2.0,-0.2769,0.1997,10,120,2025-11-02,100.09,next_open,6.0000,1,0.8343,0.09,0,train,1.082,1.791125,2.0000,100.00,inplay_retest_v4,/Users/nikolay.bulgakov/Documents/Work/bot-new/bybit-bot-clean-v28/backtest_runs/portfolio_20260702_075218_irv4_wide_gate_20260702_f01_train_c010_20260702_044439/summary.csv,ADAUSDT;DOGEUSDT;SUIUSDT;DOTUSDT;LTCUSDT;LINKUSDT;SOLUSDT,irv4_wide_gate_20260702_f01_train_c010_20260702_044439,10,0.600
