symbol,side,entry_ts,exit_ts,entry,exit,level,respect,touches,net_r,gross_r,fees_r,reason
BTCUSDT,long,1755867600000,1755871200000,112302.5,113463.25154285715,111945.2,0.8333,3,1.3523204670550406,1.6,0.24767953294495954,tp
XLMUSDT,long,1756342800000,1756368000000,0.37935,0.3848429371428572,0.37735,0.75,4,1.423202783002385,1.6000000000000032,0.17679721699761827,tp
BCHUSDT,long,1756479600000,1756483200000,530.7,537.832342857143,530.4,0.75,6,1.4095167286245283,1.5999999999999899,0.19048327137546153,tp
BTCUSDT,long,1756702800000,1756702800000,107366.7,107666.89657142856,107340.0,1.0,3,0.6844040933178722,1.6,0.9155959066821279,tp
XLMUSDT,short,1756807200000,1756814400000,0.36377,0.3588910057142856,0.36488,0.875,4,1.4091304999625247,1.6,0.1908695000374753,tp
ONDOUSDT,short,1757620800000,1757620800000,1.0607,1.0740434285714286,1.0612,0.8333,3,-1.1271877007408666,-1.0,0.12718770074086666,sl
BTCUSDT,short,1758078000000,1758085200000,116623.3,117089.30057142857,116947.3,0.75,10,-1.400422856624338,-1.0,0.4004228566243381,sl
DOGEUSDT,short,1758157200000,1758207600000,0.28155,0.28611965714285714,0.2837,1.0,4,-1.0985807000212588,-1.0,0.09858070002125875,sl
AVAXUSDT,long,1758423600000,1758441600000,33.017,32.73876571428572,32.827,0.8333,3,-1.189865888973323,-1.0,0.189865888973323,sl
AVAXUSDT,short,1758643200000,1758664800000,35.134,33.39387657142857,35.74,0.8333,3,1.5483122642203389,1.6000000000000012,0.051687735779662285,tp
ATOMUSDT,long,1758776400000,1758798000000,4.07,4.038148571428572,4.066,0.8333,3,-1.2044492285611765,-1.0,0.20444922856117645,sl
ATOMUSDT,long,1758805200000,1758819600000,4.063,3.989165714285714,4.034,0.8333,3,-1.0880458168872378,-1.0,0.0880458168872378,sl
1000PEPEUSDT,long,1758805200000,1758816000000,0.009383,0.009156217142857144,0.009304,0.8,5,-1.0661990072315872,-1.0,0.0661990072315873,sl
BNBUSDT,long,1758837600000,1758837600000,953.1,947.1045714285715,950.0,0.8333,3,-1.254353793366376,-1.0,0.25435379336637604,sl
HYPEUSDT,long,1758841200000,1758841200000,41.1,40.379760000000005,40.736,0.75,6,-1.0913028990336557,-1.0,0.09130289903365585,sl
ETHUSDT,short,1759093200000,1759096800000,4049.29,4066.749542857143,4053.4,1.0,3,-1.3710786733084155,-1.0,0.37107867330841543,sl
BNBUSDT,short,1759370400000,1759374000000,1034.8,1030.1298285714286,1035.7,0.75,6,1.032764291307728,1.5999999999999688,0.5672357086922407,tp
BNBUSDT,short,1759388400000,1759399200000,1035.9,1041.5314285714285,1037.4,0.8333,6,-1.294319634703206,-1.0,0.29431963470320605,sl
1000PEPEUSDT,short,1759442400000,1759453200000,0.010233,0.010056387428571432,0.010307,0.8333,6,1.4516726199720402,1.5999999999999968,0.14832738002795642,tp
TAOUSDT,short,1760090400000,1760094000000,369.8,380.35617142857143,370.12,0.75,4,-1.0560506244146959,-1.0,0.056050624414695875,sl
ETHUSDT,long,1760698800000,1760698800000,3723.41,3811.904262857143,3694.45,0.8333,3,1.4922875981758577,1.6000000000000016,0.10771240182414403,tp
DOGEUSDT,short,1760853600000,1760860800000,0.18995,0.18799790857142862,0.19073,0.9,5,1.350896913493516,1.6000000000000092,0.24910308650649318,tp
1000PEPEUSDT,short,1760864400000,1760868000000,0.006711,0.00687324,0.006843,0.8333,3,-1.0661834319526626,-1.0,0.06618343195266267,sl
DOGEUSDT,short,1760868000000,1760868000000,0.18976,0.19201051428571428,0.19104,0.9,5,-1.1349096079626255,-1.0,0.13490960796262558,sl
XLMUSDT,short,1761526800000,1761526800000,0.33176,0.33348274285714286,0.33278,0.8,10,-1.3081225951970281,-1.0,0.3081225951970282,sl
ETHUSDT,short,1761534000000,1761534000000,4203.8,4220.766285714286,4207.98,0.7857,14,-1.396437977838402,-1.0,0.39643797783840184,sl
