symbol,side,entry_ts,exit_ts,entry,exit,level,respect,touches,net_r,gross_r,fees_r,reason
1000PEPEUSDT,short,1777989600000,1777989600000,0.004114,0.004143091428571428,0.00413,0.8333,3,-1.1131329797682186,-1.0,0.11313297976821858,sl
ONDOUSDT,short,1778022000000,1778072400000,0.3224,0.31367771428571434,0.3275,1.0,3,1.1645157232704402,1.2,0.03548427672955988,tp
HYPEUSDT,short,1779192000000,1779210000000,47.746,48.752045714285714,48.531,1.0,3,-1.0379672607890582,-1.0,0.03796726078905825,sl
TAOUSDT,short,1779300000000,1779332400000,273.52,276.8113714285714,275.23,0.75,8,-1.0664817097519053,-1.0,0.06648170975190522,sl
HYPEUSDT,short,1780066800000,1780066800000,63.53,64.06931428571428,63.644,0.6667,6,-1.0942381860563684,-1.0,0.09423818605636827,sl
1000PEPEUSDT,short,1780873200000,1781002800000,0.002797,0.002798,0.002813,0.8333,3,-0.03420137631293146,-0.010563805384523905,0.023637570928407552,time
ATOMUSDT,short,1780934400000,1780941600000,1.7606,1.7805434285714286,1.7678,0.6667,3,-1.0706237643620524,-1.0,0.07062376436205252,sl
DOGEUSDT,short,1781240400000,1781240400000,0.08697,0.08721817142857143,0.08705,0.8,5,-1.2803545935989047,-1.0,0.2803545935989047,sl
1000PEPEUSDT,short,1781258400000,1781269200000,0.002831,0.0028045794285714294,0.002839,0.75,6,1.097134700233578,1.199999999999996,0.10286529976641796,tp
XRPUSDT,short,1781280000000,1781362800000,1.1278,1.1582457142857143,1.1513,0.6875,8,-1.0296343843843843,-1.0,0.029634384384384264,sl
1000PEPEUSDT,short,1781388000000,1781409600000,0.002863,0.0028369634285714284,0.002873,0.9,5,1.0944377139847294,1.200000000000004,0.10556228601527456,tp
XRPUSDT,short,1781488800000,1781488800000,1.1821,1.192373142857143,1.1878,1.0,4,-1.0920536210924452,-1.0,0.0920536210924452,sl
TAOUSDT,short,1781514000000,1781632800000,273.43,250.65324571428567,288.78,0.6875,8,1.188475408009971,1.2,0.011524591990028909,tp
AVAXUSDT,short,1782028800000,1782050400000,6.284,6.346582857142857,6.287,1.0,3,-1.080328707085464,-1.0,0.08032870708546395,sl
1000PEPEUSDT,short,1782093600000,1782093600000,0.002857,0.002830531428571429,0.002865,0.6667,9,1.0963782383419676,1.2,0.10362176165803236,tp
HYPEUSDT,short,1782752400000,1782752400000,64.715,65.37370857142858,64.999,0.6538,13,-1.0785962142373817,-1.0,0.07859621423738167,sl
ONDOUSDT,short,1782759600000,1782777600000,0.3192,0.3146125714285714,0.3195,0.6667,6,1.1332017937219785,1.2000000000000057,0.06679820627802717,tp
