pair,entry_day,exit_day,held_days,side,entry_z,exit_z,beta,ar1_phi,gross_bps,cost_bps,pnl_bps,reason
BTCUSDT/ETHUSDT,19733,19748,15,long_spread,-1.661914,-0.150371,1.369537,0.938031,398.971707,32.0,366.9717068373088,z_exit
BTCUSDT/ETHUSDT,19772,19792,20,long_spread,-1.775515,-2.64242,1.214971,0.930154,-216.755115,32.0,-248.75511450610503,max_hold
BTCUSDT/ETHUSDT,19809,19829,20,short_spread,1.636983,2.57758,1.014875,0.898773,-217.490025,32.0,-249.4900248150354,max_hold
BTCUSDT/ETHUSDT,19830,19850,20,short_spread,1.950825,2.156296,1.014809,0.927053,-49.821275,32.0,-81.82127469333682,max_hold
BTCUSDT/ETHUSDT,19851,19871,20,short_spread,1.542423,-1.403938,1.063484,0.943489,783.120432,32.0,751.1204322299761,max_hold
BTCUSDT/ETHUSDT,19930,19950,20,short_spread,1.520507,2.512182,0.915103,0.954182,-292.333555,32.0,-324.3335551523186,max_hold
BTCUSDT/ETHUSDT,19958,19972,14,short_spread,1.699888,0.055826,0.459182,0.85093,491.662458,32.0,459.6624582572124,z_exit
BTCUSDT/ETHUSDT,19983,20003,20,short_spread,1.646229,2.094246,0.404536,0.908619,-124.879698,32.0,-156.87969837333003,max_hold
BTCUSDT/ETHUSDT,20010,20030,20,short_spread,2.041486,3.40914,0.293596,0.913539,-459.032324,32.0,-491.03232428902413,max_hold
BTCUSDT/ETHUSDT,20031,20051,20,short_spread,1.905916,6.876975,0.222177,0.956046,-2396.905843,32.0,-2428.905843488824,max_hold
1000PEPEUSDT/SOLUSDT,20099,20104,5,short_spread,1.537942,0.191554,1.925755,0.937794,738.132853,32.0,706.1328527525635,z_exit
ADAUSDT/AVAXUSDT,20099,20119,20,short_spread,2.121834,2.609377,1.691539,0.935728,-271.626379,32.0,-303.6263789539848,max_hold
ADAUSDT/ETHUSDT,20099,20119,20,short_spread,1.704699,1.410242,2.481341,0.94608,194.125993,32.0,162.12599311469742,max_hold
ADAUSDT/SOLUSDT,20099,20108,9,short_spread,2.173053,-0.066309,2.104574,0.968473,1663.207307,32.0,1631.2073072389617,z_exit
AVAXUSDT/XRPUSDT,20099,20119,20,long_spread,-1.829239,-2.997765,0.388892,0.93721,-1001.596646,32.0,-1033.5966460946302,max_hold
BNBUSDT/SOLUSDT,20099,20115,16,short_spread,1.801185,-0.209175,0.457239,0.956507,861.065151,32.0,829.0651514345733,z_exit
BNBUSDT/TAOUSDT,20099,20119,20,short_spread,1.882558,1.489407,0.252186,0.965359,238.142602,32.0,206.142602467943,max_hold
BTCUSDT/SOLUSDT,20099,20108,9,short_spread,2.154671,0.01479,0.990524,0.961247,862.161772,32.0,830.161772122732,z_exit
DOGEUSDT/SOLUSDT,20099,20119,20,short_spread,2.169912,-0.918808,2.737168,0.919926,1626.902778,32.0,1594.9027780260467,max_hold
ONDOUSDT/XRPUSDT,20099,20119,20,long_spread,-1.853743,-1.354271,0.530729,0.916708,455.681306,32.0,423.68130555764185,max_hold
TAOUSDT/WIFUSDT,20099,20119,20,short_spread,1.598996,3.033678,0.864679,0.965386,-1570.090144,32.0,-1602.0901443260282,max_hold
WIFUSDT/XRPUSDT,20099,20119,20,long_spread,-1.947202,-3.31374,0.152098,0.976357,-3067.039076,32.0,-3099.039075935656,max_hold
ADAUSDT/ONDOUSDT,20100,20117,17,short_spread,1.574985,0.192542,1.230719,0.960781,1203.234666,32.0,1171.2346659143598,z_exit
1000PEPEUSDT/XRPUSDT,20101,20121,20,long_spread,-1.545781,-3.966387,0.591733,0.945752,-2899.987135,32.0,-2931.9871346662585,max_hold
AVAXUSDT/BNBUSDT,20101,20121,20,long_spread,-1.554787,-1.5648,2.248916,0.870932,-2.964205,32.0,-34.964205070042084,max_hold
BNBUSDT/ETHUSDT,20101,20121,20,short_spread,1.604868,0.638393,0.552514,0.943461,381.446188,32.0,349.44618765314885,max_hold
BTCUSDT/ETHUSDT,20101,20121,20,short_spread,1.608064,2.814996,1.095666,0.958576,-622.435038,32.0,-654.4350375594639,max_hold
ETHUSDT/XRPUSDT,20101,20121,20,long_spread,-1.724709,-2.71254,0.220321,0.931514,-770.963821,32.0,-802.9638210710598,max_hold
SOLUSDT/XRPUSDT,20101,20108,7,long_spread,-1.524992,0.245167,0.237423,0.963876,1867.75801,32.0,1835.758009630796,z_exit
BNBUSDT/ONDOUSDT,20102,20112,10,short_spread,1.544554,0.124487,0.27797,0.909552,566.918079,32.0,534.9180791665607,z_exit
ADAUSDT/XRPUSDT,20103,20123,20,long_spread,-1.659107,-3.327353,0.741658,0.943247,-1192.015059,32.0,-1224.0150591868924,max_hold
1000PEPEUSDT/ADAUSDT,20104,20124,20,long_spread,-1.567863,-3.662034,0.814569,0.901379,-1490.587115,32.0,-1522.5871150877615,max_hold
BTCUSDT/ONDOUSDT,20104,20124,20,short_spread,1.553295,0.785076,0.538477,0.964466,482.985456,32.0,450.98545611308316,max_hold
1000PEPEUSDT/BTCUSDT,20106,20126,20,long_spread,-1.979566,-7.205804,1.865977,0.901011,-2011.279105,32.0,-2043.279105471998,max_hold
1000PEPEUSDT/SOLUSDT,20106,20126,20,long_spread,-2.342321,-3.074288,1.950353,0.934705,-403.345948,32.0,-435.34594766571865,max_hold
AVAXUSDT/SOLUSDT,20106,20126,20,long_spread,-1.797111,-2.583688,1.194797,0.957876,-460.564447,32.0,-492.56444749570466,max_hold
BTCUSDT/DOGEUSDT,20106,20126,20,short_spread,1.688431,4.266923,0.364935,0.896812,-681.685337,32.0,-713.6853368439813,max_hold
ETHUSDT/SOLUSDT,20106,20126,20,long_spread,-2.293402,-2.327359,0.73835,0.940241,-15.042515,32.0,-47.04251451078215,max_hold
SOLUSDT/SUIUSDT,20106,20124,18,short_spread,1.61081,0.01796,0.22531,0.955157,1616.269186,32.0,1584.2691859696586,z_exit
AVAXUSDT/BTCUSDT,20107,20127,20,long_spread,-2.086318,-5.454724,1.161083,0.926496,-1458.711521,32.0,-1490.711520942182,max_hold
1000PEPEUSDT/DOGEUSDT,20108,20128,20,long_spread,-1.540929,-3.762282,0.685014,0.901642,-1561.117158,32.0,-1593.1171580196124,max_hold
1000PEPEUSDT/ONDOUSDT,20114,20134,20,long_spread,-1.533687,-3.056084,1.051615,0.937112,-1319.71378,32.0,-1351.713780320591,max_hold
1000PEPEUSDT/BNBUSDT,20115,20123,8,long_spread,-1.62973,0.023566,3.261349,0.918102,715.670957,32.0,683.6709569856725,z_exit
1000PEPEUSDT/SUIUSDT,20115,20135,20,long_spread,-1.518824,-2.546142,0.565162,0.932309,-1224.998418,32.0,-1256.9984179856483,max_hold
AVAXUSDT/DOGEUSDT,20116,20136,20,long_spread,-1.54569,-3.060011,0.417706,0.93448,-1130.82216,32.0,-1162.822160141,max_hold
AVAXUSDT/ONDOUSDT,20116,20136,20,long_spread,-1.756998,-3.517855,0.674378,0.946541,-1170.812481,32.0,-1202.8124810147813,max_hold
BNBUSDT/XRPUSDT,20116,20131,15,long_spread,-1.504894,0.000267,0.147132,0.898454,728.436738,32.0,696.4367381947786,z_exit
ETHUSDT/ONDOUSDT,20116,20136,20,long_spread,-1.677527,-3.127633,0.421834,0.882867,-576.438076,32.0,-608.438076464373,max_hold
BTCUSDT/SUIUSDT,20117,20137,20,short_spread,1.728615,1.473046,0.323037,0.949158,153.101611,32.0,121.1016107721992,max_hold
ADAUSDT/AVAXUSDT,20120,20140,20,short_spread,2.232175,3.968442,1.785946,0.95026,-1134.301087,32.0,-1166.301087021904,max_hold
ADAUSDT/ETHUSDT,20120,20140,20,short_spread,1.796293,3.775321,2.95981,0.86713,-769.257273,32.0,-801.2572732039313,max_hold
AVAXUSDT/XRPUSDT,20120,20140,20,long_spread,-2.071389,-3.701469,0.31913,0.954713,-1747.614162,32.0,-1779.614162309054,max_hold
TAOUSDT/WIFUSDT,20120,20140,20,short_spread,1.950243,4.207851,0.69564,0.974453,-2589.523124,32.0,-2621.523123735774,max_hold
WIFUSDT/XRPUSDT,20120,20140,20,long_spread,-2.366611,-3.826139,0.003272,0.978193,-4481.181857,32.0,-4513.181856603874,max_hold
ADAUSDT/BNBUSDT,20121,20132,11,short_spread,1.524067,0.177479,4.070996,0.907836,567.49852,32.0,535.4985198707533,z_exit
AVAXUSDT/SUIUSDT,20121,20141,20,long_spread,-2.102839,-2.755481,0.370432,0.944087,-577.616351,32.0,-609.6163505289809,max_hold
BNBUSDT/BTCUSDT,20121,20135,14,long_spread,-2.444689,-0.191214,0.464902,0.876097,634.822782,32.0,602.8227817109032,z_exit
DOGEUSDT/ETHUSDT,20121,20141,20,short_spread,1.717908,1.925546,3.393881,0.904645,-97.429696,32.0,-129.42969647876794,max_hold
1000PEPEUSDT/XRPUSDT,20122,20142,20,long_spread,-2.479838,-3.078581,0.48103,0.975759,-946.085202,32.0,-978.0852020187388,max_hold
