train_days,z_entry,z_exit,max_hold_days,ar1_phi_max,cost_bps_per_leg_side,trades,net_bps,mean_bps,pf,win_rate,positive_folds,fold_net_bps,positive_pairs,pairs_traded,top_positive_pair_share
120,1.5,0.25,10,0.98,8.0,2611,-315921.668,-120.9964,0.6066,0.4512,0,"[-102744.2103, -75859.9689, -36955.7128, -100361.776]",55,190,0.1042
120,1.5,0.25,20,0.98,8.0,1771,-285352.1415,-161.1249,0.6424,0.4675,0,"[-113957.9743, -67837.0772, -37964.5763, -65592.5137]",67,190,0.045
120,1.5,0.5,10,0.98,8.0,2626,-331461.1188,-126.2228,0.5888,0.4539,0,"[-105091.3686, -80944.8022, -35898.1749, -109526.7732]",47,190,0.1014
120,1.5,0.5,20,0.98,8.0,1811,-309031.148,-170.6412,0.6166,0.4821,0,"[-113240.2168, -71092.087, -45819.1774, -78879.6668]",58,190,0.0489
120,2.0,0.25,10,0.98,8.0,1675,-184691.7955,-110.2638,0.6507,0.474,0,"[-69099.7141, -46872.3187, -1247.576, -67472.1867]",63,190,0.074
120,2.0,0.25,20,0.98,8.0,1204,-232923.0159,-193.4577,0.5814,0.4444,0,"[-76191.9007, -62952.4664, -23224.7322, -70553.9165]",57,190,0.0559
120,2.0,0.5,10,0.98,8.0,1676,-186945.2095,-111.5425,0.6467,0.4749,0,"[-68456.0529, -47099.1309, -580.3031, -70809.7226]",63,190,0.077
120,2.0,0.5,20,0.98,8.0,1211,-238162.9738,-196.6664,0.5726,0.4467,0,"[-75130.2866, -65181.6747, -21893.8337, -75957.1788]",56,190,0.0675
180,1.5,0.25,10,0.98,8.0,1843,-146624.8166,-79.5577,0.7161,0.4531,0,"[-37871.0961, -80621.1407, -14841.1691, -13291.4107]",60,185,0.0608
180,1.5,0.25,20,0.98,8.0,1197,-130357.125,-108.9032,0.7401,0.4595,1,"[-29858.9819, -85684.0838, 4348.2739, -19162.3332]",68,184,0.0446
180,1.5,0.5,10,0.98,8.0,1850,-161520.1338,-87.3082,0.6902,0.4535,0,"[-37272.3558, -79842.7, -19025.0785, -25379.9995]",59,185,0.0638
180,1.5,0.5,20,0.98,8.0,1214,-154930.8513,-127.6201,0.694,0.4712,0,"[-35230.2445, -81592.4565, -7143.6281, -30964.5222]",64,185,0.0687
180,2.0,0.25,10,0.98,8.0,1111,-119539.0199,-107.5959,0.6528,0.4311,1,"[-42108.0937, -65160.8961, 7094.5777, -19364.6078]",58,182,0.0737
180,2.0,0.25,20,0.98,8.0,780,-109024.3645,-139.7748,0.6838,0.4449,1,"[-38552.523, -53758.1206, 13762.6143, -30476.3353]",64,180,0.081
180,2.0,0.5,10,0.98,8.0,1114,-125892.3498,-113.0093,0.6354,0.4318,1,"[-41125.0553, -64278.8484, 6550.0345, -27038.4806]",58,182,0.0717
180,2.0,0.5,20,0.98,8.0,786,-114064.8625,-145.1207,0.6709,0.4529,1,"[-41117.0468, -51930.1247, 10345.7832, -31363.4742]",66,180,0.058
