symbol,passed,coverage,rows,expected_rows,max_gap_bars,first_ts,last_ts
BTCUSDT,True,1.0,103680,103680,0,1752019200000,1783122900000
ETHUSDT,True,1.0,103680,103680,0,1752019200000,1783122900000
SOLUSDT,False,0.990037,102647,103680,1033,1752019200000,1783122900000
ADAUSDT,False,0.990037,102647,103680,1033,1752019200000,1783122900000
LINKUSDT,False,0.990037,102647,103680,1033,1752019200000,1783122900000
DOTUSDT,False,0.936111,97056,103680,0,1752019200000,1781135700000
LTCUSDT,False,0.990037,102647,103680,1033,1752019200000,1783122900000
SUIUSDT,False,0.990037,102647,103680,1033,1752019200000,1783122900000
ATOMUSDT,True,1.0,103680,103680,0,1752019200000,1783122900000
AVAXUSDT,True,1.0,103680,103680,0,1752019200000,1783122900000
NEARUSDT,False,0.053926,5591,103680,0,1781445900000,1783122900000
BNBUSDT,True,1.0,103680,103680,0,1752019200000,1783122900000
