removed_symbol,trades,wins,losses,win_rate_pct,net_r,profit_factor,max_drawdown_r,average_r,return_pct,max_drawdown_pct,capacity_rejections,accepted
BTCUSDT,38,19,19,50.0,2.160405430185892,1.173128269958515,5.931157057683084,0.05685277447857611,0.8444055373814319,3.382551624070983,0,38
ETHUSDT,38,19,19,50.0,2.558743921119251,1.2050498957929974,5.60795116102152,0.06733536634524344,1.0447218460870378,3.0146367210692246,0,38
BNBUSDT,37,18,19,48.648648648648646,1.632354813592986,1.1308119119157605,5.60795116102152,0.0441176976646753,0.7894239711702333,3.0168986494370746,0,37
XRPUSDT,34,17,17,50.0,2.452461275233318,1.2261668479934391,5.60795116102152,0.07213121397745052,1.0040561883072563,2.8849924783497025,0,34
DOGEUSDT,38,19,19,50.0,1.9660553143158912,1.1575536473174697,5.60795116102152,0.05173829774515503,0.7460301946005332,3.0173104045663934,0,38
ADAUSDT,36,18,18,50.0,1.7354794397364959,1.1397261017477798,5.549892262573256,0.048207762214902666,0.6306920829741047,3.2081408836874337,0,36
SOLUSDT,37,20,17,54.054054054054056,4.22164065691613,1.3776404045568311,5.60795116102152,0.11409839613286839,1.8898203631429356,2.8849924783497025,0,37
AVAXUSDT,37,20,17,54.054054054054056,4.075647285240504,1.3598808855831115,4.454300321225906,0.11015262933082444,1.8156741273215538,2.5009589277849633,0,37
SUIUSDT,35,19,16,54.285714285714285,3.8246152287908295,1.3545528189358629,5.000529064386465,0.10927472082259512,1.6894665631850048,2.5887558878102146,0,35
1000PEPEUSDT,34,18,16,52.94117647058823,4.3096643007112,1.4738997705337418,4.4936015716413875,0.12675483237385882,1.9508028815437006,2.3377092772392363,0,34
WIFUSDT,36,19,17,52.77777777777778,1.826239927145148,1.1499218145272734,5.318288518073617,0.050728886865143,0.6778613949536272,2.873967805146226,0,36
TAOUSDT,38,20,18,52.63157894736842,4.1085755734165925,1.3638463750063994,4.421372033049819,0.10812040982675243,1.8146342285658479,2.452990683294709,0,38
ONDOUSDT,30,14,16,46.666666666666664,0.1920741789344549,1.0179400844764672,6.994085455728089,0.0064024726311484965,-0.127056621404098,3.7463975023222473,0,30
