trades,net_r,pf,win_rate,avg_r,tag,month
76,-12.14,0.7670031111034341,0.3816,-0.1597,bos_long_rr1.5_sl1.0_h12_b0.1,2025-08
90,-43.2466,0.42898979362794937,0.3111,-0.4805,bos_long_rr1.5_sl1.0_h12_b0.1,2025-09
99,-27.3199,0.6198155848348725,0.3636,-0.276,bos_long_rr1.5_sl1.0_h12_b0.1,2025-10
70,-20.2957,0.6025788891390975,0.3857,-0.2899,bos_long_rr1.5_sl1.0_h12_b0.1,2025-11
107,-42.207,0.5190737666344963,0.3364,-0.3945,bos_long_rr1.5_sl1.0_h12_b0.1,2025-12
115,-48.7278,0.47245387687580725,0.3391,-0.4237,bos_long_rr1.5_sl1.0_h12_b0.1,2026-01
37,-4.3466,0.8185249358077783,0.4595,-0.1175,bos_long_rr1.5_sl1.0_h12_b0.1,2026-02
30,-10.0434,0.5608194678269235,0.3333,-0.3348,bos_long_rr1.5_sl1.0_h12_b0.1,2026-03
33,-6.7413,0.7006713614606552,0.4242,-0.2043,bos_long_rr1.5_sl1.0_h12_b0.1,2026-04
28,-21.3567,0.23751669082522298,0.2143,-0.7627,bos_long_rr1.5_sl1.0_h12_b0.1,2026-05
6,1.7841,1.7603562904875552,0.6667,0.2974,bos_long_rr1.5_sl1.0_h12_b0.1,2026-06
36,-9.9899,0.5950653414618328,0.3333,-0.2775,bos_short_rr1.5_sl1.0_h12_b0.1,2025-08
106,-42.1132,0.5088874013709525,0.3491,-0.3973,bos_short_rr1.5_sl1.0_h12_b0.1,2025-09
90,-5.7749,0.8961942629934678,0.4333,-0.0642,bos_short_rr1.5_sl1.0_h12_b0.1,2025-10
108,-0.901,0.985944473650958,0.463,-0.0083,bos_short_rr1.5_sl1.0_h12_b0.1,2025-11
86,-17.4515,0.7033667109170366,0.3953,-0.2029,bos_short_rr1.5_sl1.0_h12_b0.1,2025-12
133,-33.6317,0.6479789907566447,0.406,-0.2529,bos_short_rr1.5_sl1.0_h12_b0.1,2026-01
60,-6.7041,0.823928921291834,0.4,-0.1117,bos_short_rr1.5_sl1.0_h12_b0.1,2026-02
32,-7.1531,0.6696531244660167,0.3438,-0.2235,bos_short_rr1.5_sl1.0_h12_b0.1,2026-03
23,-6.1643,0.6274942289795868,0.3478,-0.268,bos_short_rr1.5_sl1.0_h12_b0.1,2026-04
30,-12.463,0.5001002767638683,0.3333,-0.4154,bos_short_rr1.5_sl1.0_h12_b0.1,2026-05
13,7.7325,2.7124349462960913,0.6923,0.5948,bos_short_rr1.5_sl1.0_h12_b0.1,2026-06
7,-2.1286,0.5693969615439078,0.2857,-0.3041,choch_long_rr1.5_sl1.0_h12_b0.1,2025-08
34,-6.9501,0.6811061557097237,0.4412,-0.2044,choch_long_rr1.5_sl1.0_h12_b0.1,2025-09
40,-8.6539,0.6846016473503901,0.4,-0.2163,choch_long_rr1.5_sl1.0_h12_b0.1,2025-10
33,-13.1844,0.48893712690906277,0.303,-0.3995,choch_long_rr1.5_sl1.0_h12_b0.1,2025-11
38,-11.4332,0.6071969683955928,0.3684,-0.3009,choch_long_rr1.5_sl1.0_h12_b0.1,2025-12
49,-15.179,0.5877836889544277,0.3673,-0.3098,choch_long_rr1.5_sl1.0_h12_b0.1,2026-01
14,-2.6403,0.7076014972646127,0.4286,-0.1886,choch_long_rr1.5_sl1.0_h12_b0.1,2026-02
7,1.9581,1.5508481728415902,0.5714,0.2797,choch_long_rr1.5_sl1.0_h12_b0.1,2026-03
11,1.4861,1.2504930301549042,0.5455,0.1351,choch_long_rr1.5_sl1.0_h12_b0.1,2026-04
7,-1.725,0.5933521923620935,0.4286,-0.2464,choch_long_rr1.5_sl1.0_h12_b0.1,2026-05
1,1.3768,inf,1.0,1.3768,choch_long_rr1.5_sl1.0_h12_b0.1,2026-06
18,-10.0895,0.35042652502816674,0.2222,-0.5605,choch_short_rr1.5_sl1.0_h12_b0.1,2025-08
29,-14.7507,0.42977037266120305,0.3103,-0.5086,choch_short_rr1.5_sl1.0_h12_b0.1,2025-09
33,0.6339,1.032419080155268,0.4848,0.0192,choch_short_rr1.5_sl1.0_h12_b0.1,2025-10
37,-9.3356,0.6379838528296327,0.3514,-0.2523,choch_short_rr1.5_sl1.0_h12_b0.1,2025-11
49,-30.3743,0.30236409279977217,0.2449,-0.6199,choch_short_rr1.5_sl1.0_h12_b0.1,2025-12
38,-14.4466,0.5241583525745962,0.3421,-0.3802,choch_short_rr1.5_sl1.0_h12_b0.1,2026-01
20,-6.8795,0.5531196206437364,0.35,-0.344,choch_short_rr1.5_sl1.0_h12_b0.1,2026-02
9,-6.4328,0.2278848692896752,0.2222,-0.7148,choch_short_rr1.5_sl1.0_h12_b0.1,2026-03
10,-1.3084,0.7974550295674789,0.4,-0.1308,choch_short_rr1.5_sl1.0_h12_b0.1,2026-04
15,-3.2643,0.6955483636295806,0.4,-0.2176,choch_short_rr1.5_sl1.0_h12_b0.1,2026-05
3,-3.3674,0.0,0.0,-1.1225,choch_short_rr1.5_sl1.0_h12_b0.1,2026-06
