trades,net_r,pf,win_rate,avg_r,tag,symbol
167,-34.907,0.7014502843350988,0.3772,-0.209,bos_long_rr1.5_sl1.0_h12_b0.1,LINKUSDT
166,-59.2171,0.540529216463857,0.3614,-0.3567,bos_long_rr1.5_sl1.0_h12_b0.1,ETHUSDT
190,-68.5817,0.5255995572925674,0.3316,-0.361,bos_long_rr1.5_sl1.0_h12_b0.1,SOLUSDT
168,-71.9351,0.48700890272045005,0.3571,-0.4282,bos_long_rr1.5_sl1.0_h12_b0.1,BTCUSDT
172,-23.5603,0.7941963408295809,0.407,-0.137,bos_short_rr1.5_sl1.0_h12_b0.1,ETHUSDT
189,-29.2914,0.768613699720912,0.3968,-0.155,bos_short_rr1.5_sl1.0_h12_b0.1,SOLUSDT
168,-29.7793,0.7284813196592168,0.4048,-0.1773,bos_short_rr1.5_sl1.0_h12_b0.1,LINKUSDT
188,-51.9832,0.6273696555066042,0.3989,-0.2765,bos_short_rr1.5_sl1.0_h12_b0.1,BTCUSDT
53,-3.3883,0.8944813131989449,0.4717,-0.0639,choch_long_rr1.5_sl1.0_h12_b0.1,ETHUSDT
54,-13.3322,0.6574231577649072,0.463,-0.2469,choch_long_rr1.5_sl1.0_h12_b0.1,BTCUSDT
69,-15.3391,0.6666724614879798,0.3623,-0.2223,choch_long_rr1.5_sl1.0_h12_b0.1,SOLUSDT
65,-25.0139,0.5153857032980019,0.3077,-0.3848,choch_long_rr1.5_sl1.0_h12_b0.1,LINKUSDT
66,-17.4242,0.6330503602273613,0.3636,-0.264,choch_short_rr1.5_sl1.0_h12_b0.1,LINKUSDT
61,-19.6405,0.5741564653284592,0.3279,-0.322,choch_short_rr1.5_sl1.0_h12_b0.1,SOLUSDT
59,-20.2371,0.5509562408053769,0.339,-0.343,choch_short_rr1.5_sl1.0_h12_b0.1,ETHUSDT
75,-42.3134,0.36124160668566735,0.2933,-0.5642,choch_short_rr1.5_sl1.0_h12_b0.1,BTCUSDT
