trades,net_r,pf,win_rate,avg_r,tag,month
52,-37.3826,0.2098188712906028,0.3269,-0.7189,bos_long_rr1.0_sl0.8_h12_b0.1_cd0,2026-04
112,-44.5638,0.42716517214429683,0.4732,-0.3979,bos_long_rr1.0_sl0.8_h12_b0.1_cd0,2026-05
106,-51.0485,0.34130032813368966,0.4623,-0.4816,bos_long_rr1.0_sl0.8_h12_b0.1_cd0,2026-06
1,-1.4682,0.0,0.0,-1.4682,bos_long_rr1.0_sl0.8_h12_b0.1_cd0,2026-07
25,-19.805,0.1626642539446314,0.28,-0.7922,bos_long_rr1.0_sl0.8_h12_b0.1_cd10,2026-04
52,-25.9523,0.338219956701236,0.4231,-0.4991,bos_long_rr1.0_sl0.8_h12_b0.1_cd10,2026-05
54,-20.3321,0.4226098858970063,0.4815,-0.3765,bos_long_rr1.0_sl0.8_h12_b0.1_cd10,2026-06
1,-1.4682,0.0,0.0,-1.4682,bos_long_rr1.0_sl0.8_h12_b0.1_cd10,2026-07
20,-10.9856,0.27782379468570456,0.4,-0.5493,bos_long_rr1.0_sl0.8_h12_b0.1_cd20,2026-04
43,-13.4407,0.49874506323165796,0.5116,-0.3126,bos_long_rr1.0_sl0.8_h12_b0.1_cd20,2026-05
43,-14.3913,0.45232332458043156,0.4884,-0.3347,bos_long_rr1.0_sl0.8_h12_b0.1_cd20,2026-06
30,-24.7979,0.145053300787445,0.2667,-0.8266,bos_long_rr1.0_sl0.8_h12_b0.1_cd5,2026-04
64,-28.8081,0.3809901373041965,0.4531,-0.4501,bos_long_rr1.0_sl0.8_h12_b0.1_cd5,2026-05
62,-25.3043,0.3961853992373662,0.4839,-0.4081,bos_long_rr1.0_sl0.8_h12_b0.1_cd5,2026-06
1,-1.4682,0.0,0.0,-1.4682,bos_long_rr1.0_sl0.8_h12_b0.1_cd5,2026-07
49,-35.1472,0.21070738827756566,0.3265,-0.7173,bos_long_rr1.0_sl0.8_h12_b0.2_cd0,2026-04
106,-42.1484,0.42517749937946814,0.4717,-0.3976,bos_long_rr1.0_sl0.8_h12_b0.2_cd0,2026-05
97,-47.9834,0.33287081579196165,0.4639,-0.4947,bos_long_rr1.0_sl0.8_h12_b0.2_cd0,2026-06
1,-1.4682,0.0,0.0,-1.4682,bos_long_rr1.0_sl0.8_h12_b0.2_cd0,2026-07
23,-19.1811,0.14132035688224945,0.2609,-0.834,bos_long_rr1.0_sl0.8_h12_b0.2_cd10,2026-04
50,-23.0581,0.3648116315714081,0.44,-0.4612,bos_long_rr1.0_sl0.8_h12_b0.2_cd10,2026-05
49,-18.3667,0.4142356426865167,0.4898,-0.3748,bos_long_rr1.0_sl0.8_h12_b0.2_cd10,2026-06
1,-1.4682,0.0,0.0,-1.4682,bos_long_rr1.0_sl0.8_h12_b0.2_cd10,2026-07
19,-9.6073,0.3056101650813843,0.4211,-0.5056,bos_long_rr1.0_sl0.8_h12_b0.2_cd20,2026-04
41,-12.3557,0.5123552047360632,0.5122,-0.3014,bos_long_rr1.0_sl0.8_h12_b0.2_cd20,2026-05
39,-11.1523,0.5115367432570933,0.5385,-0.286,bos_long_rr1.0_sl0.8_h12_b0.2_cd20,2026-06
1,-1.4682,0.0,0.0,-1.4682,bos_long_rr1.0_sl0.8_h12_b0.2_cd20,2026-07
28,-19.8947,0.20489261192419286,0.3214,-0.7105,bos_long_rr1.0_sl0.8_h12_b0.2_cd5,2026-04
60,-29.1266,0.34949984031517095,0.4333,-0.4854,bos_long_rr1.0_sl0.8_h12_b0.2_cd5,2026-05
56,-22.482,0.3951036815213619,0.5,-0.4015,bos_long_rr1.0_sl0.8_h12_b0.2_cd5,2026-06
1,-1.4682,0.0,0.0,-1.4682,bos_long_rr1.0_sl0.8_h12_b0.2_cd5,2026-07
52,-36.6897,0.2129376179852411,0.3269,-0.7056,bos_long_rr1.0_sl0.8_h6_b0.1_cd0,2026-04
114,-43.2773,0.42746033446975257,0.4649,-0.3796,bos_long_rr1.0_sl0.8_h6_b0.1_cd0,2026-05
106,-49.2491,0.3454347057525711,0.4717,-0.4646,bos_long_rr1.0_sl0.8_h6_b0.1_cd0,2026-06
2,-0.8317,0.4335240430459065,0.5,-0.4158,bos_long_rr1.0_sl0.8_h6_b0.1_cd0,2026-07
25,-20.0212,0.16119085325490393,0.28,-0.8008,bos_long_rr1.0_sl0.8_h6_b0.1_cd10,2026-04
53,-29.6003,0.2937174898592221,0.3962,-0.5585,bos_long_rr1.0_sl0.8_h6_b0.1_cd10,2026-05
55,-18.5177,0.4554434481886541,0.5091,-0.3367,bos_long_rr1.0_sl0.8_h6_b0.1_cd10,2026-06
2,-0.8317,0.4335240430459065,0.5,-0.4158,bos_long_rr1.0_sl0.8_h6_b0.1_cd10,2026-07
20,-11.2018,0.27393051594503504,0.4,-0.5601,bos_long_rr1.0_sl0.8_h6_b0.1_cd20,2026-04
43,-15.4569,0.447243351106629,0.4884,-0.3595,bos_long_rr1.0_sl0.8_h6_b0.1_cd20,2026-05
44,-10.5087,0.5594335232489404,0.5682,-0.2388,bos_long_rr1.0_sl0.8_h6_b0.1_cd20,2026-06
2,-0.8317,0.4335240430459065,0.5,-0.4158,bos_long_rr1.0_sl0.8_h6_b0.1_cd20,2026-07
30,-25.0141,0.14398009677838844,0.2667,-0.8338,bos_long_rr1.0_sl0.8_h6_b0.1_cd5,2026-04
64,-28.7057,0.3673591276138087,0.4375,-0.4485,bos_long_rr1.0_sl0.8_h6_b0.1_cd5,2026-05
62,-23.7364,0.4200718789931078,0.5161,-0.3828,bos_long_rr1.0_sl0.8_h6_b0.1_cd5,2026-06
2,-0.8317,0.4335240430459065,0.5,-0.4158,bos_long_rr1.0_sl0.8_h6_b0.1_cd5,2026-07
49,-35.3624,0.1990160525677993,0.3061,-0.7217,bos_long_rr1.0_sl0.8_h6_b0.2_cd0,2026-04
