trades,net_r,pf,win_rate,avg_r,tag,symbol
52,-2.2843,0.9149467742475974,0.5192,-0.0439,bos_long_rr1.0_sl0.8_h12_b0.1_cd0,XAUUSD
63,-33.4453,0.29643201989199924,0.4444,-0.5309,bos_long_rr1.0_sl0.8_h12_b0.1_cd0,EURUSD
64,-46.7696,0.20520284749518647,0.3438,-0.7308,bos_long_rr1.0_sl0.8_h12_b0.1_cd0,GBPUSD
92,-51.9639,0.26638336921610845,0.4565,-0.5648,bos_long_rr1.0_sl0.8_h12_b0.1_cd0,USDJPY
22,-3.5116,0.7226092863800813,0.4545,-0.1596,bos_long_rr1.0_sl0.8_h12_b0.1_cd10,XAUUSD
30,-8.7637,0.48203858247239895,0.5333,-0.2921,bos_long_rr1.0_sl0.8_h12_b0.1_cd10,EURUSD
45,-23.1315,0.30106389729055183,0.4444,-0.514,bos_long_rr1.0_sl0.8_h12_b0.1_cd10,USDJPY
35,-32.1508,0.12813754203275846,0.2571,-0.9186,bos_long_rr1.0_sl0.8_h12_b0.1_cd10,GBPUSD
19,-0.2189,0.9766244860910888,0.5263,-0.0115,bos_long_rr1.0_sl0.8_h12_b0.1_cd20,XAUUSD
27,-8.184,0.4618798698096459,0.5185,-0.3031,bos_long_rr1.0_sl0.8_h12_b0.1_cd20,EURUSD
32,-10.2955,0.4504465072087028,0.5312,-0.3217,bos_long_rr1.0_sl0.8_h12_b0.1_cd20,USDJPY
28,-20.1192,0.19509033589911826,0.3571,-0.7185,bos_long_rr1.0_sl0.8_h12_b0.1_cd20,GBPUSD
26,-1.8648,0.8643840996029264,0.5,-0.0717,bos_long_rr1.0_sl0.8_h12_b0.1_cd5,XAUUSD
34,-6.6923,0.6059041068463141,0.5882,-0.1968,bos_long_rr1.0_sl0.8_h12_b0.1_cd5,EURUSD
39,-33.8051,0.15104157510767338,0.2821,-0.8668,bos_long_rr1.0_sl0.8_h12_b0.1_cd5,GBPUSD
58,-38.0163,0.2140244747076081,0.3966,-0.6555,bos_long_rr1.0_sl0.8_h12_b0.1_cd5,USDJPY
52,-6.2909,0.7832868850482454,0.4808,-0.121,bos_long_rr1.0_sl0.8_h12_b0.2_cd0,XAUUSD
57,-31.595,0.2823917398394665,0.4386,-0.5543,bos_long_rr1.0_sl0.8_h12_b0.2_cd0,EURUSD
60,-40.9814,0.22758945652276344,0.3667,-0.683,bos_long_rr1.0_sl0.8_h12_b0.2_cd0,GBPUSD
84,-47.8799,0.26490384467760414,0.4643,-0.57,bos_long_rr1.0_sl0.8_h12_b0.2_cd0,USDJPY
21,-4.4263,0.6503519151927832,0.4286,-0.2108,bos_long_rr1.0_sl0.8_h12_b0.2_cd10,XAUUSD
27,-9.1757,0.4341506431998421,0.5185,-0.3398,bos_long_rr1.0_sl0.8_h12_b0.2_cd10,EURUSD
43,-20.7704,0.3114038868297341,0.4651,-0.483,bos_long_rr1.0_sl0.8_h12_b0.2_cd10,USDJPY
32,-27.7017,0.14563948198705273,0.2812,-0.8657,bos_long_rr1.0_sl0.8_h12_b0.2_cd10,GBPUSD
19,-0.2149,0.977054816459886,0.5263,-0.0113,bos_long_rr1.0_sl0.8_h12_b0.2_cd20,XAUUSD
32,-8.3848,0.5269319521786474,0.5938,-0.262,bos_long_rr1.0_sl0.8_h12_b0.2_cd20,USDJPY
24,-8.4831,0.4108180940540766,0.5,-0.3535,bos_long_rr1.0_sl0.8_h12_b0.2_cd20,EURUSD
25,-17.5007,0.20395278491664579,0.36,-0.7,bos_long_rr1.0_sl0.8_h12_b0.2_cd20,GBPUSD
26,-3.8781,0.7386143819043318,0.4615,-0.1492,bos_long_rr1.0_sl0.8_h12_b0.2_cd5,XAUUSD
32,-12.3969,0.3927464033270143,0.5,-0.3874,bos_long_rr1.0_sl0.8_h12_b0.2_cd5,EURUSD
35,-27.9933,0.17685406540283524,0.3143,-0.7998,bos_long_rr1.0_sl0.8_h12_b0.2_cd5,GBPUSD
52,-28.7032,0.2672689537920348,0.4615,-0.552,bos_long_rr1.0_sl0.8_h12_b0.2_cd5,USDJPY
52,-1.1078,0.9555434272253368,0.5385,-0.0213,bos_long_rr1.0_sl0.8_h6_b0.1_cd0,XAUUSD
63,-33.2914,0.2973948352566754,0.4444,-0.5284,bos_long_rr1.0_sl0.8_h6_b0.1_cd0,EURUSD
66,-43.048,0.22723143922938557,0.3636,-0.6522,bos_long_rr1.0_sl0.8_h6_b0.1_cd0,GBPUSD
93,-52.6006,0.25814549772792017,0.4409,-0.5656,bos_long_rr1.0_sl0.8_h6_b0.1_cd0,USDJPY
22,-2.9268,0.7561020324830626,0.5,-0.133,bos_long_rr1.0_sl0.8_h6_b0.1_cd10,XAUUSD
