trades,net_r,pf,win_rate,avg_r,tag,symbols,positive_symbols,years,positive_years,months,positive_months,worst_month_r,top_symbol_frac
81,-0.8564,0.9796565075896144,0.4938,-0.0106,choch_short_rr1.5_sl1.0_h6_b0.2_cd0,4,2,1,0,4,2,-1.8581,0.4198
106,-3.09,0.9570858962589733,0.4623,-0.0292,bos_short_rr2.0_sl1.0_h6_b0.1_cd20,4,2,1,0,4,2,-3.3987,0.3113
85,-3.4487,0.9226032177778974,0.4824,-0.0406,choch_short_rr1.5_sl1.0_h6_b0.1_cd0,4,1,1,0,4,1,-3.4213,0.4235
106,-3.6404,0.9529565619677501,0.4434,-0.0343,bos_short_rr2.0_sl1.0_h12_b0.1_cd20,4,2,1,0,4,2,-5.0286,0.3113
76,-4.0943,0.9288170659619597,0.4474,-0.0539,choch_short_rr2.0_sl0.8_h12_b0.2_cd0,4,2,1,0,4,1,-2.4966,0.4211
72,-4.6325,0.9076092484488526,0.4167,-0.0643,choch_short_rr2.0_sl1.0_h12_b0.2_cd0,4,1,1,0,4,2,-8.5978,0.4306
54,-4.7723,0.8745659893340483,0.4074,-0.0884,choch_short_rr2.0_sl1.0_h12_b0.2_cd5,4,1,1,0,4,2,-7.7353,0.4074
78,-4.7959,0.9076749227078995,0.4487,-0.0615,choch_short_rr2.0_sl0.8_h6_b0.2_cd0,4,2,1,0,4,1,-3.3737,0.4103
87,-5.1529,0.8645132452507724,0.5747,-0.0592,choch_short_rr1.0_sl1.0_h6_b0.2_cd0,4,1,1,0,4,2,-5.2038,0.4368
75,-5.1795,0.8807468088633476,0.4267,-0.0691,choch_short_rr2.0_sl1.0_h6_b0.2_cd0,4,2,1,0,4,2,-7.5508,0.4133
79,-5.2385,0.8974997651994241,0.4937,-0.0663,choch_short_rr1.5_sl1.0_h12_b0.2_cd0,4,1,1,0,4,0,-1.8724,0.4304
91,-5.9856,0.8474396127877903,0.5714,-0.0658,choch_short_rr1.0_sl1.0_h6_b0.1_cd0,4,1,1,0,4,2,-7.0074,0.4396
106,-6.1213,0.9087674899695359,0.5094,-0.0577,bos_short_rr1.5_sl1.0_h6_b0.1_cd20,4,2,1,0,4,1,-3.6165,0.3113
80,-6.4802,0.8606681273127195,0.425,-0.081,choch_short_rr2.0_sl1.0_h6_b0.1_cd0,4,2,1,0,4,1,-8.5602,0.425
103,-6.5124,0.9082180139271173,0.4466,-0.0632,bos_short_rr2.0_sl1.0_h6_b0.2_cd20,4,2,1,0,4,1,-3.1038,0.301
