market,event,side,tp_rr,sl_atr,max_hold,buffer_atr,cooldown_bars,trades,net_r,pf,win_rate,symbols,positive_symbols,top_symbol_frac,preflight_go,preflight_reasons
fx,bos,long,1.0,0.8,6,0.1,0,274,-130.0478,0.34620402298706104,0.4416,4,0,0.3394,False,low_quality_pf_0.35<0.80
fx,bos,long,1.0,0.8,6,0.1,5,158,-78.2879,0.33083776162688827,0.4367,4,0,0.3671,False,low_quality_pf_0.33<0.80
fx,bos,long,1.0,0.8,6,0.1,10,135,-68.9709,0.31881870858719685,0.4222,4,0,0.3481,False,low_quality_pf_0.32<0.80
fx,bos,long,1.0,0.8,6,0.1,20,109,-37.9991,0.4469817586978732,0.5046,4,1,0.3119,False,low_quality_pf_0.45<0.80
fx,bos,long,1.0,0.8,6,0.2,0,256,-124.8392,0.33629320249088357,0.4375,4,0,0.3281,False,low_quality_pf_0.34<0.80
fx,bos,long,1.0,0.8,6,0.2,5,146,-69.6752,0.3368681230304778,0.4452,4,0,0.3562,False,low_quality_pf_0.34<0.80
fx,bos,long,1.0,0.8,6,0.2,10,126,-64.7134,0.30786549060250296,0.4206,4,0,0.3571,False,low_quality_pf_0.31<0.80
fx,bos,long,1.0,0.8,6,0.2,20,101,-36.2579,0.43284555643325856,0.4851,4,1,0.3168,False,low_quality_pf_0.43<0.80
fx,bos,long,1.0,0.8,12,0.1,0,271,-134.4631,0.34109712688512633,0.4391,4,0,0.3395,False,low_quality_pf_0.34<0.80
fx,bos,long,1.0,0.8,12,0.1,5,157,-80.3785,0.3240948942060111,0.4268,4,0,0.3694,False,low_quality_pf_0.32<0.80
fx,bos,long,1.0,0.8,12,0.1,10,132,-67.5576,0.321372210832112,0.4167,4,0,0.3409,False,low_quality_pf_0.32<0.80
fx,bos,long,1.0,0.8,12,0.1,20,106,-38.8176,0.4316844526367109,0.4811,4,0,0.3019,False,low_quality_pf_0.43<0.80
fx,bos,long,1.0,0.8,12,0.2,0,253,-126.7472,0.3372612257617873,0.4387,4,0,0.332,False,low_quality_pf_0.34<0.80
fx,bos,long,1.0,0.8,12,0.2,5,145,-72.9715,0.32702984358860854,0.4345,4,0,0.3586,False,low_quality_pf_0.33<0.80
fx,bos,long,1.0,0.8,12,0.2,10,123,-62.0741,0.32131564446154925,0.4228,4,0,0.3496,False,low_quality_pf_0.32<0.80
fx,bos,long,1.0,0.8,12,0.2,20,100,-34.5835,0.4551437074521802,0.5,4,0,0.32,False,low_quality_pf_0.46<0.80
fx,bos,long,1.0,1.0,6,0.1,0,257,-89.7789,0.4476021653177526,0.4436,4,0,0.3385,False,low_quality_pf_0.45<0.80
fx,bos,long,1.0,1.0,6,0.1,5,152,-47.089,0.4931003562044047,0.4803,4,0,0.3618,False,low_quality_pf_0.49<0.80
fx,bos,long,1.0,1.0,6,0.1,10,134,-43.4229,0.48074570555631957,0.4851,4,0,0.3507,False,low_quality_pf_0.48<0.80
fx,bos,long,1.0,1.0,6,0.1,20,106,-21.9233,0.6190425714926174,0.5283,4,1,0.3208,False,low_quality_pf_0.62<0.80
fx,bos,long,1.0,1.0,6,0.2,0,238,-89.5874,0.4239241427737323,0.4328,4,0,0.3235,False,low_quality_pf_0.42<0.80
fx,bos,long,1.0,1.0,6,0.2,5,142,-44.6148,0.4851688974383533,0.4718,4,0,0.3521,False,low_quality_pf_0.49<0.80
fx,bos,long,1.0,1.0,6,0.2,10,124,-45.0598,0.43906425643317476,0.4516,4,0,0.3468,False,low_quality_pf_0.44<0.80
fx,bos,long,1.0,1.0,6,0.2,20,98,-22.2,0.5901957092383179,0.5,4,1,0.3163,False,low_quality_pf_0.59<0.80
fx,bos,long,1.0,1.0,12,0.1,0,248,-89.7676,0.4556411805085589,0.4597,4,0,0.3306,False,low_quality_pf_0.46<0.80
fx,bos,long,1.0,1.0,12,0.1,5,150,-48.0722,0.4961428972710998,0.48,4,0,0.36,False,low_quality_pf_0.50<0.80
fx,bos,long,1.0,1.0,12,0.1,10,129,-43.7227,0.4773325523292649,0.4651,4,0,0.3333,False,low_quality_pf_0.48<0.80
fx,bos,long,1.0,1.0,12,0.1,20,103,-22.6237,0.6118055638966151,0.5146,4,1,0.3107,False,low_quality_pf_0.61<0.80
fx,bos,long,1.0,1.0,12,0.2,0,232,-87.5081,0.44286274554745286,0.4569,4,0,0.3233,False,low_quality_pf_0.44<0.80
fx,bos,long,1.0,1.0,12,0.2,5,138,-43.0581,0.5052447974298252,0.4855,4,0,0.3406,False,low_quality_pf_0.51<0.80
fx,bos,long,1.0,1.0,12,0.2,10,118,-36.8431,0.5034274639193044,0.4831,4,0,0.3305,False,low_quality_pf_0.50<0.80
fx,bos,long,1.0,1.0,12,0.2,20,97,-18.9583,0.6480842446033819,0.5361,4,1,0.3196,False,low_quality_pf_0.65<0.80
fx,bos,long,1.5,0.8,6,0.1,0,243,-118.4746,0.41386581229394326,0.358,4,0,0.3457,False,low_quality_pf_0.41<0.80
