symbol,ts,event,direction,trend,side,level,r,entry,stop,tp,exit_ts,tag,tp_rr,sl_atr,max_hold,buffer_atr,cooldown_bars
XAUUSD,1777507200000,bos,up,range,long,4578.2998046875,-1.0798,4582.0,4564.771456473217,4599.228543526783,1777521600000,bos_long_rr1.0_sl0.8_h6_b0.1_cd0,1.0,0.8,6,0.1,0
XAUUSD,1777528800000,bos,up,up,long,4594.1000976562,0.912,4601.6000976562,4585.91441127228,4617.28578404012,1777532400000,bos_long_rr1.0_sl0.8_h6_b0.1_cd0,1.0,0.8,6,0.1,0
XAUUSD,1777536000000,bos,up,up,long,4594.1000976562,0.9173,4628.3999023438,4611.611369977732,4645.1884347098685,1777543200000,bos_long_rr1.0_sl0.8_h6_b0.1_cd0,1.0,0.8,6,0.1,0
XAUUSD,1777546800000,bos,up,up,long,4594.1000976562,-1.0843,4643.0,4626.485742187503,4659.514257812497,1777554000000,bos_long_rr1.0_sl0.8_h6_b0.1_cd0,1.0,0.8,6,0.1,0
XAUUSD,1777968000000,bos,up,range,long,4556.3999023438,-1.1234,4568.2001953125,4557.091629464283,4579.308761160717,1777975200000,bos_long_rr1.0_sl0.8_h6_b0.1_cd0,1.0,0.8,6,0.1,0
XAUUSD,1777978800000,bos,up,range,long,4556.3999023438,0.8814,4572.8999023438,4561.33419363844,4584.46561104916,1777982400000,bos_long_rr1.0_sl0.8_h6_b0.1_cd0,1.0,0.8,6,0.1,0
XAUUSD,1777986000000,bos,up,range,long,4556.3999023438,-1.1054,4589.7998046875,4576.731249999997,4602.868359375003,1777989600000,bos_long_rr1.0_sl0.8_h6_b0.1_cd0,1.0,0.8,6,0.1,0
XAUUSD,1777993200000,bos,up,range,long,4556.3999023438,-1.104,4579.3999023438,4566.188462611657,4592.611342075943,1777996800000,bos_long_rr1.0_sl0.8_h6_b0.1_cd0,1.0,0.8,6,0.1,0
XAUUSD,1778022000000,bos,up,up,long,4597.5,0.8987,4604.5,4590.859960937497,4618.140039062503,1778025600000,bos_long_rr1.0_sl0.8_h6_b0.1_cd0,1.0,0.8,6,0.1,0
XAUUSD,1778029200000,bos,up,up,long,4597.5,0.9079,4636.3999023438,4621.291280692018,4651.508523995582,1778032800000,bos_long_rr1.0_sl0.8_h6_b0.1_cd0,1.0,0.8,6,0.1,0
